Pos	Slit	X	Y	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
22	2	171.65	17.3	604R2_780-085088.xlsx	6561.977	1.328	22.677	4.745	-12.54	1.857	-302.7	-83.39	6541.785	0.405	1.037	0.611	2.828	2.086	3.121	2.333	6577.285	0.405	1.037	0.611	8.485	6.258	9.363	7	6710.623	0.123	0.761	0.285	17.21	6.01	13.94	4.752	6725.023	0.123	0.761	0.285	3.543	5.657	2.868	4.815
23	2	170.31	17.3	604R2_780-089092.xlsx	6559.494	0.493	2.816	0.744	-14.5	4.286	-43.45	-13.59	6548.363	1.906	11.929	3.308	2.885	0.8062	36.63	13.09	6583.863	1.906	11.929	3.308	8.654	2.419	109.9	39.27	6711.078	2.11	152.682	103.167	-4.589	4.7	-745.9	-1420	6725.478	2.11	152.682	103.167	-62.27	77.76	-10120	-19340
24	2	168.97	17.3	604R2_780-093096.xlsx	6558.776	0.253	1.564	0.471	-19	5.691	-31.63	-9.829	6547.95	1.45	12.103	2.594	3.418	0.7686	44.03	12.57	6583.45	1.45	12.103	2.594	10.25	2.306	132.1	37.7	6710.902	0.101	0.481	0.559	-14	16.07	-7.169	-3.32	6725.302	0.101	0.481	0.559	4.688	6.237	2.4	4.494
25	2	167.63	17.3	604R2_780-097100.xlsx	6559.601	0.331	2.505	0.665	-17.97	4.657	-47.92	-13.15	6546.961	1.662	10.685	3.471	2.405	0.7916	27.36	11.77	6582.461	1.662	10.685	3.471	7.215	2.375	82.07	35.32	6710.799	0.166	0.93	0.488	14.78	5.942	14.63	5.879	6725.199	0.166	0.93	0.488	4.155	4.58	4.112	4.802
26	2	166.28	17.3	604R2_780-101104.xlsx	6560.128	0.39	3.433	0.774	-17.71	3.872	-64.7	-14.91	6541.801	0.054	-0.26	0.121	11.48	8.962	-3.173	-1.819	6577.301	0.054	-0.26	0.121	34.44	26.88	-9.518	-5.458	6710.706	0.127	0.987	0.34	16.98	5.317	17.83	5.023	6725.105	0.127	0.987	0.34	8.52	4.136	8.95	5.217
27	2	164.94	17.3	604R2_780-105108.xlsx	6559.345	0.344	3.208	0.962	-17.75	3.996	-60.6	-15.27	6547.726	1.285	8.956	2.657	2.504	0.7458	23.87	8.947	6583.226	1.285	8.956	2.657	7.511	2.238	71.61	26.84	6712.958	0.563	2.522	0.992	-5.886	3.286	-15.8	-8.83	6727.358	0.563	2.522	0.992	-5.996	3.122	-16.09	-9.39
28	2	163.60	17.3	604R2_780-109112.xlsx	6559.945	0.323	3.16	0.54	-20.88	4.028	-70.23	-14.01	6541.441	0.199	0.862	0.443	5.68	2.536	5.213	2.461	6576.941	0.199	0.862	0.443	17.04	7.607	15.64	7.383	6710.279	0.954	2.699	1.452	-0.5577	1.336	-1.602	-3.965	6724.679	0.954	2.699	1.452	4.692	2.884	13.48	8.442
29	2	162.26	17.3	604R2_780-113116.xlsx	6559.382	0.156	-0.952	0.359	-22.69	7.808	22.99	8.027	6543.246	1.302	5.584	3.582	2.755	1.192	16.37	8.69	6578.746	1.302	5.584	3.582	8.265	3.577	49.12	26.07	6710.575	0.918	3.248	1.393	6.933	2.885	23.97	12.06	6724.975	0.918	3.248	1.393	-1.968	4.771	-6.806	-15.19
30	2	160.92	17.3	604R2_780-117120.xlsx	6563.867	0.916	19.247	3.158	-14.03	1.539	-287.4	-54.22	6543.246	0.465	1.183	0.886	2.235	1.691	2.815	2.185	6578.746	0.465	1.183	0.886	6.705	5.073	8.446	6.556	6710.875	0.207	1.129	0.332	8.177	4.657	9.829	5.738	6725.275	0.207	1.129	0.332	13.61	4.897	16.36	5.959
31	2	159.58	17.3	604R2_780-121124.xlsx	6560.256	0.34	3.162	0.71	-19.16	4.002	-64.51	-14.22	6541.551	0.129	0.816	0.319	7.922	2.56	6.885	2.331	6577.051	0.129	0.816	0.319	23.77	7.681	20.65	6.994	6705.143	1.099	2.417	1.223	-1.14	2.41	-2.935	-6.355	6719.542	1.099	2.417	1.223	3.639	2.867	9.363	7.277
32	2	158.24	17.3	604R2_780-125128.xlsx	6556.718	0.107	-0.694	0.205	31.29	9.043	-23.12	-6.926	6546.427	1.557	10.818	2.954	2.7	0.8326	31.1	11.69	6581.927	1.557	10.818	2.954	8.101	2.498	93.29	35.06	6710.112	0.766	4.541	1.361	7.627	2.301	36.87	12.13	6724.512	0.766	4.541	1.361	1.1	1.773	5.316	8.533
33	2	156.90	17.3	604R2_780-129132.xlsx	6560.078	0.348	3.474	0.717	-21.26	4.2	-78.59	-16.41	6541.766	0.282	0.133	0.403	24.61	117.7	3.477	6.184	6577.266	0.282	0.133	0.403	73.84	353	10.43	18.55	6710.801	0.461	1.882	0.957	5.541	3.275	11.1	6.093	6725.201	0.461	1.882	0.957	4.208	2.902	8.432	7.045
34	2	155.56	17.3	604R2_780-133136.xlsx	6556.877	0.128	0.858	0.278	29.35	9.118	26.8	8.318	6541.682	0.167	0.86	0.419	7.55	3.055	6.908	2.838	6577.182	0.167	0.86	0.419	22.65	9.164	20.72	8.514	6711.049	0.262	0.718	0.207	11.7	5.254	8.943	4.05	6725.449	0.262	0.718	0.207	4.591	7.043	3.511	5.426
35	2	154.22	17.3	604R2_780-137140.xlsx	6556.92	0.145	0.915	0.282	26.66	8.037	25.98	7.915	6541.464	0.055	0.281	0.136	10.5	9.362	3.141	1.872	6576.964	0.055	0.281	0.136	31.49	28.08	9.422	5.617	6710.978	0.039	0.417	0	18.8	0	8.349	6.295	6725.378	0.039	0.417	0	17.32	0	7.691	6.883
36	2	152.87	17.3	604R2_780-141144.xlsx	6556.98	0.118	1.317	0.253	36.06	6.431	50.57	9.336	6547.63	1.214	11.45	2.189	3.543	0.7853	43.18	11.62	6583.13	1.214	11.45	2.189	10.63	2.356	129.5	34.85	6710.712	0.61	3.606	0.834	7.788	2.446	29.89	10.52	6725.112	0.61	3.606	0.834	0.7629	0	2.928	2.92
37	2	151.53	17.3	604R2_780-145148.xlsx	6556.958	0.377	1.514	0.539	16.17	5.829	26.06	9.789	6546.925	1.433	12.42	2.793	3.127	0.7714	41.34	12.94	6582.425	1.433	12.42	2.793	9.38	2.314	124	38.82	6711.397	0.531	2.631	0.849	3.26	2.948	9.132	8.317	6725.797	0.531	2.631	0.849	7.91	2.908	22.16	8.427
38	2	150.19	17.3	604R2_780-149152.xlsx	6556.456	0.168	1.501	0.271	28.3	5.732	45.22	9.318	6541.886	0.186	1.102	0.387	7.018	2.283	8.23	2.703	6577.386	0.186	1.102	0.387	21.05	6.849	24.69	8.11	6710.796	0.099	0.698	0.26	21.43	6.765	15.93	5.007	6725.196	0.099	0.698	0.26	8.949	5.512	6.652	4.441
39	2	148.85	17.3	604R2_780-153156.xlsx	6556.854	0.182	1.25	0.363	24.78	7.126	32.96	9.607	6542.243	0.693	2.733	1.534	3.501	1.57	10.19	5.177	6577.743	0.693	2.733	1.534	10.5	4.711	30.56	15.53	6710.394	0.111	0.864	0.312	17.79	5.466	16.36	4.611	6724.794	0.111	0.864	0.312	5.703	4.17	5.244	4.582
40	2	147.51	17.3	604R2_780-157160.xlsx	6556.91	0.069	0.628	0.235	57.21	14.79	38.22	9.084	6548.9	1.725	12.522	3.109	3.334	0.8855	44.44	15.36	6584.4	1.725	12.522	3.109	10	2.657	133.3	46.07	6710.733	0.225	1.494	0.87	11.1	3.671	17.66	9.621	6725.133	0.225	1.494	0.87	9.427	5.501	15	5.696
41	2	146.17	17.3	604R2_780-161164.xlsx	6556.935	0.066	0.699	0.178	50.38	10.34	37.51	7.736	6546.049	1.742	12.651	2.697	3.044	0.8487	40.99	13.37	6581.549	1.742	12.651	2.697	9.131	2.546	123	40.12	6710.797	0.07	0.541	0.125	24.33	7.124	14.01	3.725	6725.197	0.07	0.541	0.125	16.46	6.039	9.48	4.216
42	2	144.83	17.3	604R2_780-165168.xlsx	6556.944	0.071	0.703	0.168	48.91	9.771	36.58	7.324	6541.598	0.186	-0.572	0.3	5.308	3.011	-3.233	-1.922	6577.098	0.186	-0.572	0.3	15.92	9.033	-9.698	-5.766	6710.529	0.144	0.957	0.274	15.78	4.423	16.07	4.322	6724.929	0.144	0.957	0.274	5.545	3.932	5.645	4.391
43	2	143.49	17.3	604R2_780-169172.xlsx	6556.856	0.045	0.762	0.116	70.01	9.487	56.76	7.733	6541.83	0.264	1.538	0.677	6.154	2.146	10.08	3.82	6577.33	0.264	1.538	0.677	18.46	6.437	30.23	11.46	6710.813	0.085	0.879	0.231	25.72	5.546	24.07	5.26	6725.213	0.085	0.879	0.231	9.932	4.602	9.295	4.414
44	2	142.15	17.3	604R2_780-173176.xlsx	6556.749	0.053	0.966	0.175	73.17	9.835	75.28	10.43	6541.796	0.41	3.2	1.101	6.431	1.665	21.91	6.398	6577.296	0.41	3.2	1.101	19.29	4.995	65.72	19.19	6710.976	0.243	2.223	0.769	11.61	2.923	27.47	8.315	6725.376	0.243	2.223	0.769	9.644	2.962	22.82	7.155
45	2	140.81	17.3	604R2_780-177180.xlsx	6556.362	0.061	1.521	0.127	91.59	7.487	148.2	12.52	6542.231	0.793	3.541	2.369	5.316	1.921	20.04	9.949	6577.731	0.793	3.541	2.369	15.95	5.763	60.12	29.85	6710.553	0.122	1.441	0.333	22.25	4.025	34.14	6.402	6724.953	0.122	1.441	0.333	4.783	3.185	7.338	5.011
46	2	139.46	17.3	604R2_780-181184.xlsx	6556.259	0.039	1.612	0.083	131.3	6.588	225.2	11.57	6541.477	0.138	1.376	0.322	11.68	2.334	17.1	3.612	6576.977	0.138	1.376	0.322	35.03	7.002	51.29	10.84	6710.45	0.098	1.422	0.219	26.46	4.135	40.06	7.027	6724.85	0.098	1.422	0.219	20.3	4.329	30.73	6.125
47	2	138.12	17.3	604R2_780-185188.xlsx	6556.165	0.024	1.437	0.052	235.4	7.623	360.2	11.96	6541.402	0.109	1.42	0.27	15.5	2.484	23.43	3.921	6576.902	0.109	1.42	0.27	46.5	7.452	70.28	11.76	6710.315	0.088	1.688	0.233	33.45	3.979	60.1	7.191	6724.715	0.088	1.688	0.233	15.4	3.305	27.66	6.53
48	2	136.78	17.3	604R2_780-189192.xlsx	6556.294	0.018	1.387	0.037	329.7	7.769	486.9	11.76	6541.496	0.079	1.352	0.214	21.99	2.682	31.64	4.041	6576.996	0.079	1.352	0.214	65.97	8.045	94.92	12.12	6710.526	0.034	1.221	0.111	51.75	3.874	67.25	5.784	6724.926	0.034	1.221	0.111	46.52	4.142	60.45	5.057
49	2	135.44	17.3	604R2_780-193196.xlsx	6556.357	0.014	1.34	0.029	469.4	9.004	669.7	13.15	6541.611	0.038	0.925	0.096	42.18	3.552	41.53	3.603	6577.111	0.038	0.925	0.096	126.5	10.66	124.6	10.81	6710.441	0.025	1.101	0.064	81.34	4.244	95.36	4.992	6724.841	0.025	1.101	0.064	53.03	3.745	62.17	4.673
50	2	134.10	17.3	604R2_780-197200.xlsx	6556.374	0.009	1.273	0.022	698.4	10.36	946.2	14.38	6541.571	0.04	1.157	0.092	49.99	3.401	61.57	4.334	6577.071	0.04	1.157	0.092	150	10.2	184.7	13	6710.435	0.022	1.278	0.055	114.8	4.528	156.2	6.475	6724.835	0.022	1.278	0.055	71.93	4.212	97.85	5.769
51	2	132.76	17.3	604R2_780-201204.xlsx	6556.476	0.007	1.116	0.014	903.8	9.481	1074	11.5	6541.639	0.022	0.888	0.055	67.31	3.41	63.62	3.319	6577.139	0.022	0.888	0.055	201.9	10.23	190.9	9.957	6710.508	0.019	0.969	0.045	142.8	5.957	147.4	6.414	6724.908	0.019	0.969	0.045	89.07	5.491	91.89	5.674
52	2	131.42	17.3	604R2_780-205208.xlsx	6556.519	0.004	0.974	0.01	1279	11.17	1326	11.79	6541.687	0.016	0.767	0.04	92.19	3.991	75.31	3.365	6577.187	0.016	0.767	0.04	276.6	11.97	225.9	10.09	6710.538	0.011	0.821	0.023	207.1	5.685	181	5.114	6724.938	0.011	0.821	0.023	143.3	5.37	125.3	4.705
53	2	130.08	17.3	604R2_780-209212.xlsx	6556.506	0.003	0.967	0.008	1431	10.63	1473	11.14	6541.692	0.015	0.815	0.035	98.83	3.644	85.69	3.245	6577.192	0.015	0.815	0.035	296.5	10.93	257.1	9.735	6710.537	0.012	0.875	0.025	217.3	6.008	202.3	5.738	6724.937	0.012	0.875	0.025	158.5	5.653	147.5	5.345
54	2	128.74	17.3	604R2_780-213216.xlsx	6556.477	0.003	0.984	0.008	1605	11.19	1681	11.93	6541.625	0.016	0.819	0.04	93.98	3.867	81.95	3.463	6577.125	0.016	0.819	0.04	281.9	11.6	245.9	10.39	6710.508	0.01	0.83	0.02	238.2	5.684	210.4	5.131	6724.908	0.01	0.83	0.02	157.1	5.276	138.8	4.719
55	2	127.40	17.3	604R2_780-217220.xlsx	6556.484	0.003	0.871	0.009	2291	20.8	2123	19.57	6541.651	0.017	0.749	0.04	147.2	6.871	117.4	5.654	6577.151	0.017	0.749	0.04	441.7	20.61	352.1	16.96	6710.493	0.006	0.781	0.014	318.9	5.929	264.9	5.039	6724.893	0.006	0.781	0.014	247.6	5.68	205.7	4.766
56	2	126.05	17.3	604R2_780-221224.xlsx	6556.483	0.003	0.872	0.01	3109	28.97	2884	27.28	6541.643	0.019	0.731	0.044	184.4	9.655	143.4	7.775	6577.143	0.019	0.731	0.044	553.1	28.96	430.1	23.33	6710.507	0.006	0.767	0.016	412.8	8.404	337.1	6.908	6724.907	0.006	0.767	0.016	305.1	7.829	249.2	6.562
57	2	124.71	17.3	604R2_780-225228.xlsx	6556.568	0.003	-0.908	0.007	3245	21.86	-3135	-21.48	6541.729	0.017	0.785	0.039	170.2	7.311	142.3	6.252	6577.229	0.017	0.785	0.039	510.6	21.93	426.9	18.76	6710.61	0.006	0.829	0.014	398.1	6.503	351.1	5.848	6725.01	0.006	0.829	0.014	278.8	6.058	245.9	5.436
58	2	123.37	17.3	604R2_780-229232.xlsx	6556.614	0.004	0.884	0.01	3097	27.69	2915	26.52	6541.764	0.021	0.773	0.05	168.5	9.268	138.6	7.778	6577.264	0.021	0.773	0.05	505.5	27.8	415.8	23.34	6710.671	0.007	0.797	0.018	363.2	7.669	308.1	6.727	6725.071	0.007	0.797	0.018	250.1	7.227	212.2	6.146
59	2	122.03	17.3	604R2_780-233236.xlsx	6556.576	0.004	-0.873	0.01	3208	31.81	-2982	-30.05	6541.75	0.016	0.634	0.043	218.2	12.03	147.2	8.276	6577.25	0.016	0.634	0.043	654.6	36.1	441.6	24.83	6710.609	0.008	0.743	0.022	410.2	11.3	324.3	8.936	6725.009	0.008	0.743	0.022	280.4	10.24	221.7	8.343
60	2	120.69	17.3	604R2_780-237240.xlsx	6556.636	0.003	0.845	0.009	5460	46.76	4909	42.8	6541.79	0.021	0.702	0.056	263.9	16.87	197.2	12.66	6577.29	0.021	0.702	0.056	791.8	50.6	591.7	37.99	6710.661	0.012	0.833	0.031	462	14.89	409.6	13.47	6725.061	0.012	0.833	0.031	324.7	13.6	287.9	12.4
61	2	119.35	17.3	604R2_780-241244.xlsx	6556.766	0.009	1.14	0.026	4392	79.89	5331	99.2	6541.848	0.048	0.757	0.131	228.8	31.6	184.3	25.78	6577.348	0.048	0.757	0.131	686.5	94.81	553	77.35	6710.719	0.011	0.822	0.029	471.2	14.35	412.4	12.97	6725.119	0.011	0.822	0.029	335.3	13.27	293.5	11.83
62	2	118.01	17.3	604R2_780-245248.xlsx	6556.832	0.006	1.01	0.015	3752	45.39	4035	49.8	6541.946	0.027	0.773	0.066	224.5	16.17	184.8	13.62	6577.446	0.027	0.773	0.066	673.6	48.5	554.3	40.87	6710.833	0.008	0.848	0.02	422.4	9.332	381.1	8.625	6725.233	0.008	0.848	0.02	324	8.836	292.4	8.122
63	2	116.67	17.3	604R2_780-249252.xlsx	6556.875	0.005	0.934	0.014	2648	32.01	2634	32.45	6541.979	0.035	0.906	0.095	131.9	10.56	127.2	10.53	6577.479	0.035	0.906	0.095	395.8	31.69	381.7	31.58	6710.824	0.009	0.989	0.027	294.5	7.238	310.1	7.796	6725.224	0.009	0.989	0.027	199.7	6.575	210.3	7.157
64	2	115.33	17.3	604R2_780-253256.xlsx	6556.892	0.013	1.091	0.032	2565	56.37	2980	67.31	6541.992	0.07	1.085	0.207	144.8	18.95	167.2	23.01	6577.492	0.07	1.085	0.207	434.3	56.86	501.5	69.03	6710.844	0.023	1.185	0.061	342.4	13.62	432	17.91	6725.244	0.023	1.185	0.061	250.7	12.23	316.2	16.25
65	2	113.99	17.3	604R2_780-257260.xlsx	6556.955	0.008	0.947	0.023	3296	63.11	3324	64.96	6542.095	0.038	0.761	0.103	204.3	21.95	165.4	18.31	6577.595	0.038	0.761	0.103	612.9	65.86	496.3	54.94	6710.965	0.007	0.785	0.021	483.2	12.16	403.9	10.45	6725.365	0.007	0.785	0.021	356.1	11.52	297.6	9.666
66	2	112.64	17.3	604R2_780-261264.xlsx	6557.019	0.003	0.889	0.009	3432	29.65	3247	28.56	6542.147	0.017	0.772	0.042	221.3	10.12	182	8.496	6577.647	0.017	0.772	0.042	664	30.36	545.9	25.49	6711.035	0.005	0.815	0.013	498.7	7.692	432.4	6.878	6725.435	0.005	0.815	0.013	359.7	7.298	311.9	6.362
67	2	111.30	17.3	604R2_780-265268.xlsx	6557.057	0.002	0.864	0.006	3091	17.38	2844	16.26	6542.215	0.01	0.738	0.026	211.6	6.133	166.1	4.851	6577.715	0.01	0.738	0.026	634.8	18.4	498.4	14.55	6711.084	0.004	0.771	0.01	495.8	6.616	406.9	5.516	6725.484	0.004	0.771	0.01	343.5	6.159	281.9	5.179
68	2	109.96	17.3	604R2_780-269272.xlsx	6557.057	0.004	0.871	0.012	2506	28.2	2324	26.62	6542.196	0.02	0.715	0.052	168.5	10.09	128.2	7.688	6577.696	0.02	0.715	0.052	505.6	30.27	384.6	23.06	6711.092	0.004	0.728	0.009	424.4	5.579	329	4.442	6725.492	0.004	0.728	0.009	309.5	5.29	239.9	4.171
69	2	108.62	17.3	604R2_780-273276.xlsx	6556.69	0.024	1.944	0.055	1589	38.53	3289	82.68	6542.173	0.063	0.823	0.194	119.3	20.58	104.5	18.62	6577.673	0.063	0.823	0.194	357.9	61.73	313.5	55.87	6711.091	0.014	0.841	0.031	288.1	9.412	257.9	8.631	6725.491	0.014	0.841	0.031	209.2	8.673	187.3	7.983
70	2	107.28	17.3	604R2_780-277280.xlsx	6556.485	0.008	1.562	0.017	3013	28.28	5010	48.43	6541.888	0.068	1.502	0.165	102.8	9.285	164.4	15.61	6577.388	0.068	1.502	0.165	308.5	27.86	493.3	46.82	6710.906	0.018	1.28	0.05	253.9	8.534	345.9	11.97	6725.306	0.018	1.28	0.05	172.6	7.693	235	10.99
71	2	105.94	17.3	604R2_780-281284.xlsx	6556.755	0.007	1.122	0.016	3040	35.29	3631	43.11	6542.017	0.042	0.918	0.11	130.8	12.47	127.8	12.6	6577.517	0.042	0.918	0.11	392.3	37.41	383.4	37.79	6710.922	0.013	0.963	0.026	310.8	7.986	318.5	8.441	6725.322	0.013	0.963	0.026	215.7	7.464	221.1	7.758
72	2	104.60	17.3	604R2_780-285288.xlsx	6556.946	0.01	0.978	0.026	1820	37.67	1894	40.03	6542.146	0.049	0.82	0.123	101.4	12.61	88.47	11.28	6577.646	0.049	0.82	0.123	304.1	37.84	265.4	33.84	6711.036	0.012	0.812	0.026	237	7.503	204.9	6.611	6725.436	0.012	0.812	0.026	189.3	7.171	163.7	6.319
73	2	103.26	17.3	604R2_780-289292.xlsx	6556.916	0.033	1.446	0.12	962.7	48.14	1482	78.09	6542.057	0.125	0.993	0.338	53.24	13.85	56.29	15.62	6577.557	0.125	0.993	0.338	159.7	41.56	168.9	46.87	6711.034	0.022	1.048	0.069	143	7.887	159.5	9.07	6725.434	0.022	1.048	0.069	89.57	7.01	99.88	8.07
74	2	101.92	17.3	604R2_780-293296.xlsx	6556.868	0.023	1.331	0.069	1192	41.41	1689	61.05	6541.993	0.122	0.998	0.347	52.88	13.8	56.19	15.18	6577.493	0.122	0.998	0.347	158.6	41.39	168.6	45.55	6710.956	0.018	0.977	0.056	139.3	7.125	144.8	7.465	6725.356	0.018	0.977	0.056	93.9	6.373	97.65	6.968
75	2	100.58	17.3	604R2_780-297300.xlsx	6556.852	0.005	0.916	0.013	2704	32.3	2637	32.04	6542.004	0.04	0.836	0.098	108.7	10.6	96.74	9.732	6577.504	0.04	0.836	0.098	326	31.8	290.2	29.2	6710.905	0.013	0.881	0.029	251.7	7.687	236.1	7.374	6725.305	0.013	0.881	0.029	185.9	7.188	174.3	6.892
76	2	99.23	17.3	604R2_780-301304.xlsx	6556.872	0.002	0.887	0.007	5118	33.38	4831	31.99	6542.014	0.019	0.786	0.042	231.7	10.98	193.8	9.438	6577.514	0.019	0.786	0.042	695	32.94	581.3	28.32	6710.895	0.004	0.793	0.012	553.4	8.311	467.1	7.12	6725.294	0.004	0.793	0.012	374.7	7.666	316.3	6.59
77	2	97.89	17.3	604R2_780-305308.xlsx	6556.803	0.005	0.961	0.013	3787	43.01	3874	44.86	6541.94	0.025	0.842	0.062	239.3	14.44	214.4	13.3	6577.44	0.025	0.842	0.062	717.8	43.33	643.1	39.9	6710.828	0.008	0.866	0.019	548.1	11.49	505	10.71	6725.228	0.008	0.866	0.019	417.3	10.65	384.5	10.19
78	2	96.55	17.3	604R2_780-309312.xlsx	6556.621	0.005	1.078	0.01	2312	17.9	2654	20.99	6541.714	0.018	1.004	0.044	156.9	5.824	167.6	6.415	6577.214	0.018	1.004	0.044	470.6	17.47	502.8	19.24	6710.608	0.008	1.082	0.021	366.6	6.685	422.1	8.014	6725.008	0.008	1.082	0.021	263.4	6.31	303.2	7.355
79	2	95.21	17.3	604R2_780-313316.xlsx	6556.572	0.003	1.022	0.008	2302	14.55	2503	16.14	6541.681	0.013	0.893	0.032	163.2	4.912	155.2	4.802	6577.181	0.013	0.893	0.032	489.7	14.74	465.6	14.41	6710.531	0.008	0.976	0.016	357.3	5.386	371.3	5.738	6724.931	0.008	0.976	0.016	227.9	4.94	236.8	5.236
80	2	93.87	17.3	604R2_780-317320.xlsx	6556.515	0.003	1.008	0.007	1822	10.96	1955	11.99	6541.614	0.011	0.892	0.027	143.9	3.67	136.6	3.579	6577.114	0.011	0.892	0.027	431.8	11.01	409.9	10.74	6710.49	0.009	0.934	0.018	332.2	6.075	330.4	6.238	6724.89	0.009	0.934	0.018	231.7	5.695	230.4	5.73
81	2	92.53	17.3	604R2_780-321324.xlsx	6556.497	0.005	1.135	0.015	865	9.253	1045	11.43	6541.598	0.019	0.902	0.049	76.8	3.342	73.74	3.305	6577.098	0.019	0.902	0.049	230.4	10.02	221.2	9.915	6710.503	0.011	0.961	0.03	208.2	5.903	213	6.151	6724.903	0.011	0.961	0.03	142.5	5.38	145.8	5.69
82	2	91.19	17.3	604R2_780-325328.xlsx	6556.555	0.006	1.09	0.018	642	8.685	744.8	10.29	6541.608	0.025	0.902	0.062	53.9	3.055	51.77	3.02	6577.108	0.025	0.902	0.062	161.7	9.165	155.3	9.059	6710.524	0.01	0.887	0.03	180.7	5.487	170.6	5.354	6724.924	0.01	0.887	0.03	103.8	4.967	98.02	4.715
83	2	89.85	17.3	604R2_780-329332.xlsx	6556.666	0.012	1.194	0.028	409.2	8.017	520	10.43	6541.74	0.041	1.093	0.107	34.69	2.71	40.36	3.271	6577.24	0.041	1.093	0.107	104.1	8.13	121.1	9.812	6710.586	0.021	1.133	0.051	96.3	4.47	116.1	5.383	6724.986	0.021	1.133	0.051	63.08	4.057	76.08	5.153
84	2	88.51	17.3	604R2_780-333336.xlsx	6556.811	0.021	1.273	0.048	286.7	8.635	388.3	12.02	6541.857	0.092	1.475	0.226	19.42	2.486	30.49	4.082	6577.357	0.092	1.475	0.226	58.26	7.457	91.46	12.24	6710.771	0.044	1.265	0.102	63.75	4.625	85.83	6.817	6725.171	0.044	1.265	0.102	40.42	4.514	54.42	5.809
85	2	87.17	17.3	604R2_780-337340.xlsx	6556.902	0.011	1.033	0.034	383.7	10.08	421.9	11.33	6541.985	0.07	1.138	0.194	23.11	3.066	27.99	3.868	6577.485	0.07	1.138	0.194	69.33	9.199	83.96	11.6	6710.954	0.03	0.994	0.079	75.04	5.639	79.42	6.187	6725.354	0.03	0.994	0.079	50.13	5.286	53.05	5.639
86	2	85.82	17.3	604R2_780-341344.xlsx	6556.844	0.02	1.106	0.05	226	8.231	266	9.923	6541.867	0.099	1.228	0.283	15.37	2.593	20.09	3.572	6577.367	0.099	1.228	0.283	46.11	7.78	60.26	10.72	6710.912	0.039	0.979	0.095	58.71	5.261	61.19	5.413	6725.312	0.039	0.979	0.095	36.66	4.592	38.21	5.129
87	2	84.48	17.3	604R2_780-345348.xlsx	6556.509	0.04	1.403	0.096	122.6	7.129	183.2	10.93	6541.615	0.095	0.998	0.211	14	2.614	14.86	2.872	6577.115	0.095	0.998	0.211	41.99	7.843	44.59	8.617	6710.446	0.093	1.499	0.174	30.02	4.157	47.89	6.827	6724.846	0.093	1.499	0.174	22.8	4.03	36.37	6.551
88	2	83.14	17.3	604R2_780-349352.xlsx	6556.507	0.057	1.581	0.133	85.63	6.425	144.1	11.3	6545.449	1.204	11.4	2.359	3.818	0.8571	46.33	13.09	6580.949	1.204	11.4	2.359	11.45	2.571	139	39.26	6710.461	0.131	1.752	0.265	20.86	3.492	38.92	6.8	6724.861	0.131	1.752	0.265	16.14	3.402	30.11	6.482
89	2	81.80	17.3	604R2_780-353356.xlsx	6556.451	0.043	1.309	0.125	97.47	7.363	135.8	10.57	6541.529	0.234	1.608	0.775	6.751	2.163	11.55	4.292	6577.029	0.234	1.608	0.775	20.25	6.49	34.66	12.88	6710.568	0.232	2.335	0.489	15.4	3.255	38.28	8.395	6724.968	0.232	2.335	0.489	9.731	3.001	24.19	8.019
90	2	80.46	17.3	604R2_780-357360.xlsx	6556.391	0.088	1.773	0.216	65.09	6.481	122.9	12.71	6542.069	0.397	2.209	0.928	5.948	1.992	13.98	4.749	6577.569	0.397	2.209	0.928	17.84	5.976	41.95	14.25	6710.184	0.125	1.061	0.22	21.77	5.074	24.6	5.654	6724.583	0.125	1.061	0.22	11.69	4.62	13.21	5.478
91	2	79.12	17.3	604R2_780-361364.xlsx	6556.571	0.043	1.487	0.11	132.8	7.617	210.2	12.52	6542.23	0.363	2.663	0.815	6.151	1.672	17.43	5.171	6577.73	0.363	2.663	0.815	18.45	5.017	52.3	15.51	6710.851	0.165	2.304	0.364	21.96	3.328	53.85	8.578	6725.25	0.165	2.304	0.364	10.11	3.003	24.8	7.635
92	2	77.78	17.3	604R2_780-365368.xlsx	6556.588	0.006	1.081	0.018	613.1	8.416	705.5	9.888	6541.795	0.035	1.02	0.085	38.96	2.736	42.31	3.063	6577.295	0.035	1.02	0.085	116.9	8.209	126.9	9.189	6710.657	0.022	1.08	0.065	95.02	5.192	109.2	5.901	6725.057	0.022	1.08	0.065	63.41	4.544	72.87	5.643
93	2	76.44	17.3	604R2_780-369372.xlsx	6556.601	0.004	1.016	0.009	1495	11.15	1617	12.29	6541.747	0.016	0.897	0.037	103.9	3.737	99.17	3.66	6577.247	0.016	0.897	0.037	311.7	11.21	297.5	10.98	6710.625	0.009	0.935	0.018	298.5	5.5	297.1	5.59	6725.025	0.009	0.935	0.018	195.5	5.086	194.6	5.162
