Pos	Slit	X	Y	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
15	1	181.04	19.6	604R1_778-057060.xlsx	6562.118	1.015	21.127	3.495	-16.8	1.954	-377.8	-78.29	6548.305	0.437	-1.029	0.58	2.727	2.042	-2.986	-2.325	6583.805	0.437	-1.029	0.58	8.18	6.125	-8.959	-6.976	6708.565	0.691	2.874	1.16	-3.129	2.537	-9.573	-7.966	6722.965	0.691	2.874	1.16	-5.345	2.73	-16.35	-8.821
16	1	179.69	19.6	604R1_778-061064.xlsx	6563.082	1.275	18.455	3.485	-13.34	2.094	-262.1	-61.57	6539.395	0.353	0.092	0.248	9.945	45.23	0.9786	5.871	6574.895	0.353	0.092	0.248	29.83	135.7	2.936	17.61	6707.543	0.45	2.405	1.495	-0.9333	2.13	-2.389	-5.681	6721.943	0.45	2.405	1.495	-8.727	3.567	-22.34	-10.4
17	1	178.35	19.6	604R1_778-065068.xlsx	6562.763	0.948	20.126	2.802	-16.58	1.814	-355.3	-62.98	6539.215	0.082	0.522	0.187	8.612	3.277	4.787	1.597	6574.715	0.082	0.522	0.187	25.84	9.831	14.36	4.792	6710.42	0.463	1.727	0.576	4.739	3.292	8.71	5.898	6724.82	0.463	1.727	0.576	5.449	3.143	10.02	6.219
18	1	177.01	19.6	604R1_778-069072.xlsx	6561.542	1.157	25.668	4.885	-15	2.005	-409.8	-111.4	6541.575	0.148	0.594	0.251	5.702	2.695	3.604	1.721	6577.075	0.148	0.594	0.251	17.11	8.086	10.81	5.162	6713.07	0.816	4.761	1.865	-2.13	1.861	-10.79	-11.3	6727.47	0.816	4.761	1.865	-5.453	1.97	-27.64	-10.97
19	1	175.67	19.6	604R1_778-073076.xlsx	6559.028	0.62	4.544	1.868	-16.23	4.818	-78.49	-25.54	6542.246	0.06	-0.228	0.12	14.8	14.11	-3.592	-2.364	6577.746	0.06	-0.228	0.12	44.39	42.32	-10.78	-7.092	6710.538	0.161	0.647	0.329	0.7133	1.789	0.4914	1.279	6724.938	0.161	0.647	0.329	14.17	6.748	9.757	4.764
20	1	174.33	19.6	604R1_778-077080.xlsx	6564.936	2.112	16.553	3.466	-14.76	2.398	-260.1	-60.91	6542.361	2.648	11.496	9.731	2.114	1.332	25.87	31.49	6577.861	2.648	11.496	9.731	6.341	3.997	77.6	94.47	6709.078	0.212	0.919	0.265	0.3869	2.037	0.3787	2.008	6723.478	0.212	0.919	0.265	-11.92	4.914	-11.66	-4.845
21	1	172.99	19.6	604R1_778-081084.xlsx	6581.842	8.708	54.971	21.331	-59.51	116.4	-3482	-7034	6547.458	3.868	31.077	19.613	21.46	44.39	709.9	1915	6582.958	3.868	31.077	19.613	64.38	133.2	2130	5744	6708.056	0.901	1.723	0.852	-0.06444	0	-0.1182	-0.03721	6722.456	0.901	1.723	0.852	-7.688	3.886	-14.1	-7.246
22	1	171.65	19.6	604R1_778-085088.xlsx	6559.901	0.369	3.016	0.644	-18.13	4.212	-58.2	-13.98	6541.415	0.127	-0.455	0.283	6.031	4.266	-2.92	-1.632	6576.915	0.127	-0.455	0.283	18.09	12.8	-8.761	-4.897	6710.951	0.098	0.552	0.426	20.1	11.84	11.8	5.038	6725.351	0.098	0.552	0.426	2.161	6.066	1.269	4.081
23	1	170.31	19.6	604R1_778-089092.xlsx	6559.882	0.397	3.364	0.724	-16.36	3.733	-58.57	-14.37	6546.343	1.211	9.994	2.163	3.119	0.768	33.18	10.1	6581.843	1.211	9.994	2.163	9.356	2.304	99.53	30.3	6708.87	0.682	3.039	1.22	5.68	3.143	18.37	8.946	6723.27	0.682	3.039	1.22	-4.117	2.693	-13.32	-10.11
24	1	168.97	19.6	604R1_778-093096.xlsx	6560.228	0.527	3.233	0.781	-13.46	4.057	-46.34	-14.77	6546.46	1.082	9.615	2.173	3.573	0.8841	36.57	10.94	6581.96	1.082	9.615	2.173	10.72	2.652	109.7	32.81	6712.034	0.557	1.615	1.223	1.709	4.9	2.937	8.81	6726.434	0.557	1.615	1.223	7.951	4.853	13.66	8.293
