Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
25	180.2304	22	1	595a1_880-097100.xlsx	4857.255	0.6	1.658	0.69	-5.019	3.056	-8.858	-5.285	4954.404	0.432	1.032	0.768	1.848	1.45	2.03	1.44	5003.034	0.432	1.032	0.768	5.544	4.351	6.09	4.32			
26	178.8	22	1	595a1_880-101104.xlsx	4858.289	8.395	10.135	11.889	-1.32	0.5511	-14.24	-11.56	4952.368	0	-0.153	0	15.67	0	-2.549	0	5000.998	0	-0.153	0	47.02	0	-7.647	0			
27	177.3696	22	1	595a1_880-105108.xlsx	4856.719	0.062	-0.338	0.225	-10.68	12.53	3.846	2.946	4955.301	0.278	0.773	0.359	-2.221	1.144	-1.828	-1.065	5003.931	0.278	0.773	0.359	-6.663	3.432	-5.483	-3.196			
28	175.9392	22	1	595a1_880-109112.xlsx	4855.001	0	-0.381	0.488	-3.459	0	1.404	2.257	4955.054	0	-0.162	0	111.3	0	-19.23	-68.77	5003.684	0	-0.162	0	334	0	-57.7	-206.3			
29	174.5088	22	1	595a1_880-113116.xlsx	4840.904	0.142	0.667	0.334	12.09	4.572	8.589	3.561	4955.155	3.428	2.085	4.832	1.327	1.827	2.945	3.434	5003.785	3.428	2.085	4.832	3.981	5.482	8.834	10.3			
30	173.0784	22	1	595a1_880-117120.xlsx	4859.438	0.407	1.113	0.519	-5.227	3.576	-6.193	-4.039	5366.215	72.217	411.696	83.591	-5.217	2.33	-2286	-1040	5414.845	72.217	411.696	83.591	-15.65	6.991	-6859	-3120			
31	171.648	22	1	595a1_880-121124.xlsx	4857.995	0.142	-0.516	0.628	-9.323	8.885	5.122	3.194	4955.303	0.127	0.67	0.222	-4.464	1.424	-3.184	-1.023	5003.933	0.127	0.67	0.222	-13.39	4.271	-9.551	-3.068			
32	170.2176	22	1	595a1_880-125128.xlsx	4855.972	0.058	-0.294	0	14.71	0	-4.598	-6.135	4957.357	0.195	0.833	0.336	-3.04	1.429	-2.695	-1.163	5005.987	0.195	0.833	0.336	-9.119	4.288	-8.085	-3.489			
33	168.7872	22	1	595a1_880-129132.xlsx	4856.612	1.013	3.805	1.739	-3.417	1.686	-13.84	-7.1	4955.966	0.352	1.291	0.471	1.797	0.9681	2.47	1.257	5004.596	0.352	1.291	0.471	5.391	2.904	7.41	3.77			
34	167.3568	22	1	595a1_880-133136.xlsx	4861.092	0	-0.186	0.162	-206.2	1068	40.74	175.6	4955.957	0.426	1.607	0.617	-1.919	0.8106	-3.283	-1.534	5004.586	0.426	1.607	0.617	-5.757	2.432	-9.848	-4.601			
35	165.9264	22	1	595a1_880-137140.xlsx	4854.296	0	-0.31	0	18.52	0	-6.121	-15.04	4951.916	1.777	5.182	2.104	0.7538	0.4299	4.158	2.373	5000.546	1.777	5.182	2.104	2.261	1.29	12.47	7.119			
36	164.496	22	1	595a1_880-141144.xlsx	4857.537	0	-0.302	0	18.85	0	-6.069	-54.77	4956.495	0.375	1.603	0.738	-1.919	0.941	-3.276	-1.61	5005.125	0.375	1.603	0.738	-5.757	2.823	-9.827	-4.83			
37	163.0656	22	1	595a1_880-145148.xlsx	4857.118	0.085	-0.293	0.258	29.6	65.65	-9.242	-12.57	4954.081	0	0.12	0	2.897	2.725	0.3707	0	5002.71	0	0.12	0	8.69	8.176	1.112	0			
38	161.6352	22	1	595a1_880-149152.xlsx	4856.342	0	-0.394	0	-14.09	0	5.901	17.58	4954.524	0.808	1.553	0.83	0.9566	0.864	1.582	1.516	5003.154	0.808	1.553	0.83	2.87	2.592	4.745	4.548			
39	160.2048	22	1	595a1_880-153156.xlsx	4859.104	0.034	-0.322	0.178	18.28	20.69	-6.265	-4.222	4947.418	0.23	1.051	0.35	-2.869	1.125	-3.209	-1.244	4996.048	0.23	1.051	0.35	-8.607	3.376	-9.627	-3.733			
40	158.7744	22	1	595a1_880-157160.xlsx	4857.621	1.86	1.537	3.465	-3.566	9.11	-5.834	-6.492	4953.348	0.381	0.72	12.03	1.716	32.42	1.316	3.086	5001.978	0.381	0.72	12.03	5.149	97.26	3.947	9.257			
41	157.344	22	1	595a1_880-161164.xlsx	4853.836	1.243	5.771	2.037	4.573	1.558	28.09	9.791	4955.497	0.098	0.437	0.25	3.398	2.481	1.579	0.7789	5004.126	0.098	0.437	0.25	10.19	7.444	4.738	2.337			
