Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
72	113.0016	15	3	595a3_884-285288.xlsx	4857.724	0.087	1.042	0.191	26.99	4.355	29.94	4.876	4954.511	0.101	1.441	0.195	9.09	1.146	13.94	1.785	5003.141	0.101	1.441	0.195	27.27	3.438	41.83	5.356			
73	111.5712	15	3	595a3_884-289292.xlsx	4857.855	0.065	1.171	0.155	33.2	3.898	41.37	4.903	4954.572	0.054	1.311	0.119	14.98	1.186	20.9	1.661	5003.202	0.054	1.311	0.119	44.94	3.558	62.71	4.984			
74	110.1408	15	3	595a3_884-293296.xlsx	4857.582	0.062	1.435	0.15	46.7	3.897	71.34	5.997	4954.505	0.031	1.333	0.073	24.81	1.207	35.19	1.728	5003.135	0.031	1.333	0.073	74.42	3.622	105.6	5.185			
75	108.7104	15	3	595a3_884-297300.xlsx	4857.642	0.029	1.005	0.062	108	5.753	115.5	6.177	4954.496	0.019	1.081	0.04	51.27	1.72	58.97	1.99	5003.125	0.019	1.081	0.04	153.8	5.16	176.9	5.97			
76	107.28	15	3	595a3_884-301304.xlsx	4857.626	0.019	0.944	0.047	145.9	6.054	146.6	6.109	4954.421	0.013	0.964	0.033	66.08	1.89	67.83	1.953	5003.051	0.013	0.964	0.033	198.2	5.669	203.5	5.858			
77	105.8496	15	3	595a3_884-305308.xlsx	4857.649	0.017	0.921	0.039	137.1	5.296	134.3	5.215	4954.428	0.02	0.889	0.048	40.21	1.784	38.07	1.703	5003.058	0.02	0.889	0.048	120.6	5.351	114.2	5.11			
78	104.4192	15	3	595a3_884-309312.xlsx	4857.536	0.018	0.867	0.05	99.89	4.966	92.21	4.58	4954.339	0.035	0.991	0.089	20.84	1.517	21.99	1.619	5002.969	0.035	0.991	0.089	62.53	4.552	65.97	4.856			
79	102.9888	15	3	595a3_884-313316.xlsx	4857.521	0.072	0.949	0.141	42.2	5.132	42.61	5.241	5130.672	189.892	-471.818	275.709	-0.9694	0.4961	486.8	488.6	5179.302	189.892	-471.818	275.709	-2.908	1.488	1461	1466			
80	101.5584	15	3	595a3_884-317320.xlsx	4857.273	0.165	1.237	0.388	17.14	4.495	22.57	5.955	5134.641-1599.594	94.83	-6.832	910.082	11630	2.911	0	12340	5183.271-1599.594	94.83	-20.5	910.082	34900	8.732		37020			
81	100.128	15	3	595a3_884-321324.xlsx	4857.312	0.108	1.143	0.216	22.35	4.037	27.19	4.921	4953.886	0.112	0.639	0.323	8.024	2.78	5.459	1.52	5002.516	0.112	0.639	0.323	24.07	8.34	16.38	4.561			
82	98.6976	15	3	595a3_884-325328.xlsx	4857.457	0.121	1.034	0.288	18.95	4.614	20.85	5.078	4954.125	0.175	1.119	0.332	4.61	1.292	5.49	1.611	5002.755	0.175	1.119	0.332	13.83	3.876	16.47	4.833			
83	97.2672	15	3	595a3_884-329332.xlsx	4857.542	0.149	0.956	0.383	16.25	4.88	16.54	5.056	4954.047	0.257	1.378	0.814	3.113	1.24	4.565	2.083	5002.677	0.257	1.378	0.814	9.339	3.719	13.69	6.249			
84	95.8368	15	3	595a3_884-333336.xlsx	4857.504	0.128	1.198	0.279	22.25	4.349	28.38	5.594	4954.521	0.2	1.301	0.406	4.307	1.277	5.967	1.743	5003.151	0.2	1.301	0.406	12.92	3.831	17.9	5.23			
85	94.4064	15	3	595a3_884-337340.xlsx	4857.534	0.147	1.378	0.317	15.04	3.306	22.07	4.886	4954.185	0.179	1.06	0.444	3.86	1.346	4.354	1.459	5002.814	0.179	1.06	0.444	11.58	4.039	13.06	4.378			
86	92.976	15	3	595a3_884-341344.xlsx	4857.474	0.063	0.644	0.323	25.43	8.76	17.42	4.937	4954.332	0.286	1.022	0.645	2.631	1.527	2.862	1.585	5002.962	0.286	1.022	0.645	7.894	4.581	8.586	4.754			
87	91.5456	15	3	595a3_884-345348.xlsx	4857.556	0.091	0.495	0.392	23.27	16.61	12.26	3.429	4965.12	44.24	-250.323	158.778	-0.557	0.3844	148.4	185.7	5013.75	44.24	-250.323	158.778	-1.671	1.153	445.2	557			
88	90.1152	15	3	595a3_884-349352.xlsx	4857.5	0.035	0.337	0.207	26.98	31.42	9.667	5.823	4946.688	0.431	0.945	0.678	-1.55	1.097	-1.559	-1.277	4995.318	0.431	0.945	0.678	-4.649	3.29	-4.678	-3.832			
89	88.6848	15	3	595a3_884-353356.xlsx	4858.532	0.061	0.176	0.391	18.12	8.157	3.388	7.426	4961.7	0.551	2.023	0.909	1.848	0.8388	3.978	2.048	5010.33	0.551	2.023	0.909	5.543	2.516	11.93	6.144			
90	87.2544	15	3	595a3_884-357360.xlsx	4861.312	0.018	0.066	0.126	113.5	23.74	8.011	13.55	4956.423	1.562	3.949	1.801	0.9257	0.5008	3.891	2.644	5005.053	1.562	3.949	1.801	2.777	1.503	11.67	7.931			
91	85.824	15	3	595a3_884-361364.xlsx	4854.11	1.372	4.574	2.083	-3.113	1.652	-15.16	-8.694	4954.026	0.009	-0.027	0	68.12	0	-1.986	-3.438	5002.656	0.009	-0.027	0	204.4	0	-5.957	-10.32			
92	84.3936	15	3	595a3_884-365368.xlsx	4863.734	1.189	2.261	1.331	2.804	2.53	6.749	5.897	4956.109	0.761	3.281	2.405	-1.853	0.9339	-6.471	-3.146	5004.739	0.761	3.281	2.405	-5.559	2.802	-19.41	-9.437			
93	82.9632	15	3	595a3_884-369372.xlsx	4858.725	0	-0.187	0	297.7	0	-59.14	-100.8	4952.086	0.523	1.308	0.994	-1.536	1.076	-2.139	-1.564	5000.716	0.523	1.308	0.994	-4.609	3.228	-6.418	-4.693			
94	81.5328	15	3	595a3_884-373376.xlsx	4854.536	0.137	0.622	0.259	10.67	4.436	7.07	3.446	4955.425	0.398	1.132	0.632	1.822	1.177	2.195	1.395	5004.055	0.398	1.132	0.632	5.467	3.532	6.585	4.184			
95	80.1024	15	3	595a3_884-377380.xlsx	4853.88	0.124	-0.325	0.283	-24.21	43.76	8.384	8.462	4952.111	0.288	0.967	0.455	2.714	1.466	2.793	1.415	5000.741	0.288	0.967	0.455	8.143	4.398	8.378	4.244			
96	78.672	15	3	595a3_884-381384.xlsx	4853.724	1.097	4.968	2.61	4.209	1.749	22.26	10.5	4948.943	2.215	9.514	2.85	0.9104	0.3598	9.22	4.218	4997.573	2.215	9.514	2.85	2.731	1.079	27.66	12.65			
97	77.2416	15	3	595a3_884-385388.xlsx	4854.977	0.959	4.598	1.504	5.158	1.869	25.24	9.093	4957.027	1.004	3.606	2.002	-1.52	0.7312	-5.836	-2.996	5005.657	1.004	3.606	2.002	-4.561	2.194	-17.51	-8.989			
98	75.8112	15	3	595a3_884-389392.xlsx	4853.156	2.001	6.621	3.421	3.567	1.489	25.14	13.15	4945.976	1.34	6.034	1.718	-1.343	0.5358	-8.627	-3.497	4994.605	1.34	6.034	1.718	-4.03	1.607	-25.88	-10.49			
99	74.3808	15	3	595a3_884-393396.xlsx	4856.035	0	0.99	0	-8.158	0	-8.596	-12.45	4956.792	1.219	3.642	1.776	-1.119	0.5197	-4.338	-2.429	5005.422	1.219	3.642	1.776	-3.357	1.559	-13.01	-7.286			
100	72.9504	15	3	595a3_884-397400.xlsx	4854.047	0.293	0.294	1.632	11.58	57.85	3.625	4.637	4954.956	0.397	0.959	0.551	2.251	1.459	2.298	1.308	5003.585	0.397	0.959	0.551	6.753	4.378	6.893	3.923			
101	71.52	15	3	595a3_884-401404.xlsx	4857.34	0.21	0.563	0.346	8.76	5.172	5.25	3.583	4953.085	0.103	0.441	0.585	4.2	6.514	1.973	0.974	5001.715	0.103	0.441	0.585	12.6	19.54	5.92	2.922			
102	70.0896	15	3	595a3_884-405408.xlsx	4860.238	1.101	2.859	2.036	-3.878	2.645	-11.8	-8.491	4954.283	0.031	-0.266	0.188	17.79	36.44	-5.037	-6.839	5002.913	0.031	-0.266	0.188	53.38	109.3	-15.11	-20.52			
103	68.6592	15	3	595a3_884-409412.xlsx	4855.525	0.057	0.327	0.3	-31.59	59.05	-11	-10.73	4957.298	0.677	2.046	1.266	1.527	0.8153	3.326	2.161	5005.928	0.677	2.046	1.266	4.581	2.446	9.977	6.483			
104	67.2288	15	3	595a3_884-413416.xlsx	4857.049	1.147	3.175	1.645	3.619	2.277	12.23	7.975	4954.204	0.1	0.379	0.213	4.843	4.385	1.954	1.096	5002.833	0.1	0.379	0.213	14.53	13.15	5.863	3.289			
105	65.7984	15	3	595a3_884-417420.xlsx	4832.304	1.426	3.957	2.616	3.537	2.319	14.9	9.669	4955.217	0.189	0.175	0.511	5.586	5.512	1.038	3.518	5003.847	0.189	0.175	0.511	16.76	16.54	3.115	10.55			
106	64.368	15	3	595a3_884-421424.xlsx	4856.118	0	0.064	0	7.408	0.7083	0.5048	1.115	4952.457	0	0.012	0	-8.489	0	-0.1068	-0.3875	5001.087	0	0.012	0	-25.47	0	-0.3203	-1.163			
107	62.9376	15	3	595a3_884-425428.xlsx	4854.342	2.65	5.8	3.469	3.073	1.772	18.97	11.39	4963.73	23.65	88.818	34.639	-0.3494	0.1184	-33.03	-19.5	5012.36	23.65	88.818	34.639	-1.048	0.3551	-99.09	-58.51			
108	61.5072	15	3	595a3_884-429432.xlsx	4858.761	0.794	2.448	1.319	-4.478	2.769	-11.67	-6.974	4957.05	0	-0.14	0	-476.7	0	71.26	120.7	5005.68	0	-0.14	0	-1430	0	213.8	362			
109	60.0768	15	3	595a3_884-433436.xlsx	4857.931	0.322	0.892	0.869	7.322	5.535	6.955	4.92	4949.004	1.543	6.234	2.54	-1.125	0.4226	-7.464	-3.704	4997.634	1.543	6.234	2.54	-3.374	1.268	-22.39	-11.11			
110	58.6464	15	3	595a3_884-437440.xlsx	4862.655	0	0.329	0	21.33	0	7.479	10.45	4951.982	0.407	1.831	0.659	-2.517	1.082	-4.907	-2.004	5000.612	0.407	1.831	0.659	-7.552	3.245	-14.72	-6.011			
111	57.216	15	3	595a3_884-441444.xlsx	4857.107	0	0.122	0.041	8567	36040	1112	4309	4953.597	1.642	3.028	1.349	0.783	0.4901	2.524	1.958	5002.227	1.642	3.028	1.349	2.349	1.47	7.571	5.873			
112	55.7856	15	3	595a3_884-445448.xlsx	4856.019	2.984	2.759	3.756	1.862	3.039	5.469	6.983	4956.678	0.224	-0.859	0.459	-3.06	1.457	2.8	1.491	5005.308	0.224	-0.859	0.459	-9.181	4.372	8.4	4.472			
113	54.3552	15	3	595a3_884-449452.xlsx	4853.918	0.051	-0.431	0	13.99	0	-6.412	-10.89	4949.09	1.05	5.153	2.217	1.611	0.5866	8.836	3.715	4997.72	1.05	5.153	2.217	4.833	1.76	26.51	11.14			
114	52.9248	15	3	595a3_884-453456.xlsx	4857.525	0.504	1.869	0.805	7.365	3.487	14.65	6.573	4952.252	0	-0.201	0	-34.91	0	7.46	6.564	5000.882	0	-0.201	0	-104.7	0	22.38	19.69			
115	51.4944	15	3	595a3_884-457460.xlsx	4858.006	1.75	5.701	3.321	-3.771	2.101	-22.88	-13.69	4968.489	0.144	0.602	0.313	-5.077	2.303	-3.256	-1.412	5017.119	0.144	0.602	0.313	-15.23	6.908	-9.767	-4.235			
116	50.064	15	3	595a3_884-461464.xlsx	4857.143	0.024	0.289	0.198	29.68	50.79	9.118	9.807	4954.862	2.45	5.785	3.484	-1.043	0.646	-6.423	-3.79	5003.492	2.45	5.785	3.484	-3.129	1.938	-19.27	-11.37			
117	48.6336	15	3	595a3_884-465468.xlsx	4853.605	0.773	3.559	1.581	-6.154	2.494	-23.31	-9.451	4955.792	2.376	4.417	3.905	-0.6563	0.5786	-3.085	-2.493	5004.422	2.376	4.417	3.905	-1.969	1.736	-9.256	-7.48			
118	47.2032	15	3	595a3_884-469472.xlsx	4856.675	0.768	1.814	1.236	3.993	2.973	7.709	6.316	4955.851	0.018	0.18	0.041	78.08	106.5	14.92	17.1	5004.48	0.018	0.18	0.041	234.3	319.4	44.77	51.29			
119	45.7728	15	3	595a3_884-473476.xlsx	4842.45	0.086	-0.443	0.349	15.89	13.18	-7.492	-2.883	4940.702	24.649	940.412	0	-7.622	0	-7630	0	4989.332	24.649	940.412	0	-22.87	0	-22890	0			
120	44.3424	15	3	595a3_884-477480.xlsx	4858.028	0	0.3	0.205	-21.93	0	-7.011	-4.914	4945.114	0.129	-0.67	0.407	-4.979	2.412	3.551	1.41	4993.744	0.129	-0.67	0.407	-14.94	7.237	10.65	4.23			
121	42.912	15	3	595a3_884-481484.xlsx	4868.689	3.854	-11.209	7.227	-2.301	1.382	27.45	19.7	4948.377	1.446	7.485	0	-1.589	0	-12.66	-13.26	4997.007	1.446	7.485	0	-4.768	0	-37.99	-39.77			
122	41.4816	15	3	595a3_884-485488.xlsx	4862.785	3.67	19.133	5.941	-3.249	1.097	-66.16	-24.03	4954.959	0.17	-0.301	0.269	3.965	5.533	-1.269	-1.423	5003.589	0.17	-0.301	0.269	11.89	16.6	-3.807	-4.268			
123	40.0512	15	3	595a3_884-489492.xlsx	4854.813	0.309	1.331	0.584	-8.955	3.822	-12.69	-5.798	4954.308	0.286	-0.684	4.335	-2.18	8.702	1.587	3.984	5002.938	0.286	-0.684	4.335	-6.54	26.1	4.76	11.95			
124	38.6208	15	3	595a3_884-493496.xlsx	4851.285	2.083	7.064	3.277	-3.337	1.858	-25.1	-13.63	4954.982	6.631	2.875	0	0.1839	0	0.5627	0	5003.612	6.631	2.875	0	0.5516	0	1.688	0			
125	37.1904	15	3	595a3_884-497500.xlsx	4857.893	0.909	1.749	1.673	4.189	4.235	7.801	6.895	4955.416	0	-0.161	0.045	53.22	65.55	-9.106	-8.833	5004.045	0	-0.161	0.045	159.7	196.7	-27.32	-26.5			
126	35.76	15	3	595a3_884-501504.xlsx	4857.107	0.39	1.227	0.643	6.188	3.757	8.085	5.114	4955.004	0.619	1.6	1.08	2.126	1.116	3.62	2.094	5003.634	0.619	1.6	1.08	6.378	3.349	10.86	6.283			
127	34.3296	15	3	595a3_884-505508.xlsx	4857.405	0.43	1.648	0.952	7.572	3.727	13.28	6.455	4950.48	0.993	5.585	1.949	-1.713	0.5415	-10.19	-3.661	4999.11	0.993	5.585	1.949	-5.14	1.625	-30.56	-10.98			
128	32.8992	15	3	595a3_884-509512.xlsx	4857.441	0.449	1.342	0.77	5.606	3.631	8.008	5.194	4956.008	0.805	3.652	2.631	-1.738	0.7458	-6.758	-3.818	5004.638	0.805	3.652	2.631	-5.215	2.237	-20.28	-11.45			
129	31.4688	15	3	595a3_884-513516.xlsx	4598.966	0	1798.4	158.418	29.85	0	57150	0	4951.635	0.561	1.212	0.868	-1.331	0.8999	-1.716	-1.327	5000.265	0.561	1.212	0.868	-3.993	2.7	-5.149	-3.981			
130	30.0384	15	3	595a3_884-517520.xlsx	4855.354	0.522	0.985	0.906	6.248	4.226	6.554	5.283	4968.463	0.015	-0.059	0.026	25.86	17.13	-1.622	-0.603	5017.093	0.015	-0.059	0.026	77.59	51.4	-4.867	-1.809			
131	28.608	15	3	595a3_884-521524.xlsx	4855.3	0.434	1.257	0.795	5.821	4.021	7.789	4.89	4957.575	0.471	2.21	0.828	-2.119	0.9528	-4.986	-1.99	5006.205	0.471	2.21	0.828	-6.358	2.858	-14.96	-5.969			
132	27.1776	15	3	595a3_884-525528.xlsx	4859.376	0.079	0.707	0.213	-19.06	4.847	-14.33	-3.839	4953.938	2.154	3.911	2.402	-0.6726	0.3624	-2.801	-2.319	5002.567	2.154	3.911	2.402	-2.018	1.087	-8.402	-6.957			
133	25.7472	15	3	595a3_884-529532.xlsx	4858.304	0.286	1.283	0.375	9.893	3.638	13.51	5.062	4955.917	56.774	-53.079	0	0.06014	0	-3.398	0	5004.546	56.774	-53.079	0	0.1804	0	-10.19	0			
134	24.3168	15	3	595a3_884-533536.xlsx	4860.675	0.513	3.369	1.008	-6.813	2.037	-24.43	-7.502	4948.216	0.429	1.393	0.621	-1.914	0.9924	-2.837	-1.444	4996.846	0.429	1.393	0.621	-5.741	2.977	-8.51	-4.331			
135	22.8864	15	3	595a3_884-537540.xlsx	4861.958	0.497	1.805	0.811	5.409	2.662	10.39	5.403	4954.566	1.765	1.836	1.378	0.5304	0.4191	1.036	1.319	5003.196	1.765	1.836	1.378	1.591	1.257	3.109	3.958			
136	21.456	15	3	595a3_884-541544.xlsx	4856.331	1.266	3.117	1.324	3.145	1.886	10.43	6.512	4937.375	18.507	-98.335	81.38	-0.5271	0.1577	55.18	39.66	4986.004	18.507	-98.335	81.38	-1.581	0.4731	165.5	119			
137	20.0256	15	3	595a3_884-545548.xlsx	4856.721	0.015	-0.324	0.345	-32.66	72.24	11.27	13.15	4956.749	0.107	0.611	0.246	-4.747	1.721	-3.086	-1.104	5005.379	0.107	0.611	0.246	-14.24	5.163	-9.258	-3.312			
138	18.5952	15	3	595a3_884-549552.xlsx	4864.763	0.416	-1.707	0.928	-8.917	3.614	16.2	6.758	4954.09	0.413	1.717	0.889	2.186	1.055	3.995	1.873	5002.72	0.413	1.717	0.889	6.558	3.166	11.99	5.619			
139	17.1648	15	3	595a3_884-553556.xlsx	4856.342	0.28	1.058	0.491	-8.422	3.685	-9.486	-4.914	4953.374	0.617	2.958	0.753	1.981	0.6666	6.238	2.281	5002.004	0.617	2.958	0.753	5.944	2	18.71	6.844			
140	15.7344	15	3	595a3_884-557560.xlsx	4841.093	1.478	8.248	3.572	4.133	1.49	36.29	14.49	4966.288	8.578	-40.86	11.875	-0.6044	0.16	26.29	10.35	5014.918	8.578	-40.86	11.875	-1.813	0.4799	78.86	31.05			
141	14.304	15	3	595a3_884-561564.xlsx	4856.694	0.01	0.376	0	-27.09	0	-10.85	-7.218	4954.603	0.821	1.77	0.93	-1.075	0.9853	-2.027	-1.734	5003.233	0.821	1.77	0.93	-3.226	2.956	-6.08	-5.203			
142	12.8736	15	3	595a3_884-565568.xlsx	4849.439	0.712	2.573	1.223	6.401	2.83	17.53	7.669	4952.601	1.921	3.133	1.358	0.6459	0	2.154	2.403	5001.231	1.921	3.133	1.358	1.938	0	6.463	7.209			
143	11.4432	15	3	595a3_884-569572.xlsx	4841.362	1.094	5.757	3.084	4.848	2.032	29.71	12.15	4955.18	0	0.071	0	-64.55	0	-4.858	-19.78	5003.81	0	0.071	0	-193.6	0	-14.57	-59.35			
144	10.0128	15	3	595a3_884-573576.xlsx	4857.824	1.963	0.759	2.846	14.17	19.92	11.45	27.55	4952.072	0.384	-0.733	0.833	-3.203	2.013	2.5	3.719	5000.702	0.384	-0.733	0.833	-9.609	6.04	7.5	11.16			
145	8.5824	15	3	595a3_884-577580.xlsx	4856.736	0.261	1.668	0.442	-12.62	3.663	-22.42	-6.612	4950.368	1.364	4.554	0	-1.347	0	-6.529	-4.739	4998.998	1.364	4.554	0	-4.04	0	-19.59	-14.22			
146	7.152	15	3	595a3_884-581584.xlsx	4860.101	0.531	2.505	1.508	-6.576	3.167	-17.54	-8.298	4957.138	1.439	7.947	5.121	-1.43	0.6803	-12.1	-5.595	5005.768	1.439	7.947	5.121	-4.29	2.041	-36.29	-16.79			
147	5.7216	15	3	595a3_884-585588.xlsx	4857.171	1.378	2.018	1.739	2.605	4.267	5.596	8.399	4952.555	0.412	-1.267	0.61	-2.266	1.41	3.056	1.857	5001.185	0.412	-1.267	0.61	-6.797	4.23	9.169	5.572			
148	4.2912	15	3	595a3_884-589592.xlsx	4855.34	0	0.079	0	-17.3	4.097	-1.45	-1.73	4954.52	1.733	2.161	1.313	0.6918	1.27	1.591	2.883	5003.15	1.733	2.161	1.313	2.075	3.811	4.774	8.65			
149	2.8608	15	3	595a3_884-593596.xlsx	4855.845	0.136	-0.662	0.334	-17.35	7.112	12.23	5.021	4953.691	0.315	0.843	0.401	-2.582	1.345	-2.318	-1.474	5002.321	0.315	0.843	0.401	-7.746	4.035	-6.953	-4.423			
150	1.4304	15	3	595a3_884-597600.xlsx	4855.798	0.822	1.407	0.99	-4.906	4.637	-7.348	-7.25	4956.151	3.396	3.464	6.832	-2.155	2.93	-7.946	-6.87	5004.781	3.396	3.464	6.832	-6.466	8.789	-23.84	-20.61			
1	214.56	14	4	595a4_886-001004.xlsx	4856.546	0.157	0.799	0.36	10.21	4.859	8.682	3.932	4956.238	0.072	0.44	0	4.648	0	2.175	11.53	5004.868	0.072	0.44	0	13.94	0	6.525	34.6			
2	213.1296	14	4	595a4_886-005008.xlsx	4855.732	45.487	-250.044	242.622	2.405	2.272	-640	-1203	4956.412	0.339	1.104	0.699	-2.614	1.148	-3.071	-2.029	5005.042	0.339	1.104	0.699	-7.843	3.444	-9.214	-6.086			
3	211.6992	14	4	595a4_886-009012.xlsx	4853.773	1.593	4.77	2.414	-2.853	1.671	-14.49	-9.14	4955.696	0.457	2.634	0.721	-2.378	0.7008	-6.668	-2.207	5004.326	0.457	2.634	0.721	-7.134	2.103	-20	-6.621			
4	210.2688	14	4	595a4_886-013016.xlsx	4857.233	0.389	1.717	0.683	6.748	3.098	12.33	5.657	4953.152	0.428	1.793	0.744	-2.153	0.8445	-4.11	-1.894	5001.782	0.428	1.793	0.744	-6.459	2.534	-12.33	-5.681			
5	208.8384	14	4	595a4_886-017020.xlsx	4856.107	0.155	0.598	0.384	-9.645	5.157	-6.136	-4.028	4953.177	1.284	2.826	0.992	0.8997	0.5339	2.707	1.953	5001.807	1.284	2.826	0.992	2.699	1.602	8.121	5.86			
6	207.408	14	4	595a4_886-021024.xlsx	4857.596	0.252	0.34	0.502	13.08	27.54	4.739	4.166	4953.792	0.513	1.003	2.207	1.842	3.178	1.966	1.82	5002.422	0.513	1.003	2.207	5.525	9.535	5.899	5.46			
7	205.9776	14	4	595a4_886-025028.xlsx	4853.148	0.032	0.331	0.495	-23.99	72.34	-8.452	-13.08	4950.514	0.077	0.067	0.02	-11.15	5.321	-0.7985	-0.2652	4999.144	0.077	0.067	0.02	-33.46	15.96	-2.396	-0.7957			
8	204.5472	14	4	595a4_886-029032.xlsx	4855.522	3.555	13.422	6.506	-2.531	1.117	-36.16	-19.44	4953.874	0.003	0.145	0	319	0	49.36	63.41	5002.504	0.003	0.145	0	957	0	148.1	190.2			
9	203.1168	14	4	595a4_886-033036.xlsx	4855.719	0.424	1.235	0.707	-6.293	4.009	-8.27	-5.267	4955.441	0.542	1.42	0.794	1.631	1.145	2.465	1.748	5004.071	0.542	1.42	0.794	4.892	3.436	7.396	5.244			
10	201.6864	14	4	595a4_886-037040.xlsx	4860.48	1.113	3.661	1.64	-3.748	2.143	-14.6	-8.235	4953.208	1.315	2.028	1.617	0.7571	0.5669	1.635	1.62	5001.838	1.315	2.028	1.617	2.271	1.701	4.904	4.86			
11	200.256	14	4	595a4_886-041044.xlsx	4855.762	0.102	0.72	0.409	-15.99	5.945	-12.25	-5.204	4952.928	1.437	2.744	1.415	-0.8418	0.4886	-2.459	-2.084	5001.558	1.437	2.744	1.415	-2.525	1.466	-7.377	-6.251			
12	198.8256	14	4	595a4_886-045048.xlsx	4859.833	1.939	7.243	2.898	-3.395	1.556	-26.18	-12.18	4954.141	0.089	-0.103	0.141	-9.646	24.32	1.057	3.89	5002.771	0.089	-0.103	0.141	-28.94	72.96	3.17	11.67			
13	197.3952	14	4	595a4_886-049052.xlsx	4865.536	0.584	1.918	0.726	5.287	2.663	10.79	5.724	4954.668	0	-0.102	0	42020	0	-4545	-3246	5003.298	0	-0.102	0	126100	0	-13640	-9737			
14	195.9648	14	4	595a4_886-053056.xlsx	4856.544	1.454	2.542	3.691	-2.436	3.136	-6.593	-8.026	4947.474	1.177	1.785	2.232	-1.039	2.329	-1.973	-2.881	4996.104	1.177	1.785	2.232	-3.116	6.986	-5.92	-8.642			
15	194.5344	14	4	595a4_886-057060.xlsx	4852.899	0.126	0.547	0.213	14.08	5.113	8.197	3.49	4953.462	3.786	-23.912	7.826	-0.9006	0.2963	22.92	7.977	5002.092	3.786	-23.912	7.826	-2.702	0.8889	68.77	23.93			
16	193.104	14	4	595a4_886-061064.xlsx	4856.214	0.021	0.133	0.104	60.06	113.2	8.532	9.578	4954.191	0.032	-0.129	0.033	-38.75	38.01	5.33	4.065	5002.821	0.032	-0.129	0.033	-116.3	114	15.99	12.19			
17	191.6736	14	4	595a4_886-065068.xlsx	4852.342	0	0.282	0	39.77	0	11.95	19.42	4955.01	1.517	4.119	2.999	-0.9334	0.7243	-4.093	-2.682	5003.64	1.517	4.119	2.999	-2.8	2.173	-12.28	-8.047			
18	190.2432	14	4	595a4_886-069072.xlsx	4860.375	4.031	13.065	10.613	-2.769	1.508	-38.51	-23.25	4955.331	0.407	1.469	0.532	2.462	1.072	3.85	1.842	5003.961	0.407	1.469	0.532	7.386	3.215	11.55	5.527			
19	188.8128	14	4	595a4_886-073076.xlsx	4857.043	0	0.312	0.266	12.21	0	4.062	1.118	4954.247	0.028	0.268	0	12.26	0	3.493	4.159	5002.876	0.028	0.268	0	36.79	0	10.48	12.48			
20	187.3824	14	4	595a4_886-077080.xlsx	4855.03	0	0.132	0	-91.73	0	-12.9	-29.03	4957.664	0.654	2.412	0.915	-1.668	0.6912	-4.283	-2.113	5006.293	0.654	2.412	0.915	-5.005	2.074	-12.85	-6.34			
21	185.952	14	4	595a4_886-081084.xlsx	4850.801	1.074	-4.563	1.992	4.53	1.967	-22.01	-9.878	4935.1	0	-0.276	0	-10.71	0	3.15	5.163	4983.729	0	-0.276	0	-32.14	0	9.45	15.49			
22	184.5216	14	4	595a4_886-085088.xlsx	4857.065	0.143	-0.33	0.536	25.14	78.81	-8.821	-13.64	4948.352	0	4.764	0	-1.261	0	-6.396	-7.948	4996.981	0	4.764	0	-3.784	0	-19.19	-23.84			
23	183.0912	14	4	595a4_886-089092.xlsx	4858.253	0.316	0.822	0.71	11.36	6.712	9.944	5.29	4994.281	84.994	816.989	394.341	-3.371	0	-2932	-807.1	5042.911	84.994	816.989	394.341	-10.11	0	-8795	-2421			
24	181.6608	14	4	595a4_886-093096.xlsx	4829.761	0.904	3.313	1.456	4.588	2.195	16.18	7.84	4953.526	0.456	1.039	0.533	1.487	0.8144	1.645	1.302	5002.156	0.456	1.039	0.533	4.462	2.443	4.934	3.907			
25	180.2304	14	4	595a4_886-097100.xlsx	4856.316	0	2.457	0	2.505	0	6.551	44.77	4955.862	0.98	1.383	1.568	1.892	1.412	2.785	2.156	5004.492	0.98	1.383	1.568	5.676	4.235	8.355	6.467			
26	178.8	14	4	595a4_886-101104.xlsx	4848.941	0.868	3.075	1.535	-4.302	2.035	-14.08	-7.157	4938.281	1.615	11.847	3.54	-1.312	0.3588	-16.55	-4.771	4986.911	1.615	11.847	3.54	-3.937	1.076	-49.65	-14.31			
27	177.3696	14	4	595a4_886-105108.xlsx	4855.323	0.315	0.801	0.327	5.694	3.798	4.855	3.268	4961.88	0.562	2.123	0.757	1.687	0.7774	3.812	1.858	5010.51	0.562	2.123	0.757	5.061	2.332	11.44	5.575			
28	175.9392	14	4	595a4_886-109112.xlsx	4855.176	0.312	-0.576	0.93	6.237	8.167	-3.827	-3.427	4962.501	0.225	1.428	0.506	3.302	1.09	5.019	1.55	5011.131	0.225	1.428	0.506	9.907	3.271	15.06	4.65			
29	174.5088	14	4	595a4_886-113116.xlsx	4855.754	0.305	0.825	0.398	-7.26	4.35	-6.377	-3.753	4963.125	1.757	9.876	6.161	-1.183	0.658	-12.44	-4.942	5011.755	1.757	9.876	6.161	-3.55	1.974	-37.32	-14.83			
30	173.0784	14	4	595a4_886-117120.xlsx	4856.652	0.836	2.395	1.025	3.996	2.187	10.19	5.833	4953.876	0	0.272	0	-8.257	0	-2.39	-14.3	5002.506	0	0.272	0	-24.77	0	-7.171	-42.9			
