RA	DE	Halpha	RVHalpha	SigmHalpha	[NII]6548	RV[NII]6548	Sigm[NII]6548	[NII]6584	RV[NII]6584	Sigm[NII]6584	[SII]6717	RV[SII]6717	Sigm[SII]6717	[SII]6731	RV[SII]6731	Sigm[SII]6731
199.809	22	-3.17E+01	-24.35 	81.78439875	7.94E+00	-302.77 	0	2.38E+01	-278.3880444	0	5.65E+00	-162.66 	 22.27 	1.37E+01	-189.0235103	22.19967042
198.468	22	1.64E+01	-233.43 	7.705272811	2.76E+00	-297.55 	72.53742313	8.27E+00	-273.1964466	72.14070457	1.94E+01	-224.80 	 8.48 	-1.94E+00	-251.0217965	8.397317811
197.127	22	3.57E+01	-232.74 	10.98759556	5.64E+00	-245.72 	54.86633031	1.69E+01	-221.6447917	54.56000206	2.81E+00	-248.06 	 48.20 	8.85E+00	-274.2266148	48.08444044
195.786	22	4.16E+01	-237.86 	9.076660336	2.54E+00	-137.81 	280.3291216	7.63E+00	-114.3062312	278.8358278	6.27E+00	-208.60 	 48.88 	3.84E+00	-234.8541399	48.75817982
194.445	22	4.07E+01	-240.01 	3.916740422	3.55E+00	-283.40 	67.50289887	1.07E+01	-259.1244843	67.13212269	-1.41E+01	-283.63 	 9.76 	-8.79E+00	-309.7687357	9.686396739
193.104	22	3.82E+01	-238.77 	15.45158476	8.80E+00	-249.02 	15.040781	2.64E+01	-224.9236956	14.90739711	2.12E+01	-325.37 	0	9.78E+00	-351.3681605	0
191.763	22	4.49E+01	-233.15 	3.916740422	8.81E+00	-237.02 	3.289016838	2.64E+01	-212.9921288	3.017857285	2.23E+01	-199.09 	 8.63 	1.40E+00	-225.4118722	8.551884024
190.422	22	3.34E+01	-238.13 	15.53334339	4.65E+00	-256.16 	42.04145034	1.39E+01	-232.0279872	41.79884706	5.06E+00	-227.97 	 35.18 	8.22E+00	-254.1840654	35.08683868
189.081	22	5.41E+01	-235.07 	8.807742227	4.11E+00	-141.33 	275.4042996	1.23E+01	-117.8128367	273.9371387	1.67E+01	-203.46 	 11.63 	1.13E+01	-229.7321551	11.56145516
187.74	22	7.12E+01	-233.61 	9.227707133	3.85E+00	-199.30 	236.1737858	1.16E+01	-175.4668959	234.914719	1.31E+01	-203.51 	0	7.57E+00	-229.7766941	0
186.399	22	8.51E+01	-233.93 	5.942642102	3.50E+00	-159.97 	271.1995709	1.05E+01	-136.3477515	269.7547202	1.58E+01	-535.75 	0	-5.79E+00	-561.3250001	0
185.058	22	8.68E+01	-235.44 	10.8205768	5.19E+00	-154.06 	247.9736497	1.56E+01	-130.4730488	246.6520079	2.40E+01	-187.44 	0	2.48E+00	-213.7426546	0
183.717	22	1.02E+02	-232.56 	0	6.40E+00	-242.56 	53.2111856	1.92E+01	-218.5025089	52.91320245	2.71E+01	-191.68 	0	1.77E+01	-218.0183985	0
182.376	22	1.07E+02	-231.92 	0	1.23E+01	-237.25 	8.418914168	3.69E+01	-213.2198305	8.278344896	3.69E+00	-207.61 	 11.91 	1.41E+01	-233.874282	11.83936282
181.035	22	9.45E+01	-231.10 	12.33151881	4.15E+00	-203.55 	235.5895948	1.25E+01	-179.7021467	234.3336255	4.79E+00	-325.64 	 26.75 	5.81E+00	-351.6799334	26.6728351
179.694	22	7.10E+01	-232.06 	12.20755733	6.50E+00	-257.30 	48.81075035	1.95E+01	-233.1664955	48.53480369	7.05E+00	-334.07 	 12.92 	6.54E+00	-360.0532652	12.85541315
178.353	22	6.92E+01	-232.29 	8.611828924	5.70E+00	-235.47 	68.94527432	1.71E+01	-211.4437576	68.56707805	-2.17E+00	-157.17 	 67.11 	7.01E+00	-183.5897525	66.95451264
177.012	22	3.45E+01	-230.14 	15.72329829	5.55E+00	-227.36 	52.71214897	1.66E+01	-203.3831189	52.4166763	1.83E+01	-197.75 	 1.85 	9.27E-01	-224.0311633	1.544253588
175.671	22	-3.21E+01	-25.49 	71.31686228	3.86E+00	-297.91 	18.37375999	1.16E+01	-273.5607693	18.23237102	1.22E+01	-317.96 	 10.80 	2.79E+00	-343.9746867	10.73339242
174.33	22	3.19E+01	-231.46 	8.002397272	4.51E+00	-283.91 	52.93175459	1.35E+01	-259.6254279	52.63517749	7.22E+00	-221.09 	 30.76 	-1.29E+00	-247.3250596	30.67238588
172.989	22	7.20E+01	-239.14 	0	8.25E+00	-317.28 	4.565837642	2.48E+01	-292.8243293	4.362378052	-6.92E+00	-278.50 	 19.92 	-1.11E+01	-304.6022119	19.84667747
171.648	22	2.52E+01	-231.78 	7.662082458	3.20E+00	-185.20 	268.415812	9.59E+00	-161.4404739	266.9857311	4.57E+00	-281.18 	 96.05 	-9.73E-01	-307.2745518	95.83041449
170.307	22	2.65E+01	-250.10 	10.27403426	3.27E+00	-268.02 	103.1775685	9.82E+00	-243.822933	102.6212285	4.01E+00	-238.19 	 35.61 	5.70E+00	-264.3834961	35.51890563
168.966	22	3.16E+01	-235.25 	4.144958141	1.99E+00	-27.15 	294.6938932	5.97E+00	-4.235250798	293.1243654	-4.21E+00	-312.29 	 23.25 	6.21E+00	-338.3182338	23.17675942
167.625	22	2.96E+01	-241.15 	14.70567397	2.79E+00	-164.96 	277.5260817	8.38E+00	-141.3116476	276.0476621	1.59E+01	-197.35 	0	9.05E+00	-223.6303123	0
166.284	22	2.36E+01	-235.21 	25.49695399	3.31E+00	-317.79 	213.8741102	9.94E+00	-293.325273	212.7332505	2.31E+01	-287.61 	0	-3.62E+00	-313.6881676	0
164.943	22	1.14E+01	-229.64 	17.61912013	3.54E+00	-156.26 	250.8357786	1.06E+01	-132.6589847	249.4989565	7.04E+00	-168.69 	 28.29 	-5.34E+00	-195.0362751	28.20591934
163.602	22	1.92E+01	-232.06 	4.703190493	3.52E+00	-171.92 	280.8741508	1.06E+01	-148.2337779	279.3779649	2.32E+00	-133.02 	 48.60 	1.99E+00	-159.4496152	48.48085815
162.261	22	1.12E+01	-239.59 	20.33606864	2.95E+00	-167.84 	257.0270596	8.84E+00	-144.1806884	255.6573972	4.25E+00	-284.97 	 149.33 	4.51E+00	-311.0603667	148.9927234
160.92	22	1.66E+01	-224.34 	18.70952261	2.36E+00	-134.65 	268.2016742	7.07E+00	-111.1639484	266.7727294	-7.28E+00	-291.58 	 22.50 	-9.39E-02	-317.6521385	22.42806608
159.579	22	2.28E+01	-225.62 	0	3.16E+00	-175.26 	308.0259588	9.47E+00	-151.5582221	306.3856659	6.23E+00	-291.36 	0	-1.04E+01	-317.4294435	0
158.238	22	2.91E+01	-233.52 	15.01183082	3.57E+00	-312.38 	83.64052945	1.07E+01	-287.9515139	83.18624671	2.23E+01	-422.01 	0	1.22E+01	-447.7950926	0
156.897	22	3.24E+01	-230.37 	9.00043735	2.86E+00	-264.40 	82.95255328	8.58E+00	-240.2252468	82.50184879	7.84E+00	-179.76 	 20.04 	1.14E+00	-206.0819468	19.9653845
155.556	22	3.14E+01	-240.23 	11.57564956	3.92E+00	-325.84 	34.44106398	1.18E+01	-301.3403713	34.23465661	1.45E+01	-177.44 	 20.86 	1.20E+01	-203.7659189	20.78940672
154.215	22	3.68E+01	-235.99 	13.88190712	2.92E+00	-142.94 	282.4313662	8.75E+00	-119.4067483	280.9269167	4.82E+00	-297.52 	 46.25 	2.41E+00	-323.5758253	46.13761083
152.874	22	2.01E+01	-244.03 	17.3097406	4.35E+00	-271.73 	57.3943737	1.31E+01	-247.5116998	57.07524862	5.10E+00	-215.07 	 29.63 	-3.11E+00	-241.3122948	29.55078864
151.533	22	2.38E+01	-246.77 	27.24626772	3.06E+00	-110.98 	272.6595609	9.18E+00	-87.61959714	271.2069637	5.56E+00	-192.48 	 129.51 	7.82E-01	-218.7755614	129.2209282
150.192	22	4.30E+01	-236.40 	13.20910352	4.01E+00	-279.88 	54.9858847	1.20E+01	-255.6178788	54.67895261	8.99E+00	-199.76 	0	1.87E+01	-226.0354182	0
148.851	22	5.76E+01	-230.14 	12.48541839	4.22E+00	-290.27 	66.75168706	1.27E+01	-265.955534	66.38477113	1.47E+01	-195.25 	 17.38 	4.00E+00	-221.5369793	17.31032814
147.51	22	4.62E+01	-236.67 	18.40791791	3.09E+00	-175.35 	250.6410785	9.27E+00	-151.6493027	249.305289	1.41E+01	-222.25 	 8.59 	5.54E+00	-248.5276125	8.5134425
146.169	22	5.43E+01	-235.67 	14.87307019	3.75E+00	-242.97 	252.0039719	1.13E+01	-218.9123719	250.6609537	1.34E+01	-184.71 	 20.01 	5.44E+00	-211.0257757	19.94166373
144.828	22	6.43E+01	-241.83 	9.561143363	4.23E+00	-229.88 	66.59350232	1.27E+01	-205.8878372	66.22739887	1.46E+01	-207.57 	 26.73 	8.60E+00	-233.829743	26.65109601
143.487	22	7.46E+01	-231.65 	9.706669441	8.86E+00	-238.17 	32.49408781	2.66E+01	-214.1306371	32.29663524	2.75E+01	-197.48 	0	3.85E+00	-223.7639293	0
142.146	22	8.59E+01	-235.12 	14.11171542	5.84E+00	-251.12 	63.07053269	1.75E+01	-227.0185508	62.72248701	1.78E+01	-188.33 	 17.33 	5.98E+00	-214.6334346	17.26009749
140.805	22	1.04E+02	-234.11 	7.960488049	5.04E+00	-250.71 	53.29100939	1.51E+01	-226.6086878	52.99262442	7.87E+00	-188.51 	 15.97 	8.26E+00	-214.8115906	15.90399654
139.464	22	9.36E+01	-232.51 	11.86260296	5.40E+00	-231.71 	68.4316607	1.62E+01	-207.7094504	68.05610785	2.09E+01	-198.33 	0	7.36E+02	-224.6101703	0
138.123	22	8.54E+01	-232.15 	11.57564956	5.68E+00	-251.81 	56.59869498	1.71E+01	-227.7016558	56.28360379	1.94E+01	-192.93 	 3.40 	4.72E-01	-219.2209514	3.239089782
136.782	22	7.80E+01	-231.33 	13.4452609	6.84E+00	-238.12 	57.87154851	2.05E+01	-214.0850968	57.55000169	4.58E+00	-198.73 	 128.67 	2.60E+00	-225.0110212	128.3828382
135.441	22	9.27E+01	-234.43 	14.05445491	3.16E+00	-124.76 	262.984387	9.48E+00	-101.3272368	261.5831218	2.05E+01	-189.27 	0	1.67E+01	-215.5687535	0
134.1	22	1.15E+02	-238.41 	15.8313438	1.15E+01	-235.42 	15.71246236	3.45E+01	-211.3982172	15.57779844	1.84E+01	-184.62 	0	1.58E+01	-210.9366977	0
132.759	22	1.67E+02	-240.64 	16.97182005	1.59E+01	-238.40 	19.32507882	4.78E+01	-214.3583388	19.18078799	2.22E+01	-199.22 	 18.59 	8.65E+00	-225.5009502	18.52257975
131.418	22	2.36E+02	-243.98 	18.1550343	1.06E+01	-258.77 	41.73750148	3.17E+01	-234.6237861	41.4963752	2.05E+01	-198.24 	 3.13 	1.64E+01	-224.5210923	2.956802566
130.077	22	3.06E+02	-245.62 	17.28385058	1.91E+01	-245.03 	21.63784718	5.74E+01	-220.9616868	21.48570864	3.94E+01	-197.70 	 19.37 	2.44E+01	-223.9866243	19.29719198
128.736	22	2.89E+02	-244.53 	18.5589678	2.30E+01	-241.23 	14.4590394	6.90E+01	-217.1818393	14.32659116	5.72E+01	-192.48 	 4.45 	4.13E+01	-218.7755614	4.328854351
127.395	22	1.35E+02	-232.61 	23.87662179	8.01E+00	-249.43 	55.56355867	2.40E+01	-225.3335586	55.25370695	2.45E+01	-182.75 	0	1.04E+01	-209.0660597	0
126.054	22	8.96E+01	-222.65 	31.38344932	5.71E+00	-235.47 	84.09256303	1.71E+01	-211.4437576	83.63592851	2.28E+01	-158.47 	 7.88 	1.69E+01	-184.8368445	7.796973361
124.713	22	6.19E+01	-231.78 	17.23201939	4.42E+00	-267.79 	61.32625479	1.33E+01	-243.5952314	60.98712118	8.49E+00	-194.89 	0	2.27E+01	-221.1806674	0
123.372	22	5.69E+01	-240.69 	24.22144868	3.72E+00	-269.94 	64.93180091	1.12E+01	-245.7356269	64.57422399	6.84E+00	-241.45 	0	1.67E+01	-267.634843	0
122.031	22	5.47E+01	-226.85 	49.39937637	4.11E+00	-198.29 	245.325622	1.23E+01	-174.4650087	244.0180241	5.82E+00	-143.29 	 75.14 	6.24E+00	-169.7381239	74.96233593
120.69	22	7.97E+01	-228.63 	46.58923853	6.84E+00	-223.42 	76.02613268	2.05E+01	-199.4666505	75.61137308	9.45E+00	-138.78 	 41.76 	1.15E+01	-165.195146	41.65591023
119.349	22	2.22E+02	-260.06 	11.31673431	7.57E+00	-260.37 	44.91078608	2.27E+01	-236.2176977	44.65414688	2.41E+00	-97.40 	 139.02 	5.81E+00	-123.9074943	138.7018012
118.008	22	3.49E+02	-261.34 	9.26518566	1.50E+01	-269.99 	29.14466693	4.51E+01	-245.7811672	28.96218222	1.19E+01	-204.40 	 46.43 	1.07E+00	-230.6674741	46.31671908
116.667	22	2.97E+02	-261.84 	16.26005128	7.77E+00	-266.51 	30.4275934	2.33E+01	-242.3201021	30.23944954	5.97E+00	-166.41 	 93.53 	4.70E+00	-192.7647862	93.32078294
115.326	22	3.09E+02	-260.06 	16.78861533	9.66E+00	-247.96 	34.79179824	2.90E+01	-223.876268	34.5837611	2.42E+01	-195.87 	 14.12 	1.11E+01	-222.1605253	14.04987446
113.985	22	3.38E+02	-254.81 	20.91562131	2.27E+01	-248.79 	23.1897776	6.80E+01	-224.6959939	23.03187432	4.13E+01	-201.01 	 12.06 	2.60E+01	-227.2825102	11.99201778
112.644	22	4.21E+02	-259.28 	19.38120093	1.97E+01	-256.57 	26.8728401	5.90E+01	-232.4378502	26.70010414	2.54E+01	-203.02 	 15.50 	2.24E+01	-229.2867651	15.43114875
111.303	22	3.95E+02	-260.79 	16.44593952	1.72E+01	-265.00 	33.82113147	5.16E+01	-240.8172712	33.61759285	2.22E+01	-204.85 	 23.66 	1.25E+01	-231.1128641	23.58208512
109.962	22	4.17E+02	-256.04 	12.910457	1.80E+01	-254.15 	20.98715287	5.41E+01	-230.0242127	20.83732167	1.83E+01	-198.91 	 14.56 	1.55E+01	-225.1891772	14.49047574
108.621	22	4.23E+02	-259.05 	9.339812467	9.88E+00	-250.99 	27.70436524	2.97E+01	-226.8819298	27.52810549	5.29E+00	-139.14 	 102.55 	5.23E+00	-165.551458	102.3177063
107.28	22	1.93E+02	-245.94 	27.60165501	8.48E+00	-253.46 	36.33464737	2.55E+01	-229.3411077	36.11938706	1.39E+01	-176.46 	 35.59 	2.61E+00	-202.7860609	35.49834945
105.939	22	1.07E+02	-217.44 	29.10058166	5.16E+00	-246.27 	70.3275041	1.55E+01	-222.1912757	69.94218757	9.70E+00	-213.64 	 42.99 	3.09E+00	-239.8870468	42.88129061
104.598	22	2.14E+02	-225.89 	22.50556412	9.66E+00	-240.64 	12.97143764	2.90E+01	-216.589815	12.84049607	1.80E+01	-196.86 	 13.04 	1.90E+01	-223.1403833	12.97181349
103.257	22	3.98E+02	-230.18 	16.6835201	1.20E+01	-238.40 	18.58382744	3.60E+01	-214.3583388	18.44181674	1.43E+01	-205.20 	 28.52 	7.12E+00	-231.4691761	28.44172132
101.916	22	7.43E+02	-235.94 	10.9543268	2.27E+01	-236.84 	11.98967703	6.81E+01	-212.8099675	11.85885277	3.25E+01	-193.73 	0	1.58E+01	-220.0226534	0
100.575	22	1.05E+03	-237.63 	10.23921926	4.17E+01	-240.36 	8.140849975	1.25E+02	-216.316573	7.998446738	6.24E+01	-194.89 	0	2.48E+01	-221.1806674	0
99.234	22	1.55E+03	-238.95 	9.561143363	1.17E+02	-240.18 	8.89116301	3.51E+02	-216.1344117	8.753225938	1.33E+02	-195.25 	 3.65 	9.40E+01	-221.5369793	3.499595102
97.893	22	1.26E+03	-240.83 	11.08700663	1.20E+02	-241.56 	8.824731968	3.59E+02	-217.5006216	8.686458429	1.81E+02	-194.13 	0	1.14E+02	-220.4235044	0
96.552	22	7.80E+02	-238.59 	15.28742067	6.23E+01	-237.30 	13.18472808	1.87E+02	-213.2653708	13.05365982	1.07E+02	-189.40 	 6.70 	7.19E+01	-215.7023705	6.610504422
95.211	22	5.83E+02	-239.18 	17.77293421	4.79E+01	-233.45 	16.54320253	1.44E+02	-209.439983	16.4066969	7.48E+01	-190.92 	 9.48 	5.57E+01	-217.2166965	9.403226667
93.87	22	4.34E+02	-239.55 	17.69609856	3.21E+01	-234.73 	18.13947913	9.62E+01	-210.7151123	17.99876997	5.74E+01	-185.16 	 9.83 	3.72E+01	-211.5157047	9.756271938
92.529	22	3.66E+02	-238.04 	17.77293421	2.23E+01	-233.82 	19.57797062	6.68E+01	-209.8043056	19.43287302	6.92E+01	-185.52 	 4.32 	3.58E+01	-211.8274776	4.189535545
91.188	22	3.85E+02	-236.31 	17.28385058	3.06E+01	-232.67 	16.25177752	9.19E+01	-208.6657974	16.11594808	7.44E+01	-185.52 	 8.36 	4.61E+01	-211.8274776	8.279953606
89.847	22	4.71E+02	-240.74 	15.3148421	3.72E+01	-239.17 	12.45802577	1.12E+02	-215.1325244	12.32724665	7.03E+01	-188.64 	 8.04 	4.48E+01	-214.9452075	7.960503778
88.506	22	4.04E+02	-237.26 	13.70817617	2.79E+01	-238.21 	16.12979289	8.38E+01	-214.1761774	15.99423708	7.12E+01	-189.76 	 4.72 	4.01E+01	-216.1032215	4.595771232
87.165	22	5.28E+02	-240.01 	12.05151535	4.07E+01	-242.52 	14.10013204	1.22E+02	-218.4569686	13.96817174	6.43E+01	-193.60 	 10.31 	4.66E+01	-219.8890364	10.23596271
85.824	22	8.85E+02	-240.14 	7.354083188	8.84E+01	-242.97 	6.507890456	2.65E+02	-218.9123719	6.348860884	1.65E+02	-196.28 	0	1.10E+02	-222.5613763	0
84.483	22	7.71E+02	-241.01 	7.08150027	8.04E+01	-243.94 	7.186274743	2.41E+02	-219.8687188	7.035582411	1.52E+02	-196.81 	0	1.10E+02	-223.0958443	0
83.142	22	5.57E+02	-239.50 	6.557749243	5.52E+01	-242.42 	9.121167884	1.66E+02	-218.3658879	8.984316989	9.90E+01	-196.45 	0	6.89E+01	-222.7395323	0
