RA	DE	Hbeta	RVHbeta	SigmHbeta	[OIII]4959	RV[OIII]4959	Sigm[OIII]4959	[OIII]5007	RV[OIII]5007	Sigm[OIII]5007
214.56	19.6	10.26	-441.7630315	0	-9.74E-01	 3,579.49 	4525.97469	-2.92E+00	3522.31655	4481.686148
213.1296	19.6	-9.238	-338.0908751	0	-9.66E-01	 555.39 	876.9738825	-2.90E+00	527.7488562	868.3682674
211.6992	19.6	3.09	-671.3095906	37.00261319	-1.44E+00	 87.11 	193.6361488	-4.31E+00	64.11286581	191.6282896
210.2688	19.6	75.12	-21388.78081	7391.28348	-1.99E+00	 297.68 	33.79468699	-5.96E+00	272.6143706	32.80887301
208.8384	19.6	-53.67	-311.8798897	0	1.56E+04	-358.07 	0	4.67E+04	-376.7154665	0
207.408	19.6	10.06	-216.1635384	10.87047362	1.23E+00	-396.46 	31.59156259	3.68E+00	-414.72823	30.58060276
205.9776	19.6	1.89	-303.0606641	60.47213827	3.16E+01	-252.21 	0	9.48E+01	-271.8960192	0
204.5472	19.6	-5.138	-310.8931232	32.29995177	1.05E+00	-202.22 	28.74381787	3.15E+00	-222.3896326	27.68933626
203.1168	19.6	-5.748	-75.54931084	34.91955515	-3.18E+00	-39.05 	30.43107372	-9.53E+00	-60.82042173	29.40405214
201.6864	19.6	-7.954	-196.4898811	51.52090927	-1.27E+01	 33,854.67 	13200.37392	-3.82E+01	33501.2771	13071.21524
200.256	19.6	-8.323	-365.9053561	17.3509073	-1.06E+00	-1,193.55 	310.6363404	-3.19E+00	-1204.016872	307.5263814
197.3952	19.6	-2.545	-135.680395	220.8203101	-1.74E+00	-98.84 	72.32497002	-5.23E+00	-120.0245527	71.3135411
195.9648	19.6	-36.17	-1096.914321	0	-2.54E+00	-135.78 	22.00513206	-7.61E+00	-156.6006134	20.76962926
194.5344	19.6	-30.81	-457.983006	0	-3.53E+00	 31.80 	36.99856796	-1.06E+01	9.33856869	36.0391258
193.104	19.6	7.247	-272.5325752	11.02252373	-3.39E+00	-433.64 	0	-1.02E+01	-451.5437412	0
191.6736	19.6	4.288	-479.9385608	109.4207109	-1.30E+00	-355.17 	23.22363589	-3.90E+00	-373.8420607	22.0321525
190.2432	19.6	31.11	-191.926086	0	4.48E+00	-184.39 	8.756541808	1.35E+01	-204.7301597	5.63603293
188.8128	19.6	2.275	-1423.163998	1217.520652	9.65E+00	-287.22 	0	2.90E+01	-306.556476	0
187.3824	19.6	-24.42	-437.1992364	0	-5.00E+00	-129.61 	0	-1.50E+01	-150.4946262	0
185.952	19.6	3.266	-216.3485571	74.527335	-1.47E+00	-363.39 	68.58600675	-4.41E+00	-381.983377	67.59452433
184.5216	19.6	7.673	-251.1320765	54.51102853	-8.22E-01	-905.18 	698.6433069	-2.47E+00	-918.4721757	691.7761581
183.0912	19.6	4.332	-123.2841407	52.99049171	1.73E+00	-211.59 	38.22466328	5.17E+00	-231.7282013	37.27269017
181.6608	19.6	-4.109	210.427958	362.8557443	-8.63E-01	 4,180.89 	16878.78136	-2.59E+00	4117.829891	16713.63225
180.2304	19.6	-5.019	-230.965036	39.46710328	1.85E+00	-277.85 	19.30279472	5.54E+00	-297.27777	17.94222039
178.8	19.6	-1.32	-167.1952504	264.8738046	1.57E+01	-400.93 	0	4.70E+01	-419.1580639	0
177.3696	19.6	-10.68	-264.0217141	0	-2.22E+00	-223.62 	8.021820155	-6.66E+00	-243.581	4.435932007
175.9392	19.6	-3.459	-369.9757679	0	1.11E+02	-238.55 	0	3.34E+02	-258.3670671	0
174.5088	19.6	12.09	-1239.378735	0	1.33E+00	-232.45 	50.36621314	3.98E+00	-252.3209425	49.43620403
173.0784	19.6	-5.227	-96.33308044	22.83271045	-5.22E+00	 24,617.83 	10571.53024	-1.57E+01	24354.80756	10468.09267
171.648	19.6	-9.323	-185.327085	0	-4.46E+00	-223.50 	0	-1.34E+01	-243.4612748	0
170.2176	19.6	14.71	-310.0913754	0	-3.04E+00	-99.33 	11.30865551	-9.12E+00	-120.5034537	9.054079083
168.7872	19.6	-3.417	-270.6207151	98.01182827	1.80E+00	-183.42 	27.73639216	5.39E+00	-203.7723578	26.66285301
167.3568	19.6	-206.2	5.673907426	0	-1.92E+00	-183.96 	37.05576569	-5.76E+00	-204.370984	36.09670131
165.9264	19.6	18.52	-413.4551672	0	7.54E-01	-428.26 	131.8191285	2.26E+00	-446.2159681	130.3629396
164.496	19.6	18.85	-213.5732763	0	-1.92E+00	-151.44 	36.94135307	-5.76E+00	-172.1050319	35.98153003
163.0656	19.6	29.6	-239.4142242	0	2.90E+00	-297.37 	0	8.69E+00	-316.6732588	0
