RA	DE	Hbeta	RVHbeta	SigmHbeta	[OIII]4959	RV[OIII]4959	Sigm[OIII]4959	[OIII]5007	RV[OIII]5007	Sigm[OIII]5007
114.432	19.6	4.41E+01	0244.47 	24.31574093	2.10E+01	0310.43 	30.12337866	6.30E+01	0329.543722	29.09156354
113.0016	19.6	3.91E+01	0229.79 	22.22283693	1.80E+01	0301.97 	26.17885411	5.39E+01	0321.1629553	25.07106284
111.5712	19.6	3.60E+01	0243.24 	23.52674864	1.81E+01	0303.06 	14.69283564	5.42E+01	0322.2404824	12.9710002
110.1408	19.6	3.21E+01	0254.71 	47.10848601	1.13E+01	0318.23 	51.37013865	3.37E+01	0337.266	50.438828
108.7104	19.6	3.51E+01	0235.78 	22.72775983	1.71E+01	0303.72 	29.28051663	5.12E+01	0322.9588339	28.23516917
107.28	19.6	7.82E+01	0238.43 	20.04746583	3.91E+01	0301.42 	15.37760141	1.17E+02	0320.6241917	13.72723862
105.8496	19.6	1.03E+02	0234.36 	16.26568929	4.39E+01	0303.54 	17.26134766	1.32E+02	0322.7193834	15.77096422
104.4192	19.6	5.59E+01	0246.20 	28.48203846	2.41E+01	0308.38 	19.1130818	7.24E+01	0327.508393	17.74168733
102.9888	19.6	5.63E+01	0252.00 	12.55256591	1.77E+01	0315.63 	21.2558903	5.30E+01	0334.6919073	19.98964675
101.5584	19.6	5.37E+01	0259.46 	10.65564359	1.37E+01	0320.29 	15.0173874	4.12E+01	0339.3013291	13.33047573
100.128	19.6	2.42E+01	0268.03 	32.38687523	8.64E+00	0317.38 	10.12270772	2.59E+01	0336.4279233	7.552818705
98.6976	19.6	1.54E+01	0240.34 	34.11763137	5.46E+00	0308.56 	27.08037039	1.64E+01	0327.6879808	25.99302356
97.2672	19.6	1.79E+01	0232.32 	23.26158036	4.95E+00	0327.90 	0	1.48E+01	0346.8440192	0
95.8368	19.6	6.67E+01	0257.11 	0	2.24E+00	0298.46 	41.52013952	6.72E+00	0317.6909233	40.58230359
94.4064	19.6	1.90E+01	0234.30 	11.1138151	9.72E+00	0344.65 	0	2.92E+01	0363.4259649	0
92.976	19.6	1.89E+01	0271.67 	0	3.42E+00	0345.37 	4.711600665	1.03E+01	0364.1443163	0
91.5456	19.6	1.00E+01	0235.59 	0	2.25E+00	0485.33 	24.21573408	6.75E+00	0502.7262812	23.05545571
90.1152	19.6	5.80E+01	0237.69 	0	2.90E+00	0351.60 	33.75813229	8.69E+00	0370.3101661	32.77180385
88.6848	19.6	06.65E+00	 14.74 	95.37216984	2.65E+00	0355.71 	68.34325992	7.95E+00	0374.3808243	67.35293687
