RA	DE	Hbeta	RVHbeta	SigmHbeta	[OIII]4959	RV[OIII]4959	Sigm[OIII]4959	[OIII]5007	RV[OIII]5007	Sigm[OIII]5007
123.0144	17.3	6.13E+01	0234.73 	18.61034283	2.71E+01	0295.80 	20.05884967	8.13E+01	0315.0569681	18.73749178
121.584	17.3	7.71E+01	0235.22 	18.31658161	2.92E+01	0297.25 	21.45817205	8.76E+01	0316.4936709	20.20044556
120.1536	17.3	8.14E+01	0224.37 	20.78333088	3.14E+01	0292.78 	24.15149819	9.42E+01	0312.0638371	22.98929374
118.7232	17.3	9.02E+01	0220.42 	11.46086433	2.96E+01	0292.36 	18.25337764	8.87E+01	0311.6447987	16.83059476
117.2928	17.3	6.97E+01	0221.47 	15.59079289	2.64E+01	0290.78 	15.8894302	7.92E+01	0310.0883706	14.28736555
115.8624	17.3	5.42E+01	0231.83 	33.6719783	2.07E+01	0300.70 	35.84392712	6.20E+01	0319.9058403	34.87606264
114.432	17.3	7.83E+01	0250.45 	31.78505098	4.15E+01	0319.32 	30.09338715	1.25E+02	0338.3435272	29.06111225
113.0016	17.3	9.75E+01	0239.91 	20.11805979	4.87E+01	0310.01 	24.34402239	1.46E+02	0329.1845463	23.1875479
111.5712	17.3	6.36E+01	0231.15 	13.67060636	2.39E+01	0301.91 	23.86166459	7.18E+01	0321.1030927	22.69058794
110.1408	17.3	3.13E+01	0229.73 	31.81520766	1.07E+01	0320.23 	57.73137938	3.22E+01	0339.2414665	56.78540083
108.7104	17.3	3.43E+01	0236.27 	25.67518877	1.28E+01	0306.32 	45.14029541	3.84E+01	0325.5329265	44.21016297
107.28	17.3	6.70E+01	0236.33 	22.72775983	3.29E+01	0300.40 	21.6596606	9.86E+01	0319.6065272	20.4102076
105.8496	17.3	1.34E+02	0231.15 	14.44042859	5.55E+01	0299.91 	17.88924079	1.67E+02	0319.1276262	16.44275956
104.4192	17.3	9.38E+01	0239.04 	20.04746583	3.57E+01	0306.14 	16.58313675	1.07E+02	0325.293476	15.04049834
102.9888	17.3	6.58E+01	0246.57 	19.97675981	1.97E+01	0312.61 	20.78068457	5.92E+01	0331.758639	19.49356171
101.5584	17.3	6.57E+01	0249.90 	11.80055869	2.05E+01	0314.91 	9.693610442	6.13E+01	0333.9735559	6.979077539
100.128	17.3	3.44E+01	0251.63 	22.92850113	1.20E+01	0316.72 	9.963465665	3.59E+01	0335.7694345	7.342260714
98.6976	17.3	2.59E+01	0239.41 	21.54234709	6.45E+00	0317.93 	14.15593	1.94E+01	0336.9666869	12.3717177
97.2672	17.3	8.71E+00	0237.44 	43.29762753	1.17E001	0306.08 	2271.74046	3.50E001	0325.293476	2249.503314
95.8368	17.3	7.22E+00	0245.77 	16.1083265	4.01E+00	0313.27 	0	1.20E+01	0332.3572652	0
94.4064	17.3	4.47E+00	0329.58 	129.2936164	3.06E+00	0261.34 	32.52818383	9.19E+00	0280.9352748	31.52855819
92.976	17.3	6.36E+00	0206.79 	47.08041487	2.74E+00	0355.05 	0	8.21E+00	0373.7223355	0
91.5456	17.3	6.20E+00	0540.44 	70.42133129	03.62E+00	056.77 	32.3221407	01.09E+01	078.42003195	31.32009282
90.1152	17.3	02.74E001	 144.62 	1753.840648	08.35E001	 1,156.19 	886.9387906	02.51E+00	1122.723435	878.2359508
88.6848	17.3	2.47E+01	0359.80 	0	06.32E+00	021.82 	0	01.90E+01	043.75957508	0
87.2544	17.3	01.20E+01	0613.83 	8.08328621	2.61E+00	0272.95 	0	7.84E+00	0292.4288978	0
85.824	17.3	8.32E+00	0257.55 	0	02.25E+00	0214.01 	35.5558016	06.76E+00	0234.0628435	34.58566553
84.3936	17.3	1.99E+00	01,526.10 	987.228686	7.31E+00	0303.24 	13.69154096	2.19E+01	0322.4200703	11.84817133
82.9632	17.3	4.72E+01	0240.71 	13.27523932	7.90E+00	0310.07 	18.0717703	2.37E+01	0329.2444089	16.63732153
81.5328	17.3	4.39E+01	0238.37 	14.60805821	4.64E+00	0304.21 	0	1.39E+01	0323.3778722	0
80.1024	17.3	1.09E+01	0258.10 	33.2846713	5.73E+00	0259.41 	0	1.72E+01	0279.0196709	0
