pc,S
0.63,1.225349771449964
1.26,2.0825908404086784
1.8900000000000001,3.8258429201603708
2.52,5.430630896340661
3.15,7.039738441188019
3.7800000000000002,8.163927878406362
4.41,8.862706152519683
5.04,9.314593281615505
5.67,9.816046384286574
6.3,10.33329049937448
6.93,10.79794470255822
7.5600000000000005,11.349673559453908
8.19,11.949398744715811
8.82,12.521941315035754
9.45,13.099470104471473
10.08,13.532983451369063
10.71,13.98669101473984
11.34,14.37435435252505
11.97,14.692225536719807
12.6,15.040830588390765
13.23,15.295127411017434
13.86,15.533896696113768
14.49,15.737181794078225
15.120000000000001,15.923329818521278
15.75,16.148123459948952
16.38,16.309329746071892
17.01,16.51704356928845
17.64,16.738790695327847
18.27,16.910563586930834
18.9,17.019365330576193
19.53,17.197640685233893
20.16,17.3063497971093
20.79,17.517264006169622
21.42,17.590305933471438
22.05,17.708114351440333
22.68,17.88215870905295
23.31,17.89612559431301
23.94,18.004069471011785
24.57,17.947506168950508
25.2,18.042486620462594
25.830000000000002,18.147965947610277
26.46,18.08737887795691
27.09,18.081375930916487
27.72,17.934587814654858
28.35,17.85606796285329
28.98,17.772549594286414
29.61,17.618902470524915
30.240000000000002,17.57773845341355
30.87,17.363940069309788
31.5,17.33360045981503
32.13,17.238374428192838
32.76,17.123469480703342
33.39,17.092705557015655
34.02,16.91588274100116
34.65,16.80680835387178
35.28,16.589959703701926
35.910000000000004,16.42935992120249
36.54,16.254769018654343
37.17,16.0638218978738
37.8,15.845400345276435
38.43,15.753901810405752
39.06,15.650983942904999
39.69,15.463706725781956
40.32,15.242112366648211
40.95,14.936095937652285
41.58,14.788149835196725
42.21,14.442843098186675
42.84,14.076145255118249
43.47,13.894551174059695
44.1,13.750302247079954
44.73,13.696882149568028
45.36,13.689626039883468
45.99,13.55418621656664
46.62,13.78688411448695
47.25,13.795645961773307
47.88,13.966868903191651
48.51,14.009325762776417
49.14,13.919016370858941
49.77,14.389268088401131
50.4,14.374292827112702
51.03,14.690652063578801
51.660000000000004,15.108763556508837
52.29,15.450699625296993
52.92,15.561668923354711
53.55,15.412461600425502
54.18,15.794255335895636
54.81,16.120286029078823
55.44,16.151848552988763
56.07,16.066030972744286
56.7,15.755062794642784
57.33,15.705065973486844
57.96,15.528699612929591
58.59,15.123228158337277
59.22,14.713249155055742
59.85,14.219868893111428
60.480000000000004,13.850207800101382
61.11,13.110614005300949
61.74,12.92468170001457
62.37,12.318012443989245
63.0,12.118716668270253
63.63,12.289990385732304
64.26,12.273406139351554
64.89,12.428642119234825
65.52,12.234344437928893
66.15,12.130784575443435
66.78,11.737085561826282
67.39527876639431,11.60063193032083
68.01958026921366,10.919647463403651
68.62663768537695,10.658978896320697
69.25703213392846,10.067273601915536
69.93,9.424854279806864
70.55156199546542,8.787451924522022
71.15654080968243,8.49707017071182
71.74812192664,8.722904188681046
72.42808364163724,8.897640512850778
73.05012320318153,8.677005315607918
73.71,10.293550207276587
74.29193361327998,15.695530276275628
