X	Y	RV
128.736	19.6	-289.157579082096
127.395	19.6	-288.746454562073
126.054	19.6	-289.568703602118
124.713	19.6	-285.54881940636
123.372	19.6	-283.950001828504
122.031	19.6	-285.594499908594
120.69	19.6	-283.036391783991
119.349	19.6	-278.559702565976
118.008	19.6	-274.174374352429
116.667	19.6	-271.479224721165
115.326	19.6	-262.70856829403
113.985	19.6	-263.393775827415
112.644	19.6	-262.297443774008
111.303	19.6	-262.480165782902
109.962	19.6	-262.982651307392
108.621	19.6	-267.276618516513
107.28	19.6	-273.44348631681
105.939	19.6	-267.048216005385
104.598	19.6	-265.951883951977
103.257	19.6	-281.437574206134
101.916	19.6	-268.601353081007
100.575	19.6	-269.560643627713
99.234	19.6	-269.51496312552
97.893	19.6	-270.79401718778
96.552	19.6	-282.807989272862
95.211	19.6	-287.101956481983
93.87	19.6	-290.482313646632
92.529	19.6	-286.371068446405
91.188	19.6	-284.954972877443
89.847	19.6	-281.803018223923
88.506	19.6	-277.09792649478
87.165	19.6	-278.46834156155
85.824	19.6	-282.39686475284
128.736	17.3	-288.837815566541
127.395	17.3	-288.518052050945
126.054	17.3	-288.563732553179
124.713	17.3	-284.680889864081
123.372	17.3	-282.579586761776
122.031	17.3	-284.315445846292
120.69	17.3	-281.574615712795
119.349	17.3	-275.636150423625
118.008	17.3	-272.621237276765
116.667	17.3	-270.65697568112
115.326	17.3	-269.880407143309
113.985	17.3	-267.002535503151
112.644	17.3	-264.078983360758
111.303	17.3	-262.343124276242
109.962	17.3	-262.343124276242
108.621	17.3	-279.1078685927
107.28	17.3	-288.472371548752
105.939	17.3	-276.138635948074
104.598	17.3	-267.413660023173
103.257	17.3	-268.784075089901
101.916	17.3	-270.976739196675
100.575	17.3	-271.707627232294
99.234	17.3	-270.79401718778
97.893	17.3	-273.945971841301
96.552	17.3	-282.259823246179
95.211	17.3	-284.498167855187
93.87	17.3	-287.101956481983
92.529	17.3	-287.924205522028
91.188	17.3	-285.274736392998
89.847	17.3	-280.204200646066
88.506	17.3	-273.580527823512
87.165	17.3	-269.423602121052
85.824	17.3	-272.073071250082
128.736	15	-289.888467117715
127.395	15	-288.929176570968
126.054	15	-287.05627597979
124.713	15	-283.767279819609
123.372	15	-281.163491192772
122.031	15	-282.89935027733
120.69	15	-282.625267263968
119.349	15	-278.833785579338
118.008	15	-273.352125312384
116.667	15	-263.987622356332
115.326	15	-259.510933138317
113.985	15	-266.363008472
