X	Y	RV
112.644	15	-250.100749680031
111.303	15	-243.52275735967
109.962	15	-246.903114524277
108.621	15	-255.445368440325
107.28	15	-273.717569330173
105.939	15	-279.062188090466
104.598	15	-273.215083805682
103.257	15	-268.692714085475
101.916	15	-272.027390747848
100.575	15	-273.215083805682
99.234	15	-273.626208325705
97.893	15	-279.473312610489
96.552	15	-283.721599317375
95.211	15	-280.021478637172
93.87	15	-282.168462241753
92.529	15	-285.229055890806
91.188	15	-286.827873468662
89.847	15	-283.264794295119
88.506	15	-272.849639787893
87.165	15	-267.961826049856
85.824	15	-270.063129152203
128.736	12	-288.381010544285
127.395	12	-288.655093557647
126.054	12	-289.751425611013
124.713	12	-284.452487352953
123.372	12	-281.483254708368
122.031	12	-282.625267263968
120.69	12	-280.523964161663
119.349	12	-275.499108916923
118.008	12	-271.387863716697
116.667	12	-291.350243188911
115.326	12	-288.243969037624
113.985	12	-259.647974644978
112.644	12	-269.697685134414
111.303	12	-231.143341256799
109.962	12	-233.701449381361
108.621	12	-266.682771987554
107.28	12	-259.008447613827
105.939	12	-272.255793258976
104.598	12	-286.462429450832
103.257	12	-286.096985433043
101.916	12	-279.564673614915
100.575	12	-275.499108916923
99.234	12	-277.646092521504
97.893	12	-285.4117778997
96.552	12	-279.153549094893
95.211	12	-278.559702565976
93.87	12	-279.610354117149
92.529	12	-280.158520143832
91.188	12	-280.478283659429
89.847	12	-277.554731517036
88.506	12	-274.037332845727
87.165	12	-269.423602121052
85.824	12	-268.875436094369
128.736	10	-287.741483513134
127.395	10	-288.426691046519
126.054	10	-290.802077162186
124.713	10	-280.615325166089
123.372	10	-280.11283964164
122.031	10	-283.630238312908
120.69	10	-280.386922654961
119.349	10	-276.823843481459
118.008	10	-273.717569330173
116.667	10	-273.945971841301
115.326	10	-291.395923691103
113.985	10	-252.430455293465
112.644	10	-256.176256475902
111.303	10	-255.856492960348
109.962	10	-258.277559578249
108.621	10	-251.790928262356
107.28	10	-253.389745840212
105.939	10	-262.251763271774
104.598	10	-276.869523983693
103.257	10	-283.219113792885
101.916	10	-280.021478637172
100.575	10	-276.869523983693
99.234	10	-275.225025903603
97.893	10	-279.610354117149
96.552	10	-279.153549094893
95.211	10	-275.773191930286
93.87	10	-276.549760468097
92.529	10	-275.544789419157
91.188	10	-275.087984396901
89.847	10	-270.565614676652
88.506	10	-271.479224721165
87.165	10	-268.601353081007
85.824	10	-269.697685134414
128.736	8	-288.929176570968
127.395	8	-296.512139940269
126.054	8	-291.076160175548
124.713	8	-286.279707441938
123.372	8	-281.163491192772
122.031	8	-283.812960321802
120.69	8	-282.168462241753
119.349	8	-279.062188090466
118.008	8	-277.554731517036
116.667	8	-271.524905223399
115.326	8	-267.367979520939
113.985	8	-261.520875236196
112.644	8	-275.453428414689
111.303	8	-294.776280855752
109.962	8	-296.649181446971
108.621	8	-286.782192966428
107.28	8	-262.251763271774
105.939	8	-268.281589565452
104.598	8	-272.986681294595
103.257	8	-279.930117632746
101.916	8	-280.889408179451
100.575	8	-284.772250868549
99.234	8	-280.11283964164
97.893	8	-275.087984396901
96.552	8	-275.636150423625
95.211	8	-274.402776863557
93.87	8	-273.945971841301
92.529	8	-273.534847321278
91.188	8	-274.585498872452
89.847	8	-271.296502712271
88.506	8	-267.733423538728
87.165	8	-270.200170658863
85.824	8	-275.453428414689
128.736	6	-285.4117778997
127.395	6	-287.421719997579
126.054	6	-292.812019260065
124.713	6	-288.746454562073
123.372	6	-285.777221917489
122.031	6	-285.092014384104
120.69	6	-280.341242152768
119.349	6	-277.828814530399
118.008	6	-277.646092521504
116.667	6	-276.458399463671
115.326	6	-273.078042299022
113.985	6	-272.438515267871
112.644	6	-266.225966965339
111.303	6	-261.475194733962
109.962	6	-253.526787346872
108.621	6	-257.775074053759
107.28	6	-265.951883951977
105.939	6	-275.133664899135
104.598	6	-275.453428414689
103.257	6	-276.229996952542
101.916	6	-282.89935027733
100.575	6	-283.675918815142
99.234	6	-278.696744072678
97.893	6	-275.042303894667
96.552	6	-274.905262388006
95.211	6	-272.849639787893
93.87	6	-269.51496312552
92.529	6	-259.282530627189
91.188	6	-262.57152678737
89.847	6	-270.702656183354
88.506	6	-276.138635948074
87.165	6	-275.179345401369
85.824	6	-276.229996952542
128.736	4	-294.456517340156
127.395	4	-293.542907295684
126.054	4	-290.299591637737
124.713	4	-289.842786615481
123.372	4	-289.34030109099
122.031	4	-288.929176570968
120.69	4	-282.122781739519
119.349	4	-279.336271103787
118.008	4	-277.46337051261
116.667	4	-276.001594441414
115.326	4	-279.701715121617
113.985	4	-281.026449686112
112.644	4	-272.758278783467
111.303	4	-269.377921618818
109.962	4	-272.484195770105
108.621	4	-278.696744072678
107.28	4	-278.239939050421
105.939	4	-273.763249832407
104.598	4	-273.945971841301
103.257	4	-277.417690010376
101.916	4	-281.25485219724
100.575	4	-280.661005668323
99.234	4	-277.554731517036
97.893	4	-274.859581885772
96.552	4	-275.179345401369
95.211	4	-276.778162979225
93.87	4	-278.788105077104
92.529	4	-275.864552934712
91.188	4	-266.317327969766
89.847	4	-265.632120436422
88.506	4	-272.255793258976
87.165	4	-269.971768147735
85.824	4	-268.464311574347
128.736	2	-280.2498811483
127.395	2	-280.021478637172
126.054	2	-282.945030779564
124.713	2	-280.615325166089
123.372	2	-283.675918815142
122.031	2	-286.964914975322
120.69	2	-283.767279819609
119.349	2	-284.04136283293
118.008	2	-277.09792649478
116.667	2	-276.960884988119
115.326	2	-283.493196806247
113.985	2	-281.25485219724
112.644	2	-276.275677454735
111.303	2	-275.087984396901
109.962	2	-272.575556774573
108.621	2	-273.626208325705
107.28	2	-278.514022063742
105.939	2	-285.959943926383
104.598	2	-273.078042299022
103.257	2	-286.005624428617
101.916	2	-284.863611872975
100.575	2	-277.280648503716
99.234	2	-271.66194673006
97.893	2	-271.753307734527
96.552	2	-275.042303894667
95.211	2	-273.580527823512
93.87	2	-272.849639787893
92.529	2	-273.763249832407
91.188	2	-271.66194673006
89.847	2	-268.418631072113
88.506	2	-265.403717925294
87.165	2	-262.754248796264
85.824	2	-262.57152678737
128.736	0	-269.789046138841
127.395	0	-269.103838605498
126.054	0	-270.337212165565
124.713	0	-270.611295178886
123.372	0	-273.991652343535
122.031	0	-278.970827085999
120.69	0	-280.935088681685
119.349	0	-286.462429450832
118.008	0	-286.827873468662
116.667	0	-277.006565490353
115.326	0	-278.74242457487
113.985	0	-279.1078685927
112.644	0	-275.636150423625
111.303	0	-268.647033583241
109.962	0	-273.534847321278
108.621	0	-278.376980557082
107.28	0	-267.002535503151
105.939	0	-263.987622356332
104.598	0	-261.56655573843
103.257	0	-273.260764307916
101.916	0	-287.05627597979
100.575	0	-281.665976717262
99.234	0	-274.311415859089
97.893	0	-273.854610836833
96.552	0	-275.270706405795
95.211	0	-273.30644481015
93.87	0	-269.789046138841
92.529	0	-264.764190894143
91.188	0	-261.612236240623
89.847	0	-264.124663862992
88.506	0	-264.764190894143
87.165	0	-263.530817334075
85.824	0	-265.038273907505
