RA	DE	Halpha	RVHalpha	SigmHalpha	[NII]6548	RV[NII]6548	Sigm[NII]6548	[NII]6584	RV[NII]6584	Sigm[NII]6584	[SII]6717	RV[SII]6717	Sigm[SII]6717	[SII]6731	RV[SII]6731	Sigm[SII]6731
166.284	19.6	15.43	-269.3779216	0	3.183	-68.9961124	196.4756413	9.548	-45.85911347	195.426937	7.721	-241.4048743	12.35246382	10.15	-267.590304	12.28367687
164.943	19.6	-20.8	-117.2161687	64.49318608	2.183	-209.781146	114.9364835	6.548	-185.8956318	114.3183935	7.574	-409.2901799	17.5716424	-10.97	-435.1460169	17.50350416
163.602	19.6	-17.73	-117.5359322	51.77523014	7.551	-290.3147636	3.836975051	22.65	-266.0010743	3.600658628	-4.345	-385.4978725	0	-16.01	-411.3621917	0
162.261	19.6	-13.97	47.59908332	492.0840937	2.419	-403.9042492	70.40240904	7.256	-378.9866359	70.01666316	7.282	-148.0658225	13.46165917	-8.749	-174.4592578	13.39381007
160.92	19.6	-13.21	-117.3075297	56.59974175	15.71	-251.0323054	0	47.12	-226.9274702	0	-4.139	-376.0791543	55.11481641	-5.689	-401.9644629	54.98276083
159.579	19.6	-15.65	-128.7276553	53.65647451	3.202	4.669942578	195.7546999	9.605	27.41527936	194.7098136	23.71	-225.6474926	0	7.014	-251.8680374	0
158.238	19.6	15.58	-272.1187518	19.00028198	3.577	-28.75219548	226.7860335	10.73	-5.829162388	225.5767248	11.93	-218.7731674	8.186709402	10.8	-245.0090316	8.106077101
156.897	19.6	32.79	-269.7433656	0	7.11	-292.6039511	14.69370977	21.33	-268.2780908	14.56069684	12.82	-220.5587064	0	13.23	-246.8351306	0
155.556	19.6	41.77	-281.5746157	8.668412946	6.626	-284.729146	15.9159822	19.88	-260.4451539	15.78070021	22.8	-238.0569887	0	6.772	-264.2944181	0
154.215	19.6	36.49	-275.9102334	13.59311924	4.243	-226.4464313	60.68680252	12.73	-202.4723123	60.35088069	10.63	-231.4951328	6.914022745	17.79	-257.7026463	6.824627966
152.874	19.6	40.12	-265.8605229	14.46187188	3.322	19.59544533	259.4206076	9.967	42.26142731	258.0382364	12.47	-239.2622275	40.97096538	-0.3922	-265.452432	40.86724125
151.533	19.6	31.8	-267.779104	12.75289346	2.887	-56.13087844	221.4106625	8.661	-33.06228042	220.229847	-326.2	-309.5678261	0	12.51	-335.6013549	0
150.192	19.6	44.71	-279.1535491	18.1145033	5.835	-294.2063824	27.22534039	17.51	-269.8720024	27.05100541	24	-229.9327862	0	14.46	-256.1437813	0
148.851	19.6	35.45	-283.0363918	17.5742047	2.418	1.831350031	240.4954933	7.254	24.59177882	239.2134976	20.14	-230.6470018	4.148596027	22.23	-256.8564053	4.014833185
