,Y,X,RV,I,Sig
288,3,66,-2.79,4.485,18.2325
289,3,68,-5.2925,5.21,16.877499999999998
290,3,69,-5.197500000000001,4.9675,17.1325
293,3,79,-3.42,3.1425,16.0775
361,4,67,-3.3125,5.2325,18.3325
362,4,68,-4.92,5.595000000000001,17.3375
363,4,69,-5.3425,5.5249999999999995,17.0325
428,5,66,-2.3225000000000002,4.1775,19.89
429,5,67,-3.2449999999999997,4.795000000000001,19.1325
430,5,68,-4.0424999999999995,5.205,17.662499999999998
431,5,69,-5.6000000000000005,5.2524999999999995,17.2025
432,5,71,-7.62,4.905,15.71
496,6,57,-9.71,2.7874999999999996,25.255
497,6,67,-3.5749999999999997,4.4799999999999995,20.002499999999998
498,6,70,-7.875,4.8875,16.72
499,6,71,-8.69,4.7924999999999995,16.9675
502,6,78,-2.5125,4.7475,15.377500000000001
561,7,60,-7.275,3.8825,21.457499999999996
562,7,65,-0.03499999999999999,4.285,18.2225
563,7,68,-5.3375,4.82,18.2975
564,7,71,-7.4075,4.7175,17.552500000000002
565,7,72,-6.6525,5.039999999999999,16.3475
566,7,73,-5.535,4.782500000000001,16.195
568,7,79,-1.7025000000000001,4.6875,17.82
569,7,80,-2.2424999999999997,4.3025,17.655
626,8,57,-5.470000000000001,3.2275,25.3225
627,8,58,-7.92,3.815,22.5725
628,8,59,-8.2775,4.405,21.69
629,8,66,-3.6025,4.9275,19.814999999999998
630,8,67,-5.2175,5.0175,19.7275
631,8,68,-6.217499999999999,5.285,17.7075
632,8,69,-6.0175,5.7225,16.105
633,8,70,-5.4750000000000005,5.8925,15.0025
634,8,71,-4.98,5.6175,15.542499999999999
635,8,72,-5.2625,5.5925,15.885
636,8,73,-5.9575,5.1274999999999995,16.91
638,8,80,-2.3225,4.515,16.925
698,9,58,-7.2524999999999995,4.8725000000000005,20.1225
699,9,59,-7.89,5.3125,20.099999999999998
700,9,60,-7.5675,5.4225,20.6
701,9,61,-6.4925,5.015,20.525
702,9,64,-0.22999999999999998,4.4875,21.0275
703,9,65,-2.6625,4.73,21.0275
704,9,66,-5.0275,5.2025,19.432499999999997
705,9,67,-5.835000000000001,5.6975,18.46
706,9,68,-6.595,6.1925,16.727500000000003
707,9,69,-5.72,6.1875,16.635
708,9,70,-4.5249999999999995,6.255000000000001,16.085
709,9,71,-2.7025,6.1775,15.8775
710,9,72,-3.625,5.879999999999999,16.0675
711,9,74,-4.7725,4.4125,17.6825
712,9,78,1.6425,4.359999999999999,17.6025
713,9,79,0.365,4.6925,17.0875
769,10,56,-5.775,4.1625000000000005,21.340000000000003
770,10,57,-6.8575,4.8725000000000005,20.035
771,10,58,-6.954999999999999,5.7325,18.900000000000002
772,10,59,-7.447499999999999,6.2225,19.7425
773,10,60,-7.6025,6.472499999999999,19.7325
774,10,61,-7.005,6.1775,19.77
775,10,62,-5.785,5.775,19.697499999999998
776,10,63,-4.422499999999999,5.442499999999999,19.755
777,10,64,-3.955,5.48,19.51
778,10,65,-4.0575,5.7675,19.995
779,10,66,-5.7075,6.065,19.3075
780,10,67,-6.265000000000001,6.470000000000001,18.45
781,10,68,-6.625,6.7299999999999995,17.1575
782,10,69,-5.7025,6.295,17.505000000000003
783,10,70,-4.452500000000001,6.1975,17.33
784,10,71,-2.3525,6.45,16.595
785,10,72,-3.2225,6.465,15.962499999999999
786,10,73,-4.16,5.8075,16.437500000000004
841,11,56,-5.935,4.54,19.9775
842,11,57,-6.765000000000001,5.4125,18.6525
843,11,58,-7.327500000000001,6.145,18.81
844,11,59,-8.0725,6.5875,19.877499999999998
845,11,60,-8.190000000000001,7.092499999999999,19.2725
846,11,61,-7.225,7.2875,19.0
847,11,62,-7.262499999999999,7.1425,18.134999999999998
848,11,63,-6.6625000000000005,6.817500000000001,17.695
849,11,64,-5.5725,6.68,18.0075
850,11,65,-4.885000000000001,7.18,18.0975
851,11,66,-5.6825,7.319999999999999,18.33
852,11,67,-5.675,7.202500000000001,19.0925
853,11,68,-5.595000000000001,7.08,18.875
854,11,69,-5.08,6.575,18.6
855,11,70,-4.9025,6.385,17.314999999999998
856,11,71,-3.37,6.535,16.89
857,11,72,-2.8725,6.699999999999999,15.98
858,11,73,-3.1849999999999996,6.02,16.4775
859,11,74,-3.135,5.2975,16.7
860,11,75,-2.41,4.7825,16.8775
861,11,78,0.11500000000000002,4.695,16.25
862,11,79,-0.6425000000000001,4.5875,16.810000000000002
916,12,55,-0.03999999999999998,2.935,26.314999999999998
917,12,57,-6.3525,4.8125,19.93
918,12,58,-7.994999999999999,5.989999999999999,18.035
919,12,59,-8.5475,7.005000000000001,18.13
920,12,60,-8.07,7.9625,17.5075
921,12,61,-7.3175,8.155,18.080000000000002
922,12,62,-7.932499999999999,8.092500000000001,17.427500000000002
923,12,63,-7.672499999999999,7.6025,17.705000000000002
924,12,64,-6.1325,7.455,17.932499999999997
925,12,65,-5.1325,8.0175,17.537499999999998
926,12,66,-4.7875,8.2075,17.905
927,12,67,-4.4875,8.1,18.4
928,12,68,-4.36,7.9575,18.330000000000002
929,12,69,-3.8575,7.672499999999999,18.085
930,12,70,-3.4499999999999997,7.4075,16.91
931,12,71,-2.38,7.050000000000001,16.5675
932,12,72,-2.09,6.904999999999999,15.907499999999999
933,12,73,-2.615,6.015000000000001,17.015
934,12,74,-2.87,5.1825,17.305
935,12,75,-1.7674999999999998,4.635,17.2925
936,12,76,0.2575,4.4275,17.0575
937,12,79,-2.7975,4.0975,17.0325
993,13,58,-7.5375,4.9775,19.737499999999997
994,13,59,-8.4225,6.2275,18.465000000000003
995,13,60,-7.1925,7.4375,17.515
996,13,61,-6.762499999999999,8.005,18.072499999999998
997,13,62,-7.6575,8.280000000000001,17.6075
998,13,63,-7.7875,7.92,18.1725
999,13,64,-6.7475,7.8925,17.735
1000,13,65,-6.442499999999999,8.235,17.1425
1001,13,66,-5.44,8.642499999999998,17.085
1002,13,67,-4.3775,9.1175,16.875
1003,13,68,-3.5100000000000002,9.32,16.5575
1004,13,69,-2.6875,8.7875,16.97
1005,13,70,-1.3925,7.805,16.975
1006,13,71,-0.23499999999999996,7.029999999999999,16.495
1007,13,72,-0.925,6.887500000000001,15.192499999999999
1008,13,73,-2.5725,6.0575,15.91
1009,13,77,0.08250000000000002,4.1,16.4675
1066,14,60,-6.2225,6.1625000000000005,19.4875
1067,14,61,-6.9675,7.2075000000000005,19.162499999999998
1068,14,62,-7.7749999999999995,8.005,18.6425
1069,14,63,-7.37,8.0675,19.0975
1070,14,64,-6.535,8.487499999999999,17.7125
1071,14,65,-6.5425,8.94,16.7775
1072,14,66,-5.995,9.592500000000001,16.205
1073,14,67,-4.64,9.9825,15.807500000000001
1074,14,68,-3.29,9.475,16.07
1075,14,69,-1.855,8.7725,16.2325
1076,14,70,-0.3425,7.7375,16.865000000000002
1077,14,71,0.74,6.7775,17.0075
1078,14,72,-0.935,6.555000000000001,16.055
1079,14,73,-2.5,5.925,15.7925
1134,15,60,-6.8225,4.9624999999999995,20.5025
1135,15,61,-8.0075,6.4725,19.3325
1136,15,62,-7.119999999999999,7.4025,19.755
1137,15,63,-5.0,8.030000000000001,19.527500000000003
1138,15,64,-4.5175,8.7675,17.65
1139,15,65,-5.39,9.415000000000001,16.654999999999998
1140,15,66,-5.515,9.64,16.425
1141,15,67,-4.52,9.5675,16.1675
1142,15,68,-3.1274999999999995,8.7475,16.5425
1143,15,69,-1.5499999999999998,7.815,16.634999999999998
1144,15,70,-1.5975000000000001,6.8149999999999995,17.1375
1145,15,71,-1.5099999999999998,6.210000000000001,17.23
1146,15,72,-2.395,6.1975,16.365000000000002
1205,16,61,-8.445,6.005,18.064999999999998
1206,16,62,-6.074999999999999,7.01,19.0775
1207,16,63,-2.71,7.875,18.8925
1208,16,64,-2.45,8.6125,17.8
1209,16,65,-3.3825000000000003,9.299999999999999,17.009999999999998
1210,16,66,-4.1425,9.315,16.647499999999997
1211,16,67,-3.5075000000000003,8.754999999999999,16.525
1212,16,68,-2.8125,7.574999999999999,17.0975
1213,16,69,-2.2649999999999997,6.4025,17.57
