,Y,X,RV,I,Sig
2379,27,58,8.0775,1.89,26.4075
2383,27,67,6.01,1.8625,23.490000000000002
2384,27,68,5.43,1.975,23.425
2385,27,69,6.615,1.8625,23.1025
2446,28,57,5.8925,1.8175,26.832500000000003
2447,28,59,3.785,2.0974999999999997,26.015
2448,28,62,2.0100000000000002,1.7850000000000001,22.9875
2449,28,66,8.31,1.9949999999999999,21.995
2450,28,67,5.5375,2.1374999999999997,22.220000000000002
2451,28,69,3.5775,2.1525,22.785
2452,28,70,3.485,1.975,22.127499999999998
2518,29,58,2.9875,2.1675,25.07
2519,29,59,0.5775,2.2700000000000005,25.9775
2520,29,60,-2.4650000000000003,2.3625000000000003,24.377499999999998
2521,29,61,-2.225,2.5174999999999996,21.5175
2522,29,62,0.0824999999999999,2.31,23.2125
2523,29,63,1.7974999999999999,2.1375,24.067500000000003
2524,29,64,3.23,2.08,24.467499999999998
2525,29,65,3.63,2.3125,24.337500000000002
2526,29,66,5.800000000000001,2.6125,23.457500000000003
2527,29,67,4.465,2.9075,22.0125
2528,29,68,3.8575,3.1325000000000003,20.3375
2529,29,69,3.6625,2.9749999999999996,20.225
2530,29,70,4.9125,2.6675,20.525
2531,29,71,4.515,2.1625,21.5125
2532,29,72,5.9399999999999995,1.78,20.2525
2591,30,50,-2.2175,1.9825,23.784999999999997
2592,30,51,0.26249999999999996,2.1675,22.645
2594,30,56,2.9575000000000005,1.8125,25.020000000000003
2595,30,57,3.0149999999999997,2.2225,22.9425
2596,30,58,-0.2675,2.4850000000000003,23.2525
2597,30,59,-0.545,2.6825,24.5425
2598,30,60,-0.8325,2.8425000000000002,23.695
2599,30,61,-2.4325,3.2575000000000003,20.835
2600,30,62,-2.4425,3.34,22.41
2601,30,63,-0.4049999999999999,3.2825,23.549999999999997
2602,30,64,2.1025,3.1075,23.8925
2603,30,65,1.77,3.3175,23.3225
2604,30,66,2.7524999999999995,3.56,23.2125
2605,30,67,2.6950000000000003,3.69,22.48
2606,30,68,3.54,3.8724999999999996,20.585
2607,30,69,3.9074999999999998,3.6950000000000003,20.92
2608,30,70,5.797499999999999,3.3375,20.735
2609,30,71,5.827500000000001,2.7625,21.2425
2610,30,72,5.9975000000000005,2.1799999999999997,20.3625
2661,31,48,-2.2975000000000003,2.235,26.3275
2662,31,49,-0.9225,3.0225,24.127499999999998
2663,31,50,-0.6975,3.465,22.7675
2664,31,51,0.6325,3.8024999999999998,22.0825
2665,31,52,2.5075,3.4725,23.1725
2666,31,53,1.9125,2.9725,22.5825
2667,31,55,3.3274999999999997,2.3975,21.5325
2668,31,56,5.1925,2.2225,22.685000000000002
2669,31,57,4.7125,2.47,23.8275
2670,31,58,1.9425,2.8175,24.7025
2671,31,59,1.3025000000000002,3.26,24.720000000000002
2672,31,60,1.59,3.505,22.9925
2673,31,61,-1.0525,3.955,21.307499999999997
2674,31,62,-2.67,4.4425,21.435
2675,31,63,-1.4324999999999999,4.495,22.215000000000003
2676,31,64,1.0775000000000001,4.215,22.877499999999998
2677,31,65,0.2025,4.2125,22.3375
2678,31,66,-0.065,4.195,23.152500000000003
2679,31,67,0.9675,4.1075,23.0925
2680,31,68,2.8775,4.29,21.502499999999998
2681,31,69,3.7975000000000003,4.27,21.335
2682,31,70,5.2975,4.05,20.355
2683,31,71,5.34,3.395,20.625
2684,31,72,4.42,2.5675,21.46
2719,32,46,-4.24,1.935,24.295
2720,32,47,-3.6425,2.6675,23.947499999999998
2721,32,48,0.41500000000000004,3.4699999999999998,24.177500000000002
2722,32,49,2.1725000000000003,4.717499999999999,23.14
2723,32,50,1.6024999999999998,5.4125,22.92
2724,32,51,1.875,5.9425,22.54
2725,32,52,2.7875000000000005,5.657500000000001,22.7975
2726,32,53,2.97,4.935,22.4375
2727,32,54,3.07,3.8225,22.705
2728,32,55,3.225,3.0999999999999996,21.979999999999997
2729,32,56,3.1249999999999996,2.8125,21.66
2730,32,57,3.1425,2.8725,23.205000000000005
2731,32,58,1.9475,3.4175,24.275
2732,32,59,1.4025,3.995,24.444999999999997
2733,32,60,0.4875,3.9925,24.5175
2734,32,61,-0.9575,4.29,22.7925
2735,32,62,-1.0875,5.04,21.9975
2736,32,63,-0.5700000000000001,5.407500000000001,21.53
2737,32,64,0.85,4.965,22.232499999999998
