,X,Y,Center,Peak,Width,RV,Sig
71,104.598,22.0,6578.244000000001,28.99,0.9179999999999999,-208.88813553351258,12.858230054816575
73,101.916,22.0,6578.326999999999,68.08,0.882,-205.10851192008852,11.878173335481781
74,100.575,22.0,6578.25,125.0,0.757,-208.6149097301555,8.027629985085904
75,99.234,22.0,6578.254,351.3,0.779,-208.43275919457028,8.779815464666836
76,97.89299999999999,22.0,6578.224,359.1,0.777,-209.79888821148,8.713259621866168
77,96.552,22.0,6578.316999999999,186.9,0.9259999999999999,-205.56388825907226,13.07107959137689
78,95.211,22.0,6578.401,143.8,1.0590000000000002,-201.73872701165868,16.420203692195763
79,93.87,22.0,6578.3730000000005,96.2,1.126,-203.01378076075508,18.010902751706176
80,92.529,22.0,6578.393,66.84,1.188,-202.1030280828291,19.443947456889816
81,91.18799999999999,22.0,6578.418000000001,91.86,1.047,-200.96458723536978,16.129733064586418
82,89.84700000000001,22.0,6578.276,111.5,0.899,-207.43093124883097,12.34577988025806
83,88.506,22.0,6578.297,83.77,1.042,-206.47464093699824,16.00814132984879
84,87.165,22.0,6578.203,122.0,0.961,-210.75517852331274,13.984347728996415
85,85.824,22.0,6578.193,265.1,0.7140000000000001,-211.21055486229648,6.385806989423973
86,84.48299999999999,22.0,6578.172,241.3,0.731,-212.16684517417053,7.068863240141301
87,83.14200000000001,22.0,6578.205,165.5,0.7859999999999999,-210.66410325554085,9.010197639207073
88,81.801,22.0,6578.23,118.3,0.777,-209.52566240812297,8.713259621866168
89,80.46,22.0,6578.236999999999,53.71,1.024,-209.20689897085919,15.567522459791363
90,79.119,22.0,6578.262,42.54,0.8,-208.06845812339986,9.459950161068518
93,75.096,22.0,6578.189,54.92,0.889,-211.39270539788168,12.071826167131105
221,104.598,18.0,6578.7609999999995,14.05,10.453,-185.3451788086174,201.8130952814398
222,103.257,18.0,6578.526,37.07,1.2009999999999998,-196.0465227744864,19.740470779654046
223,101.916,18.0,6578.432,52.71,1.238,-200.32706036084227,20.577853151038457
224,100.575,18.0,6578.465,98.94,1.012,-198.8243184422126,15.271123635952392
225,99.234,18.0,6578.352,278.8,0.821,-203.97007107262925,10.110693830759626
226,97.89299999999999,18.0,6578.286,464.3,0.7759999999999999,-206.97555490984723,8.679854977187244
227,96.552,18.0,6578.263000000001,301.4,0.7859999999999999,-208.0229204894518,9.010197639207073
228,95.211,18.0,6578.267,195.4,0.805,-207.84076995390802,9.617327213201639
229,93.87,18.0,6578.349,135.3,0.915,-204.10668397430777,12.777980496801636
232,89.84700000000001,18.0,6578.194,82.0,1.022,-211.1650172283898,15.518274711854744
233,88.506,18.0,6578.27,70.83,1.167,-207.70415705218807,18.962196866124145
234,87.165,18.0,6578.184,136.6,0.983,-211.62039356737353,14.545185221222871
235,85.824,18.0,6578.2480000000005,325.8,0.769,-208.70598499792737,8.44356308332977
236,84.48299999999999,18.0,6578.206999999999,269.3,0.72,-210.57302798776897,6.633059096421798
237,83.14200000000001,18.0,6578.201,207.6,0.7,-210.84625379112606,5.77688671495338
238,81.801,18.0,6578.314,93.78,0.7440000000000001,-205.7005011607094,7.55927303354574
240,79.119,18.0,6578.3730000000005,20.24,3.2260000000000004,-203.01378076075508,61.18467584088766
241,77.778,18.0,6578.293000000001,38.56,0.902,-206.65679147254207,12.427375416639395
242,76.437,18.0,6578.312,40.63,0.887,-205.79157642852272,12.01665956740349
370,105.939,15.0,6578.409000000001,48.17,1.7890000000000001,-201.37442594044683,32.364128569154595
371,104.598,15.0,6578.611,68.74,1.421,-192.17582389320756,24.60679740539146
372,103.257,15.0,6578.62,130.8,0.9490000000000001,-191.76598518813051,13.674323193569839
373,101.916,15.0,6578.483,206.5,0.9570000000000001,-198.00464103205843,13.88134433861432
374,100.575,15.0,6578.326999999999,479.5,0.872,-205.10851192008852,11.598659805444932
375,99.234,15.0,6578.343000000001,743.9,0.7959999999999999,-204.37990977766486,9.332859416387524
376,97.89299999999999,15.0,6578.263000000001,1487.0,0.764,-208.0229204894518,8.27200795665229
377,96.552,15.0,6578.201,693.4,0.76,-210.84625379112606,8.132986566199541
378,95.211,15.0,6578.209,322.6,0.858,-210.48195271995564,11.201235852607672
386,84.48299999999999,15.0,6578.276,258.2,0.7659999999999999,-207.43093124883097,8.34091887434122
387,83.14200000000001,15.0,6578.289000000001,138.4,0.8220000000000001,-206.83894200812728,10.141045877746606
388,81.801,15.0,6578.397,58.32,0.833,-201.9208775472439,10.471470519954135
389,80.46,15.0,6578.776,21.27,5.481,-184.6621143001418,105.30514837978616
390,79.119,15.0,6578.361999999999,36.07,1.3769999999999998,-203.5146947336869,23.652391478419766
391,77.778,15.0,6578.493,35.3,1.508,-197.5492646930747,26.473180047278827
392,76.437,15.0,6578.4580000000005,45.85,0.971,-199.1430818794763,14.24043574903495
393,75.096,15.0,6578.201999999999,16.69,3.075,-210.8007161572608,58.20314602124272
506,124.713,14.0,6578.534000000001,80.19,0.828,-195.6822217032746,10.322045104149954
507,123.37200000000001,14.0,6578.552,46.18,1.3359999999999999,-194.86254429316187,22.755679664434158
508,122.031,14.0,6578.21,31.15,2.7230000000000003,-210.43641508604895,51.225608552294304
521,104.598,14.0,6578.347,108.5,1.249,-204.19775924212104,20.82505424620671
522,103.257,14.0,6578.579000000001,167.7,1.127,-193.63302817788923,18.03428717333022
524,100.575,14.0,6578.694,414.4,0.804,-188.39620027970068,9.585980445645239
525,99.234,14.0,6578.647,814.0,0.764,-190.5364690728993,8.27200795665229
526,97.89299999999999,14.0,6578.4130000000005,1781.0,0.857,-201.19227540486162,11.172558619976686
527,96.552,14.0,6578.309,2445.0,0.716,-205.92818933020123,6.469043099538673
528,95.211,14.0,6578.342,371.8,0.794,-204.42544741161294,9.268902753998686
529,93.87,14.0,6578.354,192.7,0.889,-203.87899580481587,12.071826167131105
530,92.529,14.0,6578.289000000001,202.9,1.033,-206.83894200812728,15.788409303609951
531,91.18799999999999,14.0,6578.238,237.5,0.934,-209.1613613369111,13.282320986477217
532,89.84700000000001,14.0,6578.196,202.1,0.8440000000000001,-211.0739419606179,10.795976826032321
534,87.165,14.0,6578.185,210.9,0.8490000000000001,-211.5748559334669,10.94166599742093
535,85.824,14.0,6578.246999999999,288.1,0.755,-208.7515226318755,7.956852362642605
536,84.48299999999999,14.0,6578.249,360.5,0.7509999999999999,-208.66044736406212,7.813948497762325
537,83.14200000000001,14.0,6578.3009999999995,216.2,0.831,-206.2924904014131,10.411849894880651
538,81.801,14.0,6578.366999999999,109.0,0.8170000000000001,-203.28700656419505,9.988737915780423
539,80.46,14.0,6578.269,64.55,0.9259999999999999,-207.7496946860947,13.07107959137689
540,79.119,14.0,6578.158,21.27,3.1260000000000003,-212.80437204869804,59.21083119180442
542,76.437,14.0,6578.515,26.41,2.327,-196.54743674733533,43.311599332844516
543,75.096,14.0,6578.446,48.11,0.9490000000000001,-199.68953348627332,13.674323193569839
656,124.713,11.0,6578.565,38.96,2.42,-194.27055505249956,45.17807504325923
657,123.37200000000001,11.0,6578.405,55.9,1.597,-201.55657647607347,28.358700423615645
658,122.031,11.0,6578.54,66.55,1.32,-195.40899589991744,22.403622170215844
664,113.985,11.0,6578.302,30.55,2.256,-206.2469527675064,41.8826705647378
665,112.64399999999999,11.0,6578.43,27.85,1.975,-200.41813562861415,36.18509129973311
666,111.303,11.0,6578.316,34.61,2.011,-205.6094258929375,36.91944992208203
669,107.28,11.0,6578.291,100.1,1.008,-206.7478667403554,15.17182634826078
670,105.939,11.0,6578.42,89.86,0.9840000000000001,-200.8735119675979,14.57046019405891
671,104.598,11.0,6578.496,129.5,0.865,-197.41265179139612,11.400875624121849
672,103.257,11.0,6578.505,112.5,0.9420000000000001,-197.00281308631907,13.492029775156105
673,101.916,11.0,6578.585,163.5,0.866,-193.35980237453214,11.429241858097882
674,100.575,11.0,6578.579000000001,197.2,0.885,-193.63302817788923,11.96136364638015
675,99.234,11.0,6578.51,334.8,0.897,-196.77512491682722,12.291234117778464
676,97.89299999999999,11.0,6578.481,567.8,0.882,-198.0957162998717,11.878173335481781
677,96.552,11.0,6578.358,1108.0,0.743,-203.69684526923066,7.522385925150404
678,95.211,11.0,6578.335999999999,868.3,0.7879999999999999,-204.69867321501147,9.075317968533993
679,93.87,11.0,6578.392,502.8,0.8440000000000001,-202.14856571673573,10.795976826032321
680,92.529,11.0,6578.404,358.9,0.8690000000000001,-201.60211410993873,11.514116217602389
681,91.18799999999999,11.0,6578.299,196.7,0.988,-206.38356566918497,14.671379665394296
682,89.84700000000001,11.0,6578.281,190.5,0.87,-207.20324307933907,11.542333806440178
683,88.506,11.0,6578.316,217.0,0.865,-205.6094258929375,11.400875624121849
684,87.165,11.0,6578.380999999999,225.9,0.78,-202.6494796896261,8.812968576825932
685,85.824,11.0,6578.346,258.8,0.7559999999999999,-204.24329687602773,7.992296117361462
