,X,Y,Center,Peak,Width,RV,Sig
65,121.584,22.0,5002.349,16.14,0.785,-246.59114816729078,5.665068638357172
66,120.1536,22.0,5002.4529999999995,43.26,0.315,-240.3640584040025,
67,118.7232,22.0,5003.358,19.32,0.33799999999999997,-186.1764022904,
68,117.2928,22.0,5002.669,21.02,-0.579,-227.43087197245706,
69,115.8624,22.0,5002.859,12.91,1.03,-216.05445798173378,17.880502464051357
72,111.5712,22.0,5003.4529999999995,13.92,1.33,-180.4881952950928,27.88642073639517
73,110.1408,22.0,5003.232,19.39,1.325,-193.72076104213482,27.732040760485773
74,108.7104,22.0,5003.061,19.84,1.1,-203.95953363377492,20.399790373910342
75,107.28,22.0,5003.0509999999995,29.04,1.11,-204.55829226487714,20.74719029190378
76,105.8496,22.0,5003.224,19.76,1.291,-194.19976794699477,26.674639460186615
77,104.4192,22.0,5002.754,24.28,0.6559999999999999,-222.3414236081976,
78,102.9888,22.0,5003.055,16.04,0.9279999999999999,-204.31878881239265,13.803421808542726
79,101.5584,22.0,5002.9490000000005,18.42,0.521,-210.6656303019231,
80,100.12799999999999,22.0,5002.512,15.92,0.768,-236.83138248056503,3.875128847330775
215,121.584,18.0,5003.083,5.632999999999999,2.082,-202.6422646453828,49.368492551551
216,120.1536,18.0,5002.413,27.05,-0.358,-242.75909292835672,
217,118.7232,18.0,5002.977,18.38,0.764,-208.9891061349133,3.324602819491109
218,117.2928,18.0,5002.617,31.09,0.789,-230.5444168541012,6.013759731171088
219,115.8624,18.0,5002.896,38.57,1.102,-213.83905104674284,20.469489244058423
220,114.432,18.0,5002.9529999999995,37.04,1.304,-210.42612684954764,27.08055500905545
221,113.0016,18.0,5003.087,14.01,1.112,-202.40276119289837,20.81634742079527
222,111.5712,18.0,5003.31,14.0,0.9179999999999999,-189.05044371961418,13.363920726541524
223,110.1408,18.0,5002.992,28.47,1.237,-208.09096818826004,24.96476178576827
224,108.7104,18.0,5003.034000000001,32.41,0.7120000000000001,-205.57618193766365,
225,107.28,18.0,5003.0509999999995,47.01,1.026,-204.55829226487714,17.73113135241771
227,104.4192,18.0,5002.87,24.01,0.518,-215.39582348756494,
228,102.9888,18.0,5002.93,17.93,1.064,-211.80327170100634,19.124918657690145
229,101.5584,18.0,5002.867,49.55,-0.26,-215.57545107687378,
230,100.12799999999999,18.0,5002.644,19.57,-0.991,-228.92776855015802,16.39303527029365
365,121.584,15.0,5002.7570000000005,25.8,1.07,-222.16179601883425,19.340223468768347
367,118.7232,15.0,5002.714,24.04,0.935,-224.73645813255177,14.105654089369063
368,117.2928,15.0,5002.819,31.98,1.02,-218.44949250608795,17.505793427427786
369,115.8624,15.0,5002.874,28.8,1.2570000000000001,-215.15632003513497,25.602775554844413
370,114.432,15.0,5003.0,32.34,1.629,-207.6119612834001,36.74112211956757
371,113.0016,15.0,5003.141,27.27,1.4409999999999998,-199.16946458506646,31.250573204121725
372,111.5712,15.0,5003.202,44.94,1.311,-195.51703693538684,27.298283477013147
373,110.1408,15.0,5003.135,74.42,1.3330000000000002,-199.52871976368425,27.978917257961236
