,X,Y,Center,Peak,Width,RV,Sig
74,100.575,22.0,6726.034000000001,24.84,0.667,-186.3755953063365,
75,99.234,22.0,6726.026,94.0,0.8190000000000001,-186.7319184287315,3.532359074340365
76,97.89299999999999,22.0,6726.0509999999995,114.2,0.78,-185.61840867136368,
223,101.916,18.0,6726.085,23.59,1.079,-184.10403540129653,13.751416076730903
224,100.575,18.0,6726.203,28.14,0.8740000000000001,-178.84826934642672,6.76792537143489
225,99.234,18.0,6726.14,69.41,0.889,-181.65431393503883,7.434371219822439
226,97.89299999999999,18.0,6726.065,135.0,0.802,-184.9948432072232,1.6169408070201647
227,96.552,18.0,6726.069,93.36,0.794,-184.81668164600546,
372,103.257,15.0,6726.486,31.64,1.047,-166.24333889286487,12.835566692301526
373,101.916,15.0,6726.276,56.79,0.992,-175.5968208548918,11.163037089989112
374,100.575,15.0,6726.142,96.26,0.992,-181.5652331544705,11.163037089989112
375,99.234,15.0,6726.147,149.3,0.805,-181.34253120298882,2.0832680297385835
376,97.89299999999999,15.0,6726.089,334.9,0.7390000000000001,-183.92587384011932,
377,96.552,15.0,6726.028,173.4,0.775,-186.64283764812262,
378,95.211,15.0,6726.066,94.79,0.865,-184.95030281691874,6.34059039113353
521,104.598,14.0,6726.184,25.56,1.167,-179.69453676204893,16.119634727373143
522,103.257,14.0,6726.411,52.03,1.137,-169.58386816500865,15.33308646178925
523,101.916,14.0,6726.441999999999,58.16,0.986,-168.20311606589536,10.971128570487034
524,100.575,14.0,6726.463000000001,75.82,1.022,-167.26776786962375,12.092916110707181
525,99.234,14.0,6726.444,160.0,0.85,-168.11403528524596,5.567380325762729
526,97.89299999999999,14.0,6726.268,411.7,0.8540000000000001,-175.95314397724627,5.782324116105672
527,96.552,14.0,6726.126,563.6,0.738,-182.27787939917937,
528,95.211,14.0,6726.165,114.9,0.7809999999999999,-180.54080417767108,
529,93.87,14.0,6726.179,58.91,0.92,-179.9172387135306,8.679941791366286
530,92.529,14.0,6726.170999999999,72.39,0.8690000000000001,-180.27356183592553,6.533420604670793
531,91.18799999999999,14.0,6726.055,73.48,1.023,-185.44024711014595,12.123141349963667
532,89.84700000000001,14.0,6725.996999999999,59.71,-0.877,-188.02358974731698,6.905428387454042
673,101.916,11.0,6726.385,49.36,0.802,-170.74191831268087,1.6169408070201647
674,100.575,11.0,6726.359,52.92,0.9390000000000001,-171.89996846035308,9.379941601609175
675,99.234,11.0,6726.323,81.6,0.9520000000000001,-173.50342251098857,9.837780662366852
676,97.89299999999999,11.0,6726.316999999999,159.6,0.93,-173.77066485281517,9.05333179552285
677,96.552,11.0,6726.175,295.8,0.794,-180.0954002747078,
678,95.211,11.0,6726.170999999999,290.2,0.753,-180.27356183592553,
679,93.87,11.0,6726.241,191.5,0.8290000000000001,-177.1557345152229,4.286723629096249
680,92.529,11.0,6726.229,145.2,0.8220000000000001,-177.69021919875456,3.7735362815512863
681,91.18799999999999,11.0,6726.1990000000005,73.27,0.956,-179.02643090760398,9.975647120619751
682,89.84700000000001,11.0,6726.1759999999995,54.07,0.877,-180.05085988444387,6.905428387454042
683,88.506,11.0,6726.151999999999,81.63,0.841,-181.11982925154774,5.054563842423295
814,113.985,8.0,6726.361,10.54,0.904,-171.81088767978468,8.055805284089573
815,112.64399999999999,8.0,6726.387,25.49,0.986,-170.65283753211247,10.971128570487034
816,111.303,8.0,6726.39,30.48,0.987,-170.5192163611992,11.003264441170087
823,101.916,8.0,6726.371,30.03,0.877,-171.3654837768214,6.905428387454042
824,100.575,8.0,6726.395,60.96,0.778,-170.2965144097176,
825,99.234,8.0,6726.379,99.83,0.841,-171.00916065446694,5.054563842423295
826,97.89299999999999,8.0,6726.368,193.3,0.754,-171.49910494769415,
827,96.552,8.0,6726.264,379.4,0.7659999999999999,-176.13130553842348,
828,95.211,8.0,6726.196999999999,295.5,0.805,-179.11551168825332,2.0832680297385835
829,93.87,8.0,6726.257,121.8,0.7859999999999999,-176.443088270514,
830,92.529,8.0,6726.209,118.1,0.828,-178.58102700468112,4.216981663847946
831,91.18799999999999,8.0,6726.246,87.66,0.8859999999999999,-176.93303256374122,7.305065240964189
832,89.84700000000001,8.0,6726.305,79.96,0.825,-174.30514953630632,4.001004120955415
833,88.506,8.0,6726.271,90.81,0.77,-175.8195228063734,
963,115.32600000000001,5.0,6726.451999999999,29.84,0.907,-167.75771216293202,8.175607063221744
964,113.985,5.0,6726.343000000001,51.91,1.276,-172.61261470506196,18.84544320431782
965,112.64399999999999,5.0,6726.522,154.1,0.9420000000000001,-164.63988484222932,9.486992077158845
966,111.303,5.0,6726.528,81.61,1.149,-164.37264250044325,15.649979684622163
968,108.62100000000001,5.0,6726.416,55.21,1.565,-169.36116621352699,25.475801549217532
969,107.28,5.0,6726.505,29.33,1.587,-165.39707147724266,25.95834588007257
971,104.598,5.0,6726.357,50.6,0.9179999999999999,-171.9890492409619,8.603818573245375
972,103.257,5.0,6726.484,41.89,0.9309999999999999,-166.3324196734332,9.090043804867939
973,101.916,5.0,6726.536999999999,50.27,0.82,-163.9717789878249,3.6144409359523038
974,100.575,5.0,6726.473000000001,46.77,0.764,-166.82236396666048,
975,99.234,5.0,6726.379,79.92,0.873,-171.00916065446694,6.721572462321881
976,97.89299999999999,5.0,6726.382,196.3,0.94,-170.87553948359414,9.415722313970418
977,96.552,5.0,6726.401999999999,206.9,0.9309999999999999,-169.98473167770806,9.090043804867939
978,95.211,5.0,6726.363,288.7,0.7929999999999999,-171.72180689917582,
979,93.87,5.0,6726.365,173.1,0.754,-171.63272611860748,
980,92.529,5.0,6726.329000000001,154.0,0.78,-173.23618016920244,
981,91.18799999999999,5.0,6726.361999999999,117.5,0.774,-171.7663472895208,
982,89.84700000000001,5.0,6726.326,84.39,0.759,-173.36980134011577,
983,88.506,5.0,6726.338000000001,115.9,0.73,-172.83531665654363,
1112,116.667,2.0,6726.63,42.36,0.9079999999999999,-159.82952269032285,8.21523989532826
1113,115.32600000000001,2.0,6726.501,70.92,0.889,-165.57523303841992,7.434371219822439
1114,113.985,2.0,6726.411,144.0,0.812,-169.58386816500865,2.896764630232622
1115,112.64399999999999,2.0,6726.346,211.5,0.884,-172.47899353422963,7.217822327517184
