,X,Y,Center,Peak,Width,RV,Sig
71,104.598,22.0,6725.99,18.98,1.052,-188.33537247936698,12.981066597535333
73,101.916,22.0,6726.06,15.81,0.701,-185.21754515866428,
74,100.575,22.0,6726.034000000001,24.84,0.667,-186.3755953063365,
75,99.234,22.0,6726.026,94.0,0.8190000000000001,-186.7319184287315,3.532359074340365
76,97.89299999999999,22.0,6726.0509999999995,114.2,0.78,-185.61840867136368,
77,96.552,22.0,6726.156999999999,71.92,0.871,-180.89712730006607,6.628056194841521
78,95.211,22.0,6726.1230000000005,55.68,0.94,-182.41150057005217,9.415722313970418
79,93.87,22.0,6726.251,37.2,0.95,-176.71033061225955,9.768337616167535
80,92.529,22.0,6726.244000000001,35.77,0.828,-177.02211334430956,4.216981663847946
81,91.18799999999999,22.0,6726.244000000001,46.08,0.91,-177.02211334430956,8.294066879332853
82,89.84700000000001,22.0,6726.174,44.81,0.902,-180.13994066501226,7.975162059393595
83,88.506,22.0,6726.148,40.07,0.8340000000000001,-181.29799081268442,4.62082920228744
84,87.165,22.0,6726.063,46.61,0.9640000000000001,-185.08392398779154,10.24749284174547
85,85.824,22.0,6726.003000000001,109.6,0.767,-187.75634740549037,
86,84.48299999999999,22.0,6725.991,110.0,0.732,-188.29083208906252,
87,83.14200000000001,22.0,6725.999,68.92,0.7390000000000001,-187.9345089667081,
88,81.801,22.0,6726.048000000001,56.76,0.723,-185.75202984219595,
89,80.46,22.0,6726.178000000001,31.85,0.7909999999999999,-179.96177910379453,
90,79.119,22.0,6726.076999999999,24.09,0.693,-184.46035852369153,
93,75.096,22.0,6726.07,32.58,0.83,-184.77214125574153,4.3554311406829695
221,104.598,18.0,6726.182,5.567,1.875,-179.7836175426578,32.104470053574595
222,103.257,18.0,6725.973000000001,14.05,-0.897,-189.0925591143398,7.77069910908249
223,101.916,18.0,6726.085,23.59,1.079,-184.10403540129653,13.751416076730903
224,100.575,18.0,6726.203,28.14,0.8740000000000001,-178.84826934642672,6.76792537143489
225,99.234,18.0,6726.14,69.41,0.889,-181.65431393503883,7.434371219822439
226,97.89299999999999,18.0,6726.065,135.0,0.802,-184.9948432072232,1.6169408070201647
227,96.552,18.0,6726.069,93.36,0.794,-184.81668164600546,
