,X,Y,Center,Peak,Width,RV,Sig
53,128.74,19.6,6724.883000000001,206.5,0.868,-237.59606191703375,6.449306529615481
54,127.4,19.6,6724.879,242.0,0.7809999999999999,-237.77422347825149,
55,126.05,19.6,6724.871,205.1,0.831,-238.13054660060595,4.369661935762985
56,124.71,19.6,6724.984,183.4,0.847,-233.0974824972178,5.357541112293749
57,123.37,19.6,6725.033,241.0,0.856,-230.91500337274618,5.847136875610991
58,122.03,19.6,6724.9890000000005,260.9,0.799,-232.87478054573614,0.6519970593351901
59,120.69,19.6,6724.916,161.7,1.178,-236.1262290373116,16.389164372888235
60,119.35,19.6,6725.033,171.9,1.202,-230.91500337274618,17.001435598246672
61,118.01,19.6,6725.088000000001,378.8,-265.259,-228.4652819064885,5018.31707651296
62,116.67,19.6,6725.2,106.9,1.249,-223.4767581934453,18.173594695467113
63,115.33,19.6,6725.448,154.2,0.809,-212.43074140017399,2.486035602368599
64,113.99,19.6,6725.494000000001,186.3,0.7929999999999999,-210.38188344657516,
65,112.64,19.6,6725.4890000000005,175.3,0.826,-210.60458539805683,4.016045298268466
66,111.3,19.6,6725.53,185.5,0.841,-208.77842939598017,5.0078222681942695
67,109.96,19.6,6725.496,164.0,0.76,-210.29280266600682,
68,108.62,19.6,6725.438,165.9,0.815,-212.8761453031373,3.1093241330998684
69,107.28,19.6,6725.392,121.9,1.03,-214.9250032567361,12.314374550778366
70,105.94,19.6,6725.46,139.1,0.8590000000000001,-211.8962567166423,6.002539646301295
71,104.6,19.6,6725.474,134.2,0.8009999999999999,-211.27269125250177,1.2531672258328286
72,103.26,19.6,6724.767,77.8,2.617,-242.76274719133522,47.15061181834539
73,101.92,19.6,6725.383000000001,69.25,1.065,-215.32586676935446,13.337463640429768
74,100.58,19.6,6725.36,225.5,0.7609999999999999,-216.3502957461944,
75,99.23,19.6,6725.35,316.7,0.789,-216.79569964911718,
76,97.89,19.6,6725.302,330.6,0.828,-218.93363838332488,4.16084157183607
77,96.55,19.6,6725.048000000001,220.1,0.9640000000000001,-230.24689751830124,10.224518461732766
78,95.21,19.6,6724.893,208.5,0.965,-237.150658014111,10.25822576118456
79,93.87,19.6,6724.806,177.8,1.179,-241.02567196982693,16.414880884288273
80,92.53,19.6,6724.887,138.4,1.093,-237.41790035589707,14.124963398459768
81,91.19,19.6,6724.8769999999995,99.52,1.042,-237.8633042588604,12.670557154166403
203,128.74,17.3,6724.908,157.1,0.83,-236.482552159666,4.301098540363893
204,127.4,17.3,6724.893,247.6,0.7809999999999999,-237.150658014111,
205,126.05,17.3,6724.906999999999,305.1,0.767,-236.527092550011,
206,124.71,17.3,6725.01,278.8,0.8290000000000001,-231.9394323495456,4.231508915852781
207,123.37,17.3,6725.071,250.1,0.797,-229.22246854154233,
208,122.03,17.3,6725.009,280.4,0.743,-231.98397273985006,
209,120.69,17.3,6725.061,324.7,0.833,-229.66787244450563,4.503896810607086
210,119.35,17.3,6725.119000000001,335.3,0.8220000000000001,-227.08452980733466,3.7106932372365904
211,118.01,17.3,6725.233,324.0,0.848,-222.0069253136826,5.413863006958622
212,116.67,17.3,6725.224,199.7,0.9890000000000001,-222.40778882634143,11.046084219722378
213,115.33,17.3,6725.244000000001,250.7,1.185,-221.51698102041485,16.568795384619907
214,113.99,17.3,6725.365,356.1,0.785,-216.12759379471274,
215,112.64,17.3,6725.435,359.7,0.815,-213.00976647401006,3.1093241330998684
216,111.3,17.3,6725.484,343.5,0.7709999999999999,-210.8272873495385,
