,X,Y,Center,Peak,Width,RV,Sig
51,131.42,19.6,6577.143,374.7,0.852,-258.9795478352985,10.979639556041842
52,130.08,19.6,6577.088000000001,489.1,0.8540000000000001,-261.48411769962615,11.037616935281966
53,128.74,19.6,6577.125,385.9,0.821,-259.79922524545265,10.057306662342487
55,126.05,19.6,6577.145,354.2,0.7959999999999999,-258.88847256748517,9.274996088791148
56,124.71,19.6,6577.1669999999995,357.0,0.7979999999999999,-257.88664462178724,9.339071262320273
57,123.37,19.6,6577.23,456.6,0.823,-255.01777368624784,10.118276980492222
58,122.03,19.6,6577.229,537.0,0.7290000000000001,-255.06331132011303,6.913731268755892
59,120.69,19.6,6577.217,327.3,0.855,-255.6097629269101,11.066542431558021
60,119.35,19.6,6577.306,313.0,1.051,-251.55691351004606,16.193554414995905
63,115.33,19.6,6577.681,258.4,0.7929999999999999,-234.48030079852924,9.178350335293171
65,112.64,19.6,6577.71,295.8,0.794,-233.1597094154847,9.210637644817119
68,108.62,19.6,6577.646,254.7,0.78,-236.0741179849308,8.751668566459719
70,105.94,19.6,6577.6669999999995,244.2,0.833,-235.11782767309813,10.41993197728787
76,97.89,19.6,6577.521,554.1,0.8220000000000001,-241.7663222221031,10.087819340947737
77,96.55,19.6,6577.243,425.0,0.92,-254.42578444554408,12.869834444547132
78,95.21,19.6,6577.1359999999995,382.2,0.938,-259.2983112726037,13.347088099526463
92,76.44,19.6,6577.4,352.5,0.941,-247.27637592369018,13.425858783721962
203,128.74,17.3,6577.125,281.9,0.8190000000000001,-259.79922524545265,9.996114170990383
206,124.71,17.3,6577.229,510.6,0.785,-255.06331132011303,8.91735409508547
209,120.69,17.3,6577.29,791.8,0.7020000000000001,-252.2855156523869,5.774490850932299
210,119.35,17.3,6577.348000000001,686.5,0.757,-249.64433288629783,7.960284589038768
211,118.01,17.3,6577.446,673.6,0.773,-245.1816447643982,8.516139207755552
212,116.67,17.3,6577.479,395.8,0.9059999999999999,-243.67890284576845,12.492741675486464
