,Y,X,RV,I,Sig
1895,30,61,5.75,4.4825,20.5625
1896,30,62,3.5749999999999997,4.4275,21.724999999999998
1897,30,63,3.7475,4.46,18.995
1898,30,64,1.9324999999999997,4.365,19.625
1899,30,65,3.27,4.5925,18.9025
1900,30,66,2.2125,4.37,18.215
1901,30,67,1.7375,3.9125,17.4375
1902,30,72,-2.775,2.315,20.82
1929,31,20,0.18750000000000006,3.5124999999999997,22.377499999999998
1930,31,21,2.7024999999999997,3.8325,22.945
1931,31,22,5.12,4.2625,21.415
1932,31,23,5.935,4.8525,17.86
1933,31,24,6.8325,4.715,18.6825
1934,31,25,5.237500000000001,4.1875,21.4475
1935,31,26,2.46,3.67,24.3
1936,31,27,0.43,3.35,23.75
1937,31,32,4.18,3.1100000000000003,29.175
1938,31,33,4.085,3.7875,27.415
1939,31,34,5.285,3.8600000000000003,28.215
1940,31,35,8.682500000000001,3.4,29.845000000000002
1941,31,36,10.5325,2.865,31.999999999999996
1942,31,37,14.215,2.4825,33.115
1943,31,38,13.215,2.11,33.9975
1944,31,39,8.89,1.9049999999999998,33.81999999999999
1957,31,57,9.55,2.9225,24.775
1958,31,58,12.1975,3.915,21.36
1959,31,59,11.8425,4.8475,18.7725
1960,31,60,9.105,5.1325,19.4225
1961,31,61,7.5575,5.365,20.7075
1962,31,62,4.6275,5.1825,21.8875
1963,31,63,2.7475,5.345000000000001,18.7575
1964,31,64,0.71,5.1225000000000005,18.747500000000002
1965,31,65,2.525,5.075,18.7725
1966,31,66,3.2275,4.635,18.1575
1967,31,68,1.9649999999999999,3.5975,17.5825
1968,31,69,1.7675,3.2575000000000003,17.0875
1996,32,20,-1.085,3.0425,24.08
1997,32,21,2.3175,3.255,26.295
1998,32,22,5.055,3.885,23.479999999999997
1999,32,23,5.635,4.6825,19.74
2000,32,24,6.49,4.8525,19.619999999999997
2001,32,25,5.277500000000001,4.545,21.2975
2002,32,26,2.15,4.17,23.3025
2003,32,27,1.0125,4.1175,22.3625
2004,32,28,-0.9575,3.8200000000000003,22.18
2005,32,29,-1.6549999999999998,3.855,20.51
2006,32,30,-1.985,3.62,23.462500000000002
2007,32,31,0.04749999999999993,3.5425000000000004,27.049999999999997
2008,32,32,2.4250000000000003,3.725,27.560000000000002
2009,32,33,4.0975,4.08,27.1775
2010,32,34,6.62,3.81,29.2975
2011,32,35,11.92,3.4399999999999995,29.565
2012,32,36,15.845,3.15,30.41
2013,32,37,17.5925,2.96,31.47
2014,32,38,13.9875,2.525,33.535
2015,32,40,10.434999999999999,1.795,38.214999999999996
2025,32,57,11.5175,3.1625,22.884999999999998
2026,32,58,13.8525,4.2825,20.23
2027,32,59,12.1825,5.3675,19.24
2028,32,60,9.9375,6.14,19.064999999999998
2029,32,61,8.897499999999999,6.76,18.584999999999997
2030,32,62,5.64,6.3075,19.955000000000002
2031,32,63,2.3449999999999998,6.26,18.9575
2032,32,64,0.3325,5.954999999999999,18.48
2033,32,65,1.3725,5.515000000000001,18.8775
2034,32,66,1.8825000000000003,4.8774999999999995,18.86
2035,32,67,1.0225,4.3675,18.75
2036,32,70,0.95,2.995,17.08
