,X,Y,Center,Peak,Width,RV,Sig
53,128.74,19.6,6577.125,385.9,0.821,-259.79922524545265,10.057306662342487
54,127.4,19.6,6577.115,447.8,0.741,-260.2546015844364,7.375580297158616
55,126.05,19.6,6577.145,354.2,0.7959999999999999,-258.88847256748517,9.274996088791148
56,124.71,19.6,6577.1669999999995,357.0,0.7979999999999999,-257.88664462178724,9.339071262320273
57,123.37,19.6,6577.23,456.6,0.823,-255.01777368624784,10.118276980492222
58,122.03,19.6,6577.229,537.0,0.7290000000000001,-255.06331132011303,6.913731268755892
59,120.69,19.6,6577.217,327.3,0.855,-255.6097629269101,11.066542431558021
60,119.35,19.6,6577.306,313.0,1.051,-251.55691351004606,16.193554414995905
61,118.01,19.6,6577.441999999999,327.3,0.9640000000000001,-245.36379530002483,14.02304607025257
62,116.67,19.6,6577.419,195.7,1.155,-246.4111608796294,18.65646466665391
63,115.33,19.6,6577.681,258.4,0.7929999999999999,-234.48030079852924,9.178350335293171
64,113.99,19.6,6577.67,309.7,0.8029999999999999,-234.98121477137818,9.498057448078207
65,112.64,19.6,6577.71,295.8,0.794,-233.1597094154847,9.210637644817119
66,111.3,19.6,6577.734,320.5,0.7759999999999999,-232.06680620193202,8.61760813602243
67,109.96,19.6,6577.706999999999,286.3,0.767,-233.29632231720467,8.310700548740138
68,108.62,19.6,6577.646,254.7,0.78,-236.0741179849308,8.751668566459719
69,107.28,19.6,6577.601,226.3,0.887,-238.12331151031617,11.97177491936378
70,105.94,19.6,6577.6669999999995,244.2,0.833,-235.11782767309813,10.41993197728787
71,104.6,19.6,6577.639,222.0,0.7340000000000001,-236.3928814221946,7.10889438738409
72,103.26,19.6,6577.012,130.4,2.634,-264.9449778758693,49.4430499794172
73,101.92,19.6,6577.281,102.2,1.9280000000000002,-252.69535435746394,35.20873305384379
74,100.58,19.6,6577.596,354.3,0.769,-238.350999679808,8.379561152184948
75,99.23,19.6,6577.562,574.1,0.769,-239.899279232303,8.379561152184948
76,97.89,19.6,6577.521,554.1,0.8220000000000001,-241.7663222221031,10.087819340947737
77,96.55,19.6,6577.243,425.0,0.92,-254.42578444554408,12.869834444547132
78,95.21,19.6,6577.1359999999995,382.2,0.938,-259.2983112726037,13.347088099526463
79,93.87,19.6,6577.036,303.4,1.056,-263.8520746623166,16.3147962117825
80,92.53,19.6,6577.151999999999,192.3,1.1079999999999999,-258.5697091302628,17.557668653200835
81,91.19,19.6,6577.124,178.9,0.93,-259.84476287935934,13.135976851826673
203,128.74,17.3,6577.125,281.9,0.8190000000000001,-259.79922524545265,9.996114170990383
204,127.4,17.3,6577.151,441.7,0.7490000000000001,-258.6152467641281,7.671943296718903
205,126.05,17.3,6577.143,553.1,0.731,-258.9795478352985,6.992289687138167
206,124.71,17.3,6577.229,510.6,0.785,-255.06331132011303,8.91735409508547
207,123.37,17.3,6577.264,505.5,0.773,-253.4694941337114,8.516139207755552
208,122.03,17.3,6577.25,654.6,0.634,-254.10702100828036,
209,120.69,17.3,6577.29,791.8,0.7020000000000001,-252.2855156523869,5.774490850932299
210,119.35,17.3,6577.348000000001,686.5,0.757,-249.64433288629783,7.960284589038768
211,118.01,17.3,6577.446,673.6,0.773,-245.1816447643982,8.516139207755552
212,116.67,17.3,6577.479,395.8,0.9059999999999999,-243.67890284576845,12.492741675486464
213,115.33,17.3,6577.491999999999,434.3,1.085,-243.08691360514763,17.01180208516048
214,113.99,17.3,6577.595,612.9,0.7609999999999999,-238.39653731367326,8.101715680614536
215,112.64,17.3,6577.647,664.0,0.772,-236.02858035102417,8.482134705689754
216,111.3,17.3,6577.715,634.8,0.738,-232.93202124599281,7.262176483078003
217,109.96,17.3,6577.696,505.6,0.715,-233.79723629005366,6.343219860953169
218,108.62,17.3,6577.673000000001,357.9,0.823,-234.84460186965822,10.118276980492222
219,107.28,17.3,6577.388000000001,308.5,1.5019999999999998,-247.82282753040437,26.324815548261814
220,105.94,17.3,6577.517,392.3,0.9179999999999999,-241.9484727576883,12.816293056247819
221,104.6,17.3,6577.646,304.1,0.82,-236.0741179849308,10.026738442203282
222,103.26,17.3,6577.557,159.7,0.993,-240.12696740179484,14.760702662564052
223,101.92,17.3,6577.493,158.6,0.998,-243.04137597119956,14.886326726800185
224,100.58,17.3,6577.504,326.0,0.836,-242.54046199835057,10.509434293058453
