pc,S
1.95E-02,1.55E+00
5.77E-02,1.97E+00
9.79E-02,3.05E+00
1.37E-01,4.10E+00
1.73E-01,4.80E+00
2.14E-01,6.09E+00
2.56E-01,6.10E+00
2.94E-01,6.22E+00
3.24E-01,6.35E+00
3.72E-01,7.29E+00
4.11E-01,7.44E+00
4.53E-01,7.90E+00
4.91E-01,6.62E+00
5.21E-01,6.24E+00
5.76E-01,6.12E+00
6.11E-01,6.12E+00
6.74E-01,6.12E+00
7.30E-01,6.37E+00
7.73E-01,6.90E+00
7.89E-01,7.17E+00
8.86E-01,8.57E+00
9.05E-01,7.92E+00
9.62E-01,6.38E+00
1.06E+00,5.34E+00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
