pc,S
0.63,1.4792045166011367
1.26,2.527879155541266
1.8900000000000001,4.6798209883743
2.52,6.791891185468784
3.15,9.09721664833264
3.7800000000000002,10.91344789654846
4.41,12.396126643628515
5.04,13.680646024611015
5.67,15.03060360894892
6.3,16.237992762340696
6.93,17.21937940050714
7.5600000000000005,18.29155336199389
8.19,19.014322746190427
8.82,19.85333297549156
9.45,20.593637436244215
10.08,21.401689365182172
10.71,22.13693197637122
11.34,22.660739372236296
11.97,23.3629846855278
12.6,23.700732297462586
13.23,24.253353968851684
13.86,24.580180149414574
14.49,25.003587816858477
15.120000000000001,25.35485744046827
15.75,25.439855086316506
16.38,25.793952328681343
17.01,25.83851675247345
17.64,26.056130950964054
18.27,26.011735904314392
18.9,25.806676464364525
19.53,26.0559245130743
20.16,25.821089703540725
20.79,26.012330525271704
21.42,25.631196357651042
22.05,25.489532029663145
22.68,25.61266411803385
23.31,25.259185736956645
23.94,25.36821376742892
24.57,25.06131048485815
25.2,25.11386091028237
25.830000000000002,25.23412982214843
26.46,25.037889586651545
27.09,25.274862623028294
27.72,25.268407415514467
28.35,25.49352293477579
28.98,25.664883562857845
29.61,25.877188130428053
30.240000000000002,26.266030118963815
30.87,26.377638347904057
31.5,26.834202304515575
32.13,27.091405733481995
32.76,27.622216061648178
33.39,28.045774573987075
34.02,28.456122391374105
34.65,28.93425173388183
35.28,29.488515082388037
35.910000000000004,29.85035928886026
36.54,30.156108353538873
37.17,30.38103010303591
37.8,30.74223917373625
38.43,30.78655697884188
39.06,30.88246279352652
39.69,30.866620308526095
40.32,30.792454343046334
40.95,30.682863422848847
41.58,30.368670604118158
42.21,30.34927427287927
42.84,30.28571694862685
43.47,30.373865348194695
44.1,30.300834100877434
44.73,30.280484892398704
45.36,30.176506410012223
45.99,30.00591392080987
46.62,29.565011400247958
47.25,29.09973205516592
47.88,28.578504324385758
48.51,27.970802724430957
49.14,27.52555112925588
49.77,26.85923103493669
50.4,26.563678413439433
51.03,25.95560324234275
51.660000000000004,25.511988314205915
52.29,25.37696500047098
52.92,24.941825295769753
53.55,24.9874309258871
54.18,24.627149014464838
54.81,24.33191403535235
55.44,24.48301881944179
56.07,23.887644006963484
56.7,24.16566725676461
57.33,24.001907284703773
57.96,23.82853114723709
58.59,23.668613251921418
59.22,23.258136253687358
59.85,23.342387246098383
60.480000000000004,23.033295069031908
61.11,22.825890628077026
61.74,22.960889835487016
62.37,22.946282809707725
63.0,23.450402826733857
63.63,23.3656467587398
64.26,23.757632607327313
64.89,24.019604844191146
65.52,23.743272425445685
66.15,23.957917199575157
66.78,24.303571086698376
67.41,24.665729971892155
68.04,24.562751945432023
68.67,24.67515561402749
69.3,24.86949777787656
69.93,24.968833430068692
70.56,24.65305276671614
71.19,24.360085182656462
71.82000000000001,23.973761185770957
72.45,24.418284155141716
73.08,24.546350498480564
73.71,24.42247465565506
74.34,24.60538668739128
74.97,24.441112274305087
75.6,24.144703716451286
76.23,24.056417841789457
76.86,23.607840676222583
77.49,23.972025692974835
78.12,23.355848644638783
78.75,22.98713028369394
79.38,23.019806922366268
80.01,22.61617149052128
80.64,22.98518090505021
81.27,23.538149438950494
81.9,23.963170412230166
82.53,24.246560619597346
83.16,26.270459374107194
83.79,27.67221180581651
84.42,29.163985884604266
85.05,32.909232818133695
85.68,36.15930587495049
86.31,41.04234923441235
86.94,44.65390119947173
87.57000000000001,54.442696474074694
88.2,62.55373987009627
88.83,68.30681942014964
89.46,76.13859247633471
90.09,74.98513468869345
90.72,77.91457437953058
91.35,75.83362692801578
91.98,68.22346507546753
92.61,66.38193191090183
93.24,61.31978849059878
93.87,51.25103321090343
94.5,49.089125658324875
95.13,53.01826006362057
95.76,44.15256280189598
96.39,41.71283227972085
96.98931332884052,40.83341048584078
97.64187062935655,38.5508353187514
98.26586436805,29.141858646363122
98.8798998785901,23.32451651199735
99.53401880764184,29.780887128630074
100.15613111537405,22.960619263802915
100.69954369310716,17.43481926174831
101.4065190212148,16.597637664849827
102.05611103701727,11.232956485324125
102.55269962316935,29.446667401918656
103.29310625593558,38.11069452499874
