pc,S
1.05,2.0946742916056924
2.1,4.053340393112093
3.1500000000000004,8.89638908250803
4.2,14.766128045774785
5.25,22.030591974395524
6.300000000000001,28.179079287016123
7.3500000000000005,34.629692502818465
8.4,40.59081601367148
9.450000000000001,46.34196497206772
10.5,51.82211442733434
11.55,55.69957874316089
12.600000000000001,59.14772526016345
13.65,62.72123101449797
14.700000000000001,65.19860006641736
15.75,67.94860786824238
16.8,69.43648353598371
17.85,71.07270693722285
18.900000000000002,72.57501798818096
19.95,73.60429910924574
21.0,75.30512847114682
22.05,76.44587044604555
23.1,78.1889073308078
24.150000000000002,80.04619481586661
25.200000000000003,82.2362012634861
26.25,84.9490376078107
27.3,87.79106157283069
28.35,91.03672711342934
29.400000000000002,94.30593873907745
30.450000000000003,97.57296520853963
31.5,100.97589698244192
32.550000000000004,103.96214713065321
33.6,107.17933777073947
34.65,109.81553815764931
35.7,112.96207544925385
36.75,115.73235500536634
37.800000000000004,117.42859523276678
38.85,120.06491578205892
39.9,121.61677293870653
40.95,124.59213712097522
42.0,125.92042408787148
43.050000000000004,126.5740512063641
44.1,128.68355717218776
45.15,130.0981712742605
46.2,131.8428430130418
47.25,132.9775911200312
48.300000000000004,133.62563970613994
49.35,135.55031301740897
50.400000000000006,136.19937840025793
51.45,138.12944220152775
52.5,138.5233745441994
53.550000000000004,139.77493417669595
54.6,140.82624167828698
55.650000000000006,140.78867821728485
56.7,143.33461022209863
57.75,142.76156455324474
58.800000000000004,144.40647118193996
59.85,143.4288492470242
60.900000000000006,143.4679790432404
61.95,144.16002627624906
63.0,143.10505064026358
64.05,142.51040916422815
65.10000000000001,140.0581939317117
66.15,139.74274604551562
67.2,138.32906119765133
68.25,136.93963027967297
69.3,136.0634398789796
70.35000000000001,133.55371160468025
71.4,133.09647031315953
72.45,130.85882943763895
73.5,129.0325309999949
74.55,127.96600726899031
75.60000000000001,124.87720576918355
76.65,125.08015045594989
77.7,121.55241511481964
78.75,120.6359026812325
79.8,118.47351368617018
80.85000000000001,116.2149113922744
81.9,116.8974854156548
82.95,112.40267378281679
84.0,113.55196376094577
85.05,110.27940830642262
86.10000000000001,107.84621932386564
87.15,109.4550253817323
88.2,105.96150066924817
89.25,107.80411404900231
90.3,105.16288382362222
91.35000000000001,104.44553636090252
92.4,105.60765143768138
93.45,102.37819310093089
94.5,104.49055651645294
95.55,102.58522680172545
96.60000000000001,102.57652393693083
97.65,102.1700866072433
98.7,100.1523138155521
99.75,101.22949549077974
100.80000000000001,98.38015912790213
101.85000000000001,97.7907129128857
102.9,95.4356911037688
103.95,93.2020248515563
105.0,92.33310928370183
106.05000000000001,90.19560347957957
107.10000000000001,88.7032735063286
108.15,87.76454047010607
109.2,86.0755159365119
110.25,85.05617545956366
111.30000000000001,84.99817468857412
112.35000000000001,82.33285434416239
113.4,82.75555848233826
114.45,80.33279027232624
115.5,79.42167926236223
116.55000000000001,79.2436315898394
117.60000000000001,74.82243118587813
118.65,75.32918732296731
119.7,72.05407194789879
120.75,71.84721139645258
121.80000000000001,70.15387217049592
122.85000000000001,68.20052163971746
123.9,68.17762003240331
124.95,65.9464510338773
126.0,65.2057986516847
127.05000000000001,63.31084663069785
128.1,62.283217686339945
129.15,62.85391837619233
130.20000000000002,60.93791398156198
131.25,60.91960282768918
132.3,59.137084344219915
133.35,59.38021547248867
134.4,59.416051535542614
135.45000000000002,56.686572021785764
136.5,57.01575971319178
137.55,55.159355920880195
138.6,55.308391275065766
139.65,53.64338446454709
140.70000000000002,52.276601624677845
141.75,51.70077388372848
142.8,52.092068363552194
143.85,52.240397989805686
144.9,51.496407321633555
145.95000000000002,52.21090467611018
147.0,52.54614487400294
148.05,53.51702333363887
149.1,54.13844253772578
150.15,55.053423668337196
151.15989051332366,56.305640595457454
152.25,58.669122443997104
153.3,60.307226188079746
154.34642853010888,61.85557789912319
155.4,64.53833193870902
156.45000000000002,64.91951344762673
157.5,67.64610799354686
158.5360921052364,68.0767353815549
159.58963782150772,69.0643051045986
160.65,69.82437043192078
161.64885554806753,70.05445156458052
162.75,72.03412091784554
163.8,70.36177946193695
164.85,70.94342857319396
165.89003134606975,72.72924187695352
166.95000000000002,70.46041723306723
168.0,75.03519334170063
169.04673909898412,71.9616879378812
170.0935183950288,73.99678556250981
171.13389494778642,74.85145519981822
172.18079161160807,73.07854785465764
173.25,77.9161086804973
174.25255378329467,75.82621300920188
175.3279926309544,79.40959553472956
176.36562165002567,79.95433773552264
177.45000000000002,80.01016274246867
178.5,83.15406077736266
179.5377188782346,78.30263351118286
180.59084279110058,81.59037046092706
181.65,78.58934218725342
182.70000000000002,79.00393409284177
183.75,76.6265044834196
184.7642010780227,76.51908374694372
185.82923612822609,74.85544090874755
186.9,77.76371612320644
187.94706701622135,78.21409081022144
189.0,88.1675482920947
190.01519018225886,95.4438808471919
191.0682665959997,101.76896762964978
192.1385242474814,114.32617489560623
193.19144002776108,117.6048242201908
194.25,123.48104513772337
195.28024093594314,119.50681715471856
196.35,118.2736270521869
197.36927952444879,117.96320515383857
198.43611062505735,112.19893356316643
199.5,115.61576105809432
200.51426383177832,119.11384421519195
201.56991963088146,129.07238281305894
202.65,137.97167960713924
203.70000000000002,151.00120227672255
204.75,164.93891002115305
205.77053360479,157.1599676430443
206.83667469769478,162.60118266717595
207.89469690206147,139.00243499114984
208.92889340634534,150.13971907724599
210.0,126.24274958376324
210.989916820686,106.37670982242302
211.72020451529892,135.6667839752713
213.15,114.07194723033581
214.17168930556625,94.34694006037681
215.25,75.28301848874807
