pc,S,ErrX,ErrY
0.41,7.252965909090897,0.0,0.424267539021319
0.82,8.351516660283426,0.007999844477053705,0.2755609564775572
1.23,9.546131232361258,0.005889080156357961,0.2099742546272749
1.64,11.727325111200884,0.004896819941574733,0.23388155166249827
2.05,14.045223838440828,0.0045899448955928875,0.22711459816390822
2.46,15.643180943214553,0.003985241803070068,0.22704912044369546
2.8699999999999997,18.043478564446232,0.003580901742830997,0.2798741018399075
3.28,19.540577469592,0.0034375841159181536,0.26909586808301394
3.69,21.0155188381395,0.003474218740650434,0.27677910684382706
4.1,21.69570684821808,0.003524426903208563,0.2754180663342288
4.51,21.84851964976603,0.003280479892389155,0.28370666071720785
4.92,22.025496370873547,0.0029690734418532302,0.31722134794063006
5.33,21.238229542434176,0.0033333792480269666,0.2838954321027578
5.739999999999999,20.721706653225947,0.003351545101921624,0.29095886887099437
6.1499999999999995,19.8472422320182,0.0034571760474320745,0.2975287275682266
6.56,19.332819990412403,0.0033332002843748333,0.30823181003927713
6.97,18.97621798915101,0.003537600468318502,0.31446549846389316
7.38,18.149805186427514,0.0035997943704076146,0.3042775447269587
7.789999999999999,17.695433602347656,0.0038686045357896976,0.3217626395998932
8.2,17.26037608802748,0.004157708932549895,0.3276345048932901
8.61,16.667070707070657,0.004159152815861551,0.3547008694348388
9.02,16.111345947108077,0.004745169846302276,0.3307651302152131
9.43,16.71402152364763,0.005082367519106063,0.37908223129341895
9.84,16.928849364791272,0.0052636090056425834,0.4718614500662713
10.25,18.000212677230998,0.006519656355651071,0.4932738231724837
10.66,17.930368636629634,0.007810004180739624,0.6258604998159486
11.069999999999999,17.43374555160144,0.009586518009247534,0.6974673870220527
11.479999999999999,18.201984732824453,0.011360595873717998,1.0593972160950151
11.889999999999999,15.783722084367238,0.014612344237204585,1.0592300890373754
12.299999999999999,18.792704918032776,0.020116715342362278,1.7395822335095799
12.66362507341401,11.64530120481928,0.028854931355011056,1.697809588985483
13.08150602950593,7.538275862068964,0.04971848339995862,1.9584113188586996
