pc,S,ErrX,ErrY
0.145,5.337186311787069,0.0,0.47023173039155247
0.29,7.026111462951235,0.010318824488190841,0.3106100936826131
0.43499999999999994,8.825555118110248,0.007597160335262395,0.2627911883569396
0.58,10.049328254847657,0.006362876805112751,0.27194418276593896
0.725,11.534763895720646,0.006049734563377232,0.25947205744294505
0.8699999999999999,13.043639658848605,0.005280824764481118,0.2751943280457605
1.015,14.92038117165517,0.004820642108739223,0.3611690158276038
1.16,16.585742362743023,0.0047101864728299175,0.36288608854277615
1.305,18.066148496625093,0.004843054705977588,0.3859117339592213
1.45,18.854020310633224,0.0049618342625916065,0.40309596319446145
1.595,19.80924113622233,0.004687917530283593,0.4142330392122142
1.7399999999999998,21.188478900883283,0.004273368673160978,0.46483214566029246
1.8849999999999998,22.28956494972305,0.004866347007957746,0.44773388920769286
2.03,24.55633272892121,0.005000979499684844,0.4902204445416653
2.175,26.05944958847734,0.005336255405177609,0.5251302271940484
2.32,28.36560486322187,0.005279232494436727,0.6138920156242506
2.465,30.28177453027138,0.005817886653672385,0.6851893647852044
2.61,31.643304484657737,0.006242853966656351,0.7619988159582297
2.755,34.64764766307142,0.007133798534070593,0.932749042521337
2.9,36.19862903225818,0.008330541942799766,1.1230994218015267
3.045,38.51524366471735,0.009026799938672584,1.3908873871928338
3.19,40.12187938288923,0.011862448976108029,1.889372950835033
3.335,40.27260416666666,0.014937940126534486,2.6291675429312766
3.4799999999999995,42.177463414634154,0.01913453282415276,3.9063463835063894
3.6249999999999996,42.41287037037036,0.031172705973203436,4.742613867237798
3.7699999999999996,44.280377358490576,0.038578366418615236,6.617532925092108
3.904244485172515,54.65214285714286,0.05709324187775772,7.531417236956649
4.031417244592775,81.90384615384616,0.08510833442711879,11.705410240374471
4.205,76.16181818181819,0.09093377647293215,13.846331369597301
4.311159936722366,62.237500000000004,0.08277264299992515,11.003424957505484
