pc,S
1.40E+00,2.09E+00
2.82E+00,6.30E+00
4.22E+00,1.17E+01
5.66E+00,1.87E+01
7.06E+00,2.54E+01
8.48E+00,3.12E+01
9.82E+00,3.61E+01
1.13E+01,4.03E+01
1.27E+01,4.44E+01
1.39E+01,4.78E+01
1.54E+01,5.02E+01
1.69E+01,5.33E+01
1.82E+01,5.53E+01
1.97E+01,5.81E+01
2.10E+01,6.03E+01
2.24E+01,6.33E+01
2.39E+01,6.72E+01
2.53E+01,6.97E+01
2.67E+01,7.23E+01
2.85E+01,7.78E+01
2.98E+01,8.07E+01
3.12E+01,8.47E+01
3.24E+01,8.79E+01
3.39E+01,9.22E+01
3.51E+01,9.57E+01
3.68E+01,9.92E+01
3.78E+01,1.04E+02
3.96E+01,1.05E+02
4.11E+01,1.09E+02
4.26E+01,1.13E+02
4.38E+01,1.16E+02
4.50E+01,1.21E+02
4.63E+01,1.22E+02
4.80E+01,1.25E+02
4.98E+01,1.28E+02
5.07E+01,1.28E+02
5.21E+01,1.30E+02
5.36E+01,1.33E+02
5.51E+01,1.36E+02
5.71E+01,1.38E+02
5.82E+01,1.40E+02
5.93E+01,1.40E+02
6.09E+01,1.41E+02
6.21E+01,1.43E+02
6.32E+01,1.43E+02
6.50E+01,1.45E+02
6.56E+01,1.45E+02
6.68E+01,1.45E+02
6.80E+01,1.45E+02
6.93E+01,1.43E+02
7.06E+01,1.43E+02
7.25E+01,1.43E+02
7.46E+01,1.43E+02
7.66E+01,1.42E+02
7.81E+01,1.40E+02
8.02E+01,1.38E+02
8.32E+01,1.37E+02
8.56E+01,1.33E+02
8.79E+01,1.30E+02
9.04E+01,1.27E+02
9.38E+01,1.26E+02
9.64E+01,1.23E+02
9.91E+01,1.20E+02
1.02E+02,1.17E+02
1.06E+02,1.14E+02
1.11E+02,1.09E+02
1.16E+02,1.05E+02
1.23E+02,9.78E+01
1.30E+02,9.32E+01
1.40E+02,8.57E+01
1.46E+02,8.27E+01
