pc,S
3.31E-03,1.81E-02
4.38E-03,3.31E-02
5.50E-03,5.12E-02
6.72E-03,6.88E-02
7.78E-03,8.69E-02
8.89E-03,1.06E-01
1.01E-02,1.28E-01
1.11E-02,1.50E-01
1.22E-02,1.67E-01
1.34E-02,1.89E-01
1.45E-02,2.11E-01
1.57E-02,2.32E-01
1.68E-02,2.54E-01
1.80E-02,2.71E-01
1.92E-02,2.97E-01
2.03E-02,3.21E-01
2.14E-02,3.42E-01
2.25E-02,3.64E-01
2.37E-02,3.81E-01
2.47E-02,4.06E-01
2.61E-02,4.38E-01
2.78E-02,4.74E-01
3.01E-02,5.20E-01
3.26E-02,5.71E-01
3.53E-02,6.17E-01
3.83E-02,6.78E-01
4.03E-02,7.10E-01
4.37E-02,8.04E-01
4.67E-02,8.56E-01
5.05E-02,9.25E-01
5.55E-02,1.02E+00
6.25E-02,1.13E+00
6.94E-02,1.22E+00
7.82E-02,1.37E+00
8.58E-02,1.50E+00
9.66E-02,1.65E+00
1.12E-01,1.81E+00
1.31E-01,1.98E+00
1.47E-01,2.11E+00
1.70E-01,2.25E+00
1.99E-01,2.32E+00
2.21E-01,2.32E+00
