sig,L
1.1571,38.0035
1.2160,38.0493
1.2003,38.4417
1.1422,38.5760
1.1052,38.7681
1.1406,38.9285
1.2908,38.2297
1.2887,38.3083
1.2306,38.5892
1.2205,38.7251
1.2450,38.6801
1.2534,38.8965
1.2763,38.7716
1.3127,38.7382
1.3042,38.8860
1.3066,39.2068
1.3327,39.1843
1.4214,38.9452
1.5039,39.1988
1.5189,39.2335
1.4029,39.2316
1.3891,39.2659
1.3640,39.2539
1.3574,39.4385
1.3530,39.4732
1.3286,39.4843
1.3464,39.6006
1.2643,39.6688
1.3576,39.6706
1.3848,39.6827
1.3227,40.5287
1.2901,40.1965
1.3247,40.1736
1.3115,40.0087
1.3649,40.3871
1.3944,40.1278
1.4248,40.2108
1.4437,40.1404
1.4557,40.1760
1.4775,40.0704
1.4508,40.0112
1.4483,39.9291
1.4316,39.8469
1.4127,39.7765
1.4797,39.7776
1.5221,40.0242
1.5478,40.3311
1.5300,40.4018
1.5398,39.9423
1.5422,39.8371
1.5168,39.6617
1.4993,39.6149
