Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
24	181.6608	19.6	1	604a1_779-093096.xlsx	4855.83	0.226	0.658	0.434	-9.597	5.44	-6.721	-4.009	4955.493	0.459	0.97	0.947	1.741	1.531	1.798	1.482	5004.123	0.459	0.97	0.947	5.223	4.593	5.393	4.447
25	180.2304	19.6	1	604a1_779-097100.xlsx	4859.733	1.804	5.846	2.556	-3.508	1.623	-21.83	-11.03	4950.577	2.697	4.658	2.703	-0.5929	0.3184	-2.94	-2.299	4999.207	2.697	4.658	2.703	-1.779	0.9552	-8.819	-6.897
26	178.8	19.6	1	604a1_779-101104.xlsx	4856.4	0.312	1.259	0.467	-7.661	3.313	-10.27	-4.898	4958.325	0.913	5.611	2.121	-1.806	0.5305	-10.79	-3.901	5006.955	0.913	5.611	2.121	-5.418	1.592	-32.36	-11.7
27	177.3696	19.6	1	604a1_779-105108.xlsx	4855.637	0.309	1.153	0.568	8.755	4.189	10.75	4.557	4956.918	1.001	3.139	1.88	-1.412	0.8875	-4.72	-2.286	5005.548	1.001	3.139	1.88	-4.237	2.662	-14.16	-6.858
28	175.9392	19.6	1	604a1_779-109112.xlsx	4856.709	0.037	0.189	0	30.04	0	6.048	13.2	4952.622	0.653	2.357	0.951	1.92	0.8147	4.816	2.036	5001.252	0.653	2.357	0.951	5.759	2.444	14.45	6.109
29	174.5088	19.6	1	604a1_779-113116.xlsx	4855.971	0.731	1.843	1.279	-3.958	3.661	-7.764	-6.304	4953.256	3.026	2.913	7.416	0.4091	2.47	1.269	5.879	5001.886	3.026	2.913	7.416	1.227	7.41	3.806	17.64
30	173.0784	19.6	1	604a1_779-117120.xlsx	4856.712	0.316	0.91	1.093	-7.666	6.188	-7.423	-5.642	4954.129	0.519	1.254	0.525	-1.506	1.303	-2.01	-1.606	5002.759	0.519	1.254	0.525	-4.518	3.908	-6.029	-4.817
31	171.648	19.6	1	604a1_779-121124.xlsx	4861.372	2.201	5.498	3.683	-2.197	1.579	-12.86	-9.643	4952.574	0	-0.137	0.028	-19.29	8.115	2.819	0.8725	5001.204	0	-0.137	0.028	-57.88	24.34	8.457	2.618
32	170.2176	19.6	1	604a1_779-125128.xlsx	4856.403	0.046	-0.288	0	-19.93	0	6.12	6.884	4957.075	0.343	0.994	0.554	-2.048	1.23	-2.167	-1.418	5005.705	0.343	0.994	0.554	-6.144	3.69	-6.5	-4.255
33	168.7872	19.6	1	604a1_779-129132.xlsx	4856.358	0.229	0.307	0.459	-13.83	48.87	-4.515	-9.604	4957.977	0.473	1.762	0.75	-1.984	0.8561	-3.72	-1.817	5006.607	0.473	1.762	0.75	-5.951	2.568	-11.16	-5.452
34	167.3568	19.6	1	604a1_779-133136.xlsx	4857.988	0	-0.191	0	-226.3	0	45.98	21.76	4955.75	0.106	-0.162	0.22	-5.597	9.99	0.967	1.569	5004.379	0.106	-0.162	0.22	-16.79	29.97	2.901	4.706
35	165.9264	19.6	1	604a1_779-137140.xlsx	4857.381	0.247	0.877	0.402	9.139	4.688	8.536	4.174	4956.6	1.572	2.85	2.925	-0.9939	0.638	-3.016	-2.712	5005.23	1.572	2.85	2.925	-2.982	1.914	-9.047	-8.136
36	164.496	19.6	1	604a1_779-141144.xlsx	4856.81	0.115	0.371	0	-14.88	0	-5.874	-9.177	4954.913	4.278	3.397	2.21	-0.3049	0.243	-1.103	-1.248	5003.542	4.278	3.397	2.21	-0.9148	0.729	-3.308	-3.743
37	163.0656	19.6	1	604a1_779-145148.xlsx	4854.449	0	0.324	0	24.04	0	8.298	62.01	4954.127	0.951	5.543	2.036	-1.625	0.4628	-9.589	-3.293	5002.757	0.951	5.543	2.036	-4.876	1.388	-28.77	-9.879
38	161.6352	19.6	1	604a1_779-149152.xlsx	4861.032	1.325	6.325	2.75	-4.254	1.777	-28.64	-11.87	4957.942	1.255	4.098	2.097	-1.11	0.5157	-4.841	-2.882	5006.572	1.255	4.098	2.097	-3.33	1.547	-14.52	-8.645
39	160.2048	19.6	1	604a1_779-153156.xlsx	4856.772	0.172	0.792	0.364	11.14	4.485	9.391	4.074	4957.969	0.615	3.38	1.186	-1.991	0.6817	-7.165	-2.597	5006.599	0.615	3.38	1.186	-5.974	2.045	-21.49	-7.792
40	158.7744	19.6	1	604a1_779-157160.xlsx	4859.4	0.151	-0.552	0.27	9.619	4.424	-5.652	-3.419	4956.735	0.694	2.249	0.837	-1.427	0.8301	-3.417	-1.988	5005.365	0.694	2.249	0.837	-4.282	2.49	-10.25	-5.964
41	157.344	19.6	1	604a1_779-161164.xlsx	4858.885	5.127	13.983	7.053	-1.571	1.108	-23.39	-16.91	4956.24	1.65	6.592	3.609	-1.351	0.5289	-9.477	-4.429	5004.87	1.65	6.592	3.609	-4.052	1.587	-28.43	-13.29
42	155.9136	19.6	1	604a1_779-165168.xlsx	4856.795	0	0.325	0	-41.81	0	-14.47	-24.78	4956.848	0.218	1.008	0.628	-3.008	1.552	-3.227	-1.507	5005.478	0.218	1.008	0.628	-9.024	4.657	-9.68	-4.521
43	154.4832	19.6	1	604a1_779-169172.xlsx	4852.826	1.282	3.29	1.906	3.048	2.156	10.67	7.691	4956.003	1.316	3.714	2.133	-0.9917	0.6419	-3.921	-2.597	5004.633	1.316	3.714	2.133	-2.975	1.926	-11.76	-7.79
44	153.0528	19.6	1	604a1_779-173176.xlsx	4857.576	0.024	0.216	0.156	111.4	341	25.59	59.95	4955.35	0.337	1.009	0.589	-2.17	1.32	-2.331	-1.503	5003.98	0.337	1.009	0.589	-6.51	3.961	-6.994	-4.51
45	151.6224	19.6	1	604a1_779-177180.xlsx	4857.237	0.508	1.509	0.809	-5.755	3.66	-9.246	-5.882	4894.805	0.055	-0.038	0.13	-6.628	5.395	0.2696	0.9408	4943.435	0.055	-0.038	0.13	-19.88	16.18	0.8088	2.822
46	150.192	19.6	1	604a1_779-181184.xlsx	4852.078	2.656	7.231	5.663	2.943	1.74	22.65	14.62	4955.673	1.664	5.484	1.995	-0.9987	0.4111	-5.83	-3.016	5004.303	1.664	5.484	1.995	-2.996	1.233	-17.49	-9.049
47	148.7616	19.6	1	604a1_779-185188.xlsx	4857.324	0.279	-0.572	0.392	10.81	6.319	-6.577	-3.704	4956.255	0	0.168	0.038	-103.1	129.4	-18.47	-19.18	5004.885	0	0.168	0.038	-309.3	388.3	-55.4	-57.55
48	147.3312	19.6	1	604a1_779-189192.xlsx	4856.68	0.258	0.981	0.443	8.67	4.217	9.057	4.567	4953.906	0.284	1.342	0.462	3.119	1.093	4.457	1.702	5002.536	0.284	1.342	0.462	9.358	3.279	13.37	5.107
49	145.9008	19.6	1	604a1_779-193196.xlsx	4857.204	0.296	0.59	0.967	7.338	9.174	4.606	4.212	4952.816	0.231	0.784	0.463	2.898	1.841	2.418	1.262	5001.446	0.231	0.784	0.463	8.693	5.523	7.253	3.786
50	144.4704	19.6	1	604a1_779-197200.xlsx	4856.769	0.046	0.247	0.185	49.17	107.7	12.94	18.87	4953.605	0.139	1.36	0.358	6.231	1.297	9.023	1.96	5002.235	0.139	1.36	0.358	18.69	3.89	27.07	5.879
51	143.04	19.6	1	604a1_779-201204.xlsx	4856.4	0.207	1.333	0.473	11.74	3.701	16.65	5.343	4953.24	0	0.044	0	8.175	0	0.3866	3.618	5001.87	0	0.044	0	24.52	0	1.16	10.85
52	141.6096	19.6	1	604a1_779-205208.xlsx	4876.111	33.334	-227.991	139.383	2.215	1.293	-537.5	-597.5	4953.8	0.31	2.083	0.622	3.343	0.9522	7.413	2.187	5002.43	0.31	2.083	0.622	10.03	2.857	22.24	6.561
53	140.1792	19.6	1	604a1_779-209212.xlsx	4856.879	0.108	1.381	0.21	23.46	3.61	34.47	5.319	4953.476	0.132	1.08	0.291	6.088	1.363	6.999	1.618	5002.106	0.132	1.08	0.291	18.26	4.088	21	4.853
54	138.7488	19.6	1	604a1_779-213216.xlsx	4856.821	0.056	1.115	0.149	42.06	4.624	49.95	5.525	4953.596	0.044	1.076	0.124	16.63	1.514	19.05	1.763	5002.226	0.044	1.076	0.124	49.9	4.543	57.14	5.288
55	137.3184	19.6	1	604a1_779-217220.xlsx	4856.88	0.029	0.945	0.09	68.87	5.338	69.3	5.388	4953.655	0.038	1.068	0.095	23.4	1.629	26.59	1.868	5002.285	0.038	1.068	0.095	70.19	4.887	79.77	5.604
56	135.888	19.6	1	604a1_779-221224.xlsx	4856.859	0.053	1.123	0.123	46.43	4.215	55.49	5.067	4953.738	0.03	0.952	0.072	23.42	1.454	23.73	1.482	5002.368	0.03	0.952	0.072	70.26	4.362	71.2	4.447
57	134.4576	19.6	1	604a1_779-225228.xlsx	4858.348	9.709	-65.669	28.237	2.329	0.6699	-162.8	-75.32	4953.715	0.038	1.025	0.098	22.61	1.762	24.68	1.963	5002.345	0.038	1.025	0.098	67.83	5.285	74.04	5.888
58	133.0272	19.6	1	604a1_779-229232.xlsx	4856.929	0.06	0.993	0.159	46.29	5.901	48.92	6.313	4953.719	0.037	1.042	0.089	24.49	1.771	27.17	1.978	5002.349	0.037	1.042	0.089	73.47	5.313	81.52	5.933
59	131.5968	19.6	1	604a1_779-233236.xlsx	4857.018	0.053	0.984	0.113	46.66	4.735	48.88	4.965	4953.798	0.027	1.077	0.067	28.07	1.464	32.18	1.694	5002.428	0.027	1.077	0.067	84.22	4.391	96.54	5.082
60	130.1664	19.6	1	604a1_779-237240.xlsx	4856.928	0.041	0.857	0.077	68.93	5.491	62.87	5.042	4953.852	0.03	0.896	0.07	27.29	1.768	26.02	1.699	5002.481	0.03	0.896	0.07	81.87	5.305	78.07	5.097
