Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
5	208.8384	15	3	604a3_783-017020.xlsx	4854.549	0.752	2.976	1.902	-5.388	2.872	-17.07	-9.158	4932.52	11.066	28.784	10.537	-0.3682	0.1318	-11.28	-6.636	4981.15	11.066	28.784	10.537	-1.105	0.3955	-33.84	-19.91
6	207.408	15	3	604a3_783-021024.xlsx	4857.622	0.098	0.26	0.23	17.8	57.17	4.933	12.06	4956.039	0.125	-0.544	0.2	-5.012	1.646	2.9	1.239	5004.668	0.125	-0.544	0.2	-15.04	4.938	8.699	3.717
7	205.9776	15	3	604a3_783-025028.xlsx	4856.009	0.34	1.161	0.64	-7.693	4.338	-9.51	-5.423	4955.279	1.389	4.422	1.791	-1.216	0.826	-5.724	-3.496	5003.909	1.389	4.422	1.791	-3.648	2.478	-17.17	-10.49
8	204.5472	15	3	604a3_783-029032.xlsx	4852.494	0.812	3.479	3.082	5.638	3.285	20.88	12.53	4953.769	0.051	0.13	0.097	-14.36	16.12	-1.995	-3.211	5002.398	0.051	0.13	0.097	-43.09	48.35	-5.985	-9.634
9	203.1168	15	3	604a3_783-033036.xlsx	4856.902	0	1.45	0	-2.253	0	-3.477	-28.63	4953.938	0	0.977	0	1.423	0	1.481	6.828	5002.568	0	0.977	0	4.269	0	4.442	20.49
10	201.6864	15	3	604a3_783-037040.xlsx	4858.473	0.109	0.645	0.32	-14.36	6.013	-9.854	-3.989	4958.814	4.214	-19.299	5.944	-0.7664	0.2377	15.75	6.334	5007.444	4.214	-19.299	5.944	-2.299	0.7132	47.24	19
11	200.256	15	3	604a3_783-041044.xlsx	4857.317	0.513	1.623	0.785	-6.342	3.382	-10.96	-5.766	4951.763	0.741	3.863	1.573	1.948	0.8106	8.008	2.985	5000.393	0.741	3.863	1.573	5.843	2.432	24.02	8.956
12	198.8256	15	3	604a3_783-045048.xlsx	4865.437	3.141	11.937	5.123	-3.081	1.295	-39.15	-17.56	4957.77	0.394	2.039	0.71	-2.831	1.056	-6.145	-2.209	5006.399	0.394	2.039	0.71	-8.492	3.168	-18.44	-6.628
13	197.3952	15	3	604a3_783-049052.xlsx	4860.585	6.227	12.572	11.097	-1.327	1.245	-17.75	-17.18	4955.092	0.048	0.299	0.119	11.37	8.734	3.623	1.627	5003.722	0.048	0.299	0.119	34.12	26.2	10.87	4.88
14	195.9648	15	3	604a3_783-053056.xlsx	4858.79	0.473	-1.539	1.459	5.891	4.348	-9.651	-6.408	4958.152	0.694	2.824	1.167	1.73	0.7522	5.2	2.387	5006.782	0.694	2.824	1.167	5.19	2.257	15.6	7.162
15	194.5344	15	3	604a3_783-057060.xlsx	4856.28	0.59	2.33	0.892	-5.792	2.574	-14.37	-6.511	4954.661	0	0.152	0.024	157.6	151.4	25.57	20.75	5003.291	0	0.152	0.024	472.7	454.3	76.72	62.26
16	193.104	15	3	604a3_783-061064.xlsx	4855.253	0.175	0.802	0.364	-11.87	5.114	-10.13	-4.286	4947.045	0.119	0.71	0.298	5.103	1.663	3.857	1.401	4995.675	0.119	0.71	0.298	15.31	4.99	11.57	4.204
17	191.6736	15	3	604a3_783-065068.xlsx	4858.185	0.912	1.742	1.363	3.624	2.92	6.719	5.443	4955.259	0.248	1.017	0.491	2.765	1.147	2.992	1.469	5003.889	0.248	1.017	0.491	8.295	3.441	8.975	4.408
18	190.2432	15	3	604a3_783-069072.xlsx	4855.91	0.793	3.979	1.22	5.674	2.017	24.03	8.48	4958.087	0.84	2.158	1.239	-1.156	0.8161	-2.657	-1.77	5006.717	0.84	2.158	1.239	-3.469	2.448	-7.97	-5.311
19	188.8128	15	3	604a3_783-073076.xlsx	4850.051	0.067	0.432	0.31	18.35	16.4	8.44	3.088	4953.852	0.061	-0.209	0.063	-21.25	25.58	4.739	4.438	5002.481	0.061	-0.209	0.063	-63.76	76.75	14.22	13.31
20	187.3824	15	3	604a3_783-077080.xlsx	4851.196	1.662	5.17	3.167	3.208	1.851	17.65	10.51	4953.031	0.335	1.572	0.701	-2.594	1.055	-4.341	-1.821	5001.661	0.335	1.572	0.701	-7.781	3.164	-13.02	-5.462
21	185.952	15	3	604a3_783-081084.xlsx	4846.422	4.523	9.779	9.451	2.096	1.645	21.82	15.78	4952.602	0.483	1.848	0.839	-1.944	0.7594	-3.823	-1.971	5001.231	0.483	1.848	0.839	-5.832	2.278	-11.47	-5.914
22	184.5216	15	3	604a3_783-085088.xlsx	4856	0	0.284	0	37.37	0	11.28	20.82	4952.133	0	-0.092	0.031	-9.288	4.792	0.9132	0.4047	5000.763	0	-0.092	0.031	-27.86	14.38	2.74	1.214
23	183.0912	15	3	604a3_783-089092.xlsx	4856.266	2.938	2.547	3.465	1.188	1.605	3.223	6.083	4954.021	0.305	1.025	0.553	2.321	1.365	2.533	1.359	5002.651	0.305	1.025	0.553	6.963	4.096	7.599	4.077
24	181.6608	15	3	604a3_783-093096.xlsx	4857.181	0.009	-0.332	0	27.62	0	-9.772	-20.25	4944.367	0.458	2.238	0.536	2.192	0.7366	5.223	1.846	4992.997	0.458	2.238	0.536	6.577	2.21	15.67	5.537
25	180.2304	15	3	604a3_783-097100.xlsx	4856.855	0.182	0.864	0	-7.542	3	-6.939	-5.146	4956.259	0.038	0.223	0	13.42	0	3.192	7.023	5004.889	0.038	0.223	0	40.27	0	9.575	21.07
26	178.8	15	3	604a3_783-101104.xlsx	4860.238	0.941	3.729	1.975	-4.528	2.051	-17.97	-9.144	4952.981	1.407	3.236	1.649	0.859	0.4835	2.959	2.122	5001.611	1.407	3.236	1.649	2.577	1.45	8.877	6.366
27	177.3696	15	3	604a3_783-105108.xlsx	4860.639	1.391	5.368	2.958	-3.564	1.773	-20.36	-11.22	4952.662	0.029	-0.24	0.192	12.63	34.74	-3.221	-6.353	5001.292	0.029	-0.24	0.192	37.89	104.2	-9.662	-19.06
28	175.9392	15	3	604a3_783-109112.xlsx	4856.649	0.185	0.363	0.39	15.22	8.907	5.889	4.859	4953.887	2.309	3.214	1.863	-0.514	0.3504	-1.758	-1.637	5002.517	2.309	3.214	1.863	-1.542	1.051	-5.275	-4.911
29	174.5088	15	3	604a3_783-113116.xlsx	4856.776	0	0.313	0.206	36.38	50.01	12.14	9.052	4955.09	0	-0.403	0	5.127	0	-2.2	-5.965	5003.72	0	-0.403	0	15.38	0	-6.601	-17.9
30	173.0784	15	3	604a3_783-117120.xlsx	4854.401	0.078	0.355	0.56	16.15	44.58	6.106	7.586	5019.378	7.63	-35.432	7.423	-1.828	0.5398	68.95	20.65	5068.008	7.63	-35.432	7.423	-5.484	1.619	206.8	61.95
31	171.648	15	3	604a3_783-121124.xlsx	4861.951	0.373	1.3	0.569	-6.189	3.044	-8.561	-4.747	4955.585	0.133	-0.494	0.177	4.935	1.682	-2.595	-0.9861	5004.215	0.133	-0.494	0.177	14.81	5.045	-7.784	-2.958
32	170.2176	15	3	604a3_783-125128.xlsx	4855.227	0.06	-0.327	0.577	-18.17	63.8	6.319	11.27	4943.732	1.011	4.147	2.455	-1.451	0.6871	-6.404	-3.006	4992.362	1.011	4.147	2.455	-4.352	2.061	-19.21	-9.017
33	168.7872	15	3	604a3_783-129132.xlsx	4860.654	0.719	2.585	1.971	-6.61	3.507	-18.19	-9.176	4955.391	0.913	1.648	0.941	1.075	0.6706	1.887	1.754	5004.021	0.913	1.648	0.941	3.226	2.012	5.66	5.262
34	167.3568	15	3	604a3_783-133136.xlsx	4856.258	0.235	0.824	0.413	-7.801	3.956	-6.843	-3.847	4955.557	3.045	6.905	4.48	-0.5593	0.348	-4.111	-3.425	5004.187	3.045	6.905	4.48	-1.678	1.044	-12.33	-10.28
35	165.9264	15	3	604a3_783-137140.xlsx	4861.432	0.28	1.657	0.575	-11.03	3.441	-19.44	-5.92	4963.987	0.698	2.632	1.988	1.557	0.8981	4.362	2.428	5012.617	0.698	2.632	1.988	4.67	2.694	13.09	7.283
36	164.496	15	3	604a3_783-141144.xlsx	4857.607	0.066	-0.354	1.04	21.53	110.8	-8.114	-18.13	4947.942	2.535	9.015	4.108	0.9184	0.4454	8.813	4.535	4996.572	2.535	9.015	4.108	2.755	1.336	26.44	13.6
37	163.0656	15	3	604a3_783-145148.xlsx	4856.512	0.162	-0.899	0.295	11.6	4.311	-11.1	-4.121	4954.011	0.349	1.013	0.565	2.35	1.043	2.534	1.588	5002.641	0.349	1.013	0.565	7.051	3.129	7.602	4.763
38	161.6352	15	3	604a3_783-149152.xlsx	4856.402	0.061	0.33	0.356	15.68	33.69	5.511	6.358	4954.233	0.175	-0.567	0.303	2.472	1.6	-1.492	-0.9319	5002.863	0.175	-0.567	0.303	7.416	4.799	-4.475	-2.796
39	160.2048	15	3	604a3_783-153156.xlsx	4856.75	0.294	-0.811	0.488	6.866	4.996	-5.93	-3.729	4954.805	0.147	0.478	0.187	4.763	1.642	2.426	1.036	5003.435	0.147	0.478	0.187	14.29	4.927	7.277	3.109
40	158.7744	15	3	604a3_783-157160.xlsx	4855.628	2.025	2.64	2.21	-1.683	1.872	-4.73	-5.89	4952.272	0.043	0.3	0	7.236	0	2.309	3.898	5000.902	0.043	0.3	0	21.71	0	6.926	11.7
41	157.344	15	3	604a3_783-161164.xlsx	4856.478	0.529	1.05	1.424	-4.404	4.6	-4.923	-4.658	4959.798	12.913	-38.805	11.603	-0.3741	0.1526	15.45	8.232	5008.428	12.913	-38.805	11.603	-1.122	0.4579	46.35	24.7
42	155.9136	15	3	604a3_783-165168.xlsx	4855.698	0.876	1.211	0.959	-2.623	2.545	-3.382	-4.532	4956.538	0.849	2.566	1.44	-1.298	0.5679	-3.545	-2.32	5005.167	0.849	2.566	1.44	-3.894	1.704	-10.63	-6.959
43	154.4832	15	3	604a3_783-169172.xlsx	4858.973	0.627	1.777	1.119	-5.24	3.49	-9.914	-6.302	4956.214	0.425	1.862	0.685	-2.416	1.027	-4.788	-1.96	5004.844	0.425	1.862	0.685	-7.249	3.081	-14.36	-5.879
44	153.0528	15	3	604a3_783-173176.xlsx	4860.061	0.849	2.671	1.474	-4.503	2.531	-12.8	-7.469	6134.042	0.006	-499.353	10.42	-770200	379500	409400000	194100000	6182.672	0.006	-499.353	10.42	-2311000	1138000	1228000000	582400000
45	151.6224	15	3	604a3_783-177180.xlsx	4855.147	0.394	-0.64	0.757	-6.686	6.504	4.552	3.925	4954.245	0	0.165	0.121	-52.2	165.9	-9.173	-22.57	5002.875	0	0.165	0.121	-156.6	497.8	-27.52	-67.71
46	150.192	15	3	604a3_783-181184.xlsx	4859.269	0.566	2.632	0.873	-6.654	2.638	-18.64	-7.332	4950.994	0.261	1.175	1.34	-3.059	2.276	-3.826	-2.407	4999.624	0.261	1.175	1.34	-9.176	6.828	-11.48	-7.222
47	148.7616	15	3	604a3_783-185188.xlsx	4854.312	0.17	0.581	0.392	9.728	6.214	6.018	3.478	4953.335	0.699	2.623	1.074	-1.668	0.8007	-4.657	-2.293	5001.965	0.699	2.623	1.074	-5.004	2.402	-13.97	-6.878
48	147.3312	15	3	604a3_783-189192.xlsx	4857.416	0.562	2.239	0.998	5.763	2.639	13.73	6.792	4954.526	0.745	1.477	0.877	1.189	0.7524	1.869	1.616	5003.156	0.745	1.477	0.877	3.567	2.257	5.606	4.849
49	145.9008	15	3	604a3_783-193196.xlsx	4855.106	0.239	0.541	0.541	-10.47	8.478	-6.031	-3.665	4952.872	0.044	0.056	0.089	4.992	8.729	0.2998	0.7901	5001.502	0.044	0.056	0.089	14.98	26.19	0.8994	2.37
50	144.4704	15	3	604a3_783-197200.xlsx	4856.492	0.395	0.778	0.564	7.119	5.134	5.894	4.171	4953.962	0.235	-1.115	0.678	5.288	1.931	-6.275	-2.391	5002.592	0.235	-1.115	0.678	15.86	5.794	-18.82	-7.173
51	143.04	15	3	604a3_783-201204.xlsx	4857.906	0	0.487	0	12.02	0	6.235	5.033	4954.368	0.407	1.074	0.709	1.803	1.156	2.061	1.453	5002.998	0.407	1.074	0.709	5.408	3.467	6.184	4.359
52	141.6096	15	3	604a3_783-205208.xlsx	4856.479	0.343	1.92	1.147	10.56	4.238	21.58	8.574	4953.893	0.167	1.239	0.366	5.196	1.33	6.854	1.778	5002.523	0.167	1.239	0.366	15.59	3.991	20.56	5.333
53	140.1792	15	3	604a3_783-209212.xlsx	4856.949	0.169	1.252	0.511	16.16	4.765	21.55	6.442	4953.923	0.108	1.219	0.236	8.019	1.347	10.4	1.791	5002.553	0.108	1.219	0.236	24.06	4.041	31.21	5.374
54	138.7488	15	3	604a3_783-213216.xlsx	4857.112	0.078	0.763	0.369	22.92	6.941	18.61	5.775	4953.681	0.089	1.129	0.273	8.654	1.5	10.4	1.883	5002.311	0.089	1.129	0.273	25.96	4.499	31.21	5.649
55	137.3184	15	3	604a3_783-217220.xlsx	4857.03	0.056	0.912	0.096	46.91	4.735	45.53	4.606	4953.736	0.039	0.89	0.086	17.67	1.558	16.73	1.47	5002.366	0.039	0.89	0.086	53.01	4.673	50.2	4.411
56	135.888	15	3	604a3_783-221224.xlsx	4856.947	0.04	0.875	0.108	49.62	5.284	46.2	4.95	4953.791	0.032	1.127	0.078	26.85	1.516	32.22	1.833	5002.42	0.032	1.127	0.078	80.55	4.548	96.67	5.498
57	134.4576	15	3	604a3_783-225228.xlsx	4857.009	0.021	0.75	0.046	103.6	5.761	82.8	4.734	4953.798	0.02	1.016	0.054	39.14	1.697	42.31	1.849	5002.428	0.02	1.016	0.054	117.4	5.092	126.9	5.546
58	133.0272	15	3	604a3_783-229232.xlsx	4857.093	0.026	0.794	0.054	115.4	6.791	97.58	5.764	4953.858	0.02	0.941	0.051	49.29	2.091	49.36	2.102	5002.488	0.02	0.941	0.051	147.9	6.272	148.1	6.306
59	131.5968	15	3	604a3_783-233236.xlsx	4857.092	0.027	0.757	0.087	89.3	8.02	71.99	6.485	4953.891	0.023	0.966	0.054	45.97	2.155	47.25	2.231	5002.521	0.023	0.966	0.054	137.9	6.466	141.8	6.693
60	130.1664	15	3	604a3_783-237240.xlsx	4857.158	0.022	0.894	0.057	115.8	6.371	110.3	6.084	4953.958	0.018	0.959	0.043	53.93	1.984	55.05	2.039	5002.588	0.018	0.959	0.043	161.8	5.952	165.1	6.117
61	128.736	15	3	604a3_783-241244.xlsx	4857.096	0.026	0.879	0.06	120.7	7.003	113	6.583	4953.928	0.013	0.867	0.035	66.7	2.262	61.53	2.097	5002.558	0.013	0.867	0.035	200.1	6.786	184.6	6.291
62	127.3056	15	3	604a3_783-245248.xlsx	4857.119	0.023	0.9	0.06	142.2	7.57	136.3	7.289	4953.972	0.014	0.912	0.033	72.78	2.28	70.69	2.228	5002.602	0.014	0.912	0.033	218.3	6.841	212.1	6.684
63	125.8752	15	3	604a3_783-249252.xlsx	4857.172	0.027	1.008	0.06	122.1	6.181	131	6.659	4954.004	0.013	0.918	0.031	74.02	2.063	72.34	2.035	5002.634	0.013	0.918	0.031	222.1	6.188	217	6.104
64	124.4448	15	3	604a3_783-253256.xlsx	4857.269	0.018	0.876	0.043	164.2	6.951	153.2	6.493	4954.137	0.013	1.014	0.034	77.83	2.107	83.98	2.289	5002.767	0.013	1.014	0.034	233.5	6.321	251.9	6.868
65	123.0144	15	3	604a3_783-257260.xlsx	4857.327	0.045	1.126	0.124	57.19	4.897	68.55	5.882	4954.296	0.03	1.223	0.077	29.48	1.467	38.38	1.933	5002.926	0.03	1.223	0.077	88.43	4.402	115.1	5.798
66	121.584	15	3	604a3_783-261264.xlsx	4857.159	0.069	1.185	0.172	33.39	4.065	42.11	5.206	4954.125	0.087	1.721	0.203	10.02	1.04	18.34	1.944	5002.755	0.087	1.721	0.203	30.05	3.119	55.03	5.831
67	120.1536	15	3	604a3_783-265268.xlsx	4857.444	0.14	1.858	0.345	20.46	3.236	40.46	6.489	4954.421	0.1	1.848	0.243	9.332	1.033	18.35	2.067	5003.051	0.1	1.848	0.243	27.99	3.1	55.06	6.2
68	118.7232	15	3	604a3_783-269272.xlsx	4857.493	0.062	0.802	0.129	38.22	5.072	32.61	4.357	4954.474	0.054	-1.337	0.155	14.59	1.301	-20.77	-1.874	5003.104	0.054	-1.337	0.155	43.78	3.903	-62.3	-5.621
69	117.2928	15	3	604a3_783-273276.xlsx	4857.646	0.033	1.083	0.091	69.15	4.873	79.73	5.646	4954.507	0.038	1.179	0.089	22.28	1.453	27.96	1.845	5003.137	0.038	1.179	0.089	66.83	4.359	83.88	5.534
70	115.8624	15	3	604a3_783-277280.xlsx	4857.509	0.061	1.288	0.138	45.53	4.473	62.42	6.157	4954.389	0.066	1.766	0.176	15.66	1.276	29.43	2.432	5003.019	0.066	1.766	0.176	46.97	3.828	88.28	7.296
71	114.432	15	3	604a3_783-281284.xlsx	4857.211	0.059	1.763	0.135	55.26	3.827	103.7	7.218	4953.913	0.036	1.705	0.079	29.9	1.237	54.26	2.267	5002.542	0.036	1.705	0.079	89.69	3.71	162.8	6.801
72	113.0016	15	3	604a3_783-285288.xlsx	4857.13	0.025	1.223	0.051	126.9	4.882	165.2	6.386	4953.89	0.014	1.287	0.037	65.98	1.569	90.39	2.17	5002.52	0.014	1.287	0.037	198	4.707	271.2	6.509
73	111.5712	15	3	604a3_783-289292.xlsx	4857.167	0.031	1.123	0.068	89.26	4.703	106.7	5.65	4953.992	0.023	1.277	0.059	36.58	1.421	49.7	1.946	5002.622	0.023	1.277	0.059	109.7	4.263	149.1	5.839
74	110.1408	15	3	604a3_783-293296.xlsx	4857.135	0.042	0.944	0.102	61.59	5.233	61.89	5.3	4954.092	0.051	1.777	0.12	20.05	1.158	37.93	2.218	5002.722	0.051	1.777	0.12	60.15	3.474	113.8	6.653
75	108.7104	15	3	604a3_783-297300.xlsx	4857.188	0.039	1.203	0.092	72.14	4.885	92.34	6.28	4954.086	0.026	1.293	0.069	36.91	1.576	50.81	2.186	5002.716	0.026	1.293	0.069	110.7	4.729	152.4	6.559
76	107.28	15	3	604a3_783-301304.xlsx	4857.229	0.02	0.879	0.047	148.3	6.688	138.6	6.258	4954.047	0.012	0.961	0.032	74.73	2.042	76.49	2.106	5002.677	0.012	0.961	0.032	224.2	6.126	229.5	6.319
77	105.8496	15	3	604a3_783-305308.xlsx	4857.163	0.015	0.919	0.042	165.7	6.328	162.1	6.207	4954.019	0.014	0.984	0.034	66.52	1.927	69.66	2.033	5002.648	0.014	0.984	0.034	199.6	5.782	209	6.098
78	104.4192	15	3	604a3_783-309312.xlsx	4857.025	0.031	1.121	0.058	93.94	4.235	112	5.077	4953.901	0.027	1.081	0.072	25.81	1.407	29.69	1.632	5002.531	0.027	1.081	0.072	77.42	4.221	89.07	4.897
79	102.9888	15	3	604a3_783-313316.xlsx	4857.008	0.058	0.944	0.117	44.53	4.762	44.73	4.827	4953.902	0.047	1.045	0.119	15.01	1.451	16.7	1.621	5002.532	0.047	1.045	0.119	45.04	4.354	50.11	4.862
80	101.5584	15	3	604a3_783-317320.xlsx	4857.056	0.038	0.924	0.074	53.69	4.306	52.83	4.255	4953.829	0.041	0.795	0.108	15	1.633	12.69	1.376	5002.459	0.041	0.795	0.108	45.01	4.899	38.08	4.129
81	100.128	15	3	604a3_783-321324.xlsx	4857.02	0.078	0.909	0.132	31.5	4.488	30.46	4.369	4953.835	0.054	-0.698	0.183	9.856	1.962	-7.326	-1.371	5002.465	0.054	-0.698	0.183	29.57	5.885	-21.98	-4.114
82	98.6976	15	3	604a3_783-325328.xlsx	4857.032	0.254	1.666	0.696	12.24	3.797	21.69	7.079	4953.891	0.122	0.867	0.254	7.298	1.622	6.732	1.585	5002.521	0.122	0.867	0.254	21.89	4.866	20.2	4.756
83	97.2672	15	3	604a3_783-329332.xlsx	4857.16	0.143	1.226	0.23	16.86	3.686	22	4.814	4950.617	0.796	7.924	1.892	2.452	0.4553	20.68	4.617	4999.247	0.796	7.924	1.892	7.355	1.366	62.03	13.85
84	95.8368	15	3	604a3_783-333336.xlsx	4854.792	0	0.126	0.014	-4333	5228	-579.7	-640.2	4953.588	0.809	4.353	1.385	1.774	0.6361	8.22	2.866	5002.218	0.809	4.353	1.385	5.323	1.908	24.66	8.598
85	94.4064	15	3	604a3_783-337340.xlsx	4857.436	0.215	-0.708	0.371	9.608	5.087	-7.242	-3.76	4945.619	0.427	1.897	0.666	2.25	0.9391	4.543	1.848	4994.249	0.427	1.897	0.666	6.75	2.817	13.63	5.543
86	92.976	15	3	604a3_783-341344.xlsx	4856.615	0.485	0.729	0.412	7.432	4.486	5.764	3.586	4951.958	1.123	5.683	1.836	1.389	0.4733	8.4	3.135	5000.587	1.123	5.683	1.836	4.166	1.42	25.2	9.405
87	91.5456	15	3	604a3_783-345348.xlsx	4869.381	0.942	4.254	1.677	-5.234	2.06	-23.7	-9.701	4952.294	0.676	1.898	1.01	-1.955	0.9223	-3.949	-2.157	5000.924	0.676	1.898	1.01	-5.864	2.767	-11.85	-6.471
88	90.1152	15	3	604a3_783-349352.xlsx	4870.162	0.243	0.946	0.387	-9.295	4.26	-9.364	-4.171	4958.409	0.278	0.903	0.569	-2.866	1.235	-2.756	-1.636	5007.039	0.278	0.903	0.569	-8.598	3.704	-8.269	-4.909
89	88.6848	15	3	604a3_783-353356.xlsx	4857.134	0.121	0.403	0.316	8.064	7.717	3.463	2.768	4952.208	0.289	0.998	0.553	2.853	1.276	3.032	1.618	5000.838	0.289	0.998	0.553	8.56	3.828	9.095	4.854
90	87.2544	15	3	604a3_783-357360.xlsx	4855.731	0.478	1.381	0.718	5.968	3.54	8.773	5.114	4953.083	1.174	3.149	1.43	1.129	0.5895	3.786	2.415	5001.713	1.174	3.149	1.43	3.388	1.769	11.36	7.246
91	85.824	15	3	604a3_783-361364.xlsx	4857.414	0.162	-0.67	0.312	12.91	5.366	-9.206	-3.991	4953.885	0.081	-0.307	0.929	9.418	59.82	-3.081	-10.29	5002.515	0.081	-0.307	0.929	28.26	179.5	-9.244	-30.86
92	84.3936	15	3	604a3_783-365368.xlsx	4857.046	0.17	1.466	0.444	18.69	4.165	29.17	6.632	4953.991	0.105	1.096	0.267	7.135	1.422	8.326	1.675	5002.621	0.105	1.096	0.267	21.41	4.266	24.98	5.026
93	82.9632	15	3	604a3_783-369372.xlsx	4857.104	0.035	0.836	0.095	59.1	5.429	52.57	4.839	4953.916	0.077	1.154	0.159	10.44	1.352	12.82	1.676	5002.546	0.077	1.154	0.159	31.32	4.057	38.46	5.029
94	81.5328	15	3	604a3_783-373376.xlsx	4857.14	0.109	0.951	0.172	29.25	4.634	29.61	4.725	4954.063	0.382	1.783	1.672	3.21	1.772	6.094	3.292	5002.693	0.382	1.783	1.672	9.631	5.317	18.28	9.875
95	80.1024	15	3	604a3_783-377380.xlsx	4857.086	0.678	1.569	1.731	7.34	5.223	12.26	7.882	4957.158	0.709	3.912	1.166	-1.862	0.5448	-7.755	-2.744	5005.788	0.709	3.912	1.166	-5.587	1.634	-23.26	-8.233
96	78.672	15	3	604a3_783-381384.xlsx	4856.855	0.029	-0.287	0.122	-21.9	16.98	6.689	3.538	4959.725	5.308	-30.516	8.723	-0.7347	0.2446	23.87	8.68	5008.354	5.308	-30.516	8.723	-2.204	0.7338	71.6	26.04
97	77.2416	15	3	604a3_783-385388.xlsx	4857.396	0.613	2.113	1.281	5.27	2.648	11.85	7.045	4959.976	1.755	7.727	2.783	-1.104	0.4685	-9.078	-4.215	5008.605	1.755	7.727	2.783	-3.311	1.405	-27.23	-12.65
98	75.8112	15	3	604a3_783-389392.xlsx	4855.493	0.092	-0.294	0.374	11.79	9.64	-3.69	-3.386	4955.364	0.328	1.473	0.551	-2.611	1.173	-4.093	-1.693	5003.994	0.328	1.473	0.551	-7.832	3.52	-12.28	-5.078
99	74.3808	15	3	604a3_783-393396.xlsx	4850.805	1.194	6.179	2.631	4.674	1.781	30.74	11.89	4956.983	1.887	3.164	1.452	0.6447	0.3668	2.171	1.813	5005.613	1.887	3.164	1.452	1.934	1.1	6.514	5.44
100	72.9504	15	3	604a3_783-397400.xlsx	4855.961	1.741	3.172	1.982	-2.302	2.212	-7.771	-7.524	4955.216	0.211	0.509	0.269	2.968	1.665	1.607	1.103	5003.846	0.211	0.509	0.269	8.903	4.994	4.822	3.308
101	71.52	15	3	604a3_783-401404.xlsx	4854.425	0.063	-0.24	0.328	30.09	149.7	-7.694	-27.95	4955.721	4.695	3.713	2.758	-0.3407	0.3297	-1.347	-1.941	5004.351	4.695	3.713	2.758	-1.022	0.989	-4.04	-5.824
102	70.0896	15	3	604a3_783-405408.xlsx	4856.032	0	6.129	6.135	-0.4462	0	-2.911	0	4958.06	6.482	-24.936	11.746	0.6943	0.2879	-18.43	-9.268	5006.689	6.482	-24.936	11.746	2.083	0.8638	-55.28	-27.8
103	68.6592	15	3	604a3_783-409412.xlsx	4854.512	0.186	-0.779	0.28	-11.77	4.637	9.76	3.91	4953.079	0	-0.124	0.028	642.6	1375	-85.01	-163.4	5001.709	0	-0.124	0.028	1928	4125	-255	-490.2
104	67.2288	15	3	604a3_783-413416.xlsx	4858.948	1.11	5.584	2.018	-4.8	1.768	-28.53	-11.32	4954.188	0.17	0.487	0.483	4.549	4.339	2.357	1.028	5002.817	0.17	0.487	0.483	13.65	13.02	7.07	3.084
105	65.7984	15	3	604a3_783-417420.xlsx	4858.274	0.402	1.437	0.679	-7.044	3.609	-10.77	-5.389	4953.475	0.063	-0.391	0.242	7.531	6.658	-3.13	-1.165	5002.105	0.063	-0.391	0.242	22.59	19.97	-9.391	-3.495
106	64.368	15	3	604a3_783-421424.xlsx	4851.14	0.652	2.605	0.944	8.047	2.841	22.31	7.944	4956.965	0.512	2.761	1.274	-2.521	0.9681	-7.409	-2.796	5005.595	0.512	2.761	1.274	-7.564	2.904	-22.23	-8.388
107	62.9376	15	3	604a3_783-425428.xlsx	4856.814	1.102	2.186	1.218	-5.157	3.849	-12	-9.222	4953.804	0.282	0.743	0.546	-3.523	2.281	-2.785	-2.098	5002.434	0.282	0.743	0.546	-10.57	6.842	-8.355	-6.293
108	61.5072	15	3	604a3_783-429432.xlsx	4856.41	0	-0.091	0	1090000	0	-105200	-61610	4953.35	0.498	2.279	0.848	-2.215	0.7831	-5.374	-2.245	5001.98	0.498	2.279	0.848	-6.646	2.349	-16.12	-6.734
109	60.0768	15	3	604a3_783-433436.xlsx	4857.292	0.084	-0.272	0	14.38	0	-4.169	-10.79	4955.453	0.579	1.868	0.875	1.65	0.921	3.281	1.847	5004.083	0.579	1.868	0.875	4.951	2.763	9.843	5.542
110	58.6464	15	3	604a3_783-437440.xlsx	4855.908	0.18	0.597	0.379	-11.45	6.119	-7.27	-3.79	4956.086	0.384	1.051	0	1.933	0	2.162	4.716	5004.716	0.384	1.051	0	5.798	0	6.486	14.15
111	57.216	15	3	604a3_783-441444.xlsx	4864.127	2.443	4.568	3.691	-2.147	2.421	-10.44	-10.6	4955.2	0.723	2.408	0	-1.618	0	-4.147	-3.324	5003.83	0.723	2.408	0	-4.853	0	-12.44	-9.971
112	55.7856	15	3	604a3_783-445448.xlsx	4854.294	2.247	3.491	2.148	-1.864	1.478	-6.924	-7.286	4956.229	0.023	0.25	0.07	-15.61	13.48	-4.155	-2.619	5004.859	0.023	0.25	0.07	-46.82	40.45	-12.47	-7.858
113	54.3552	15	3	604a3_783-449452.xlsx	4860.694	0.589	1.257	0.615	-8.216	4.605	-10.99	-5.349	4957.182	0.277	0.832	0.836	-2.497	1.604	-2.212	-1.808	5005.812	0.277	0.832	0.836	-7.49	4.812	-6.637	-5.423
