Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
117	44.253	18	2	595r2_881-465468.xlsx	6562.362	0.15	2.388	0.589	-31.31	4.718	-79.6	-13.17	6541.479	0.696	2.252	1.636	2.059	1.208	4.935	3.215	6576.979	0.696	2.252	1.636	6.176	3.624	14.8	9.646	6712.006	0.127	0.567	0.225	14.27	4.858	8.607	3.813	6726.406	0.127	0.567	0.225	-3.582	5.271	-2.16	-2.827
118	42.912	18	2	595r2_881-469472.xlsx	6557.636	0	0.262	0	81.06	0	22.6	57.36	6541.172	0.688	2.96	2.125	3.457	1.536	10.89	5.921	6576.672	0.688	2.96	2.125	10.37	4.608	32.68	17.76	6710.868	0.312	1.383	0.447	10.83	4.191	15.95	6.201	6725.268	0.312	1.383	0.447	-0.4902	0	-0.7217	-0.4506
119	41.571	18	2	595r2_881-473476.xlsx	6557.393	0.139	0.616	0.243	24.24	8.946	15.89	6.469	6541.889	0.522	3.597	1.122	4.638	1.299	17.76	5.469	6577.389	0.522	3.597	1.122	13.91	3.896	53.27	16.41	6721.883	1.211	4.467	2.282	-3.867	2.29	-18.39	-10.34	6736.283	1.211	4.467	2.282	3.462	2.201	16.46	10.83
120	40.23	18	2	595r2_881-477480.xlsx	6557.292	0.217	1.596	0.497	19.95	5.502	33.9	9.668	6541.838	0.345	3.262	0.745	5.743	1.208	19.94	4.611	6577.338	0.345	3.262	0.745	17.23	3.624	59.83	13.83	6711.643	0.062	0.565	0.133	26.62	5.748	16.01	4.115	6726.043	0.062	0.565	0.133	14.63	5.787	8.801	3.406
121	38.889	18	2	595r2_881-481484.xlsx	6557.414	0.135	1.317	0.32	32.27	6.508	45.22	9.376	6541.718	0.401	2.103	0.703	4.156	1.493	9.305	3.499	6577.218	0.401	2.103	0.703	12.47	4.48	27.92	10.5	6709.578	0.975	5.193	2.948	6.386	2.317	35.3	17.34	6723.978	0.975	5.193	2.948	-3.05	2.711	-16.86	-11.03
122	37.548	18	2	595r2_881-485488.xlsx	6557.354	0.145	1.347	0.309	27.56	5.747	39.53	8.449	6542.931	0.431	2.349	0.808	3.956	1.304	9.892	3.598	6578.431	0.431	2.349	0.808	11.87	3.913	29.68	10.79	6714.537	1.298	3.254	1.311	0.4562	2.581	1.58	9.035	6728.937	1.298	3.254	1.311	-3.624	2.79	-12.55	-9.458
123	36.207	18	2	595r2_881-489492.xlsx	6557.343	0.108	1.236	0.276	36.03	6.415	47.41	8.864	6544.365	1.35	13.604	2.616	3.28	0.7058	47.5	13.33	6579.865	1.35	13.604	2.616	9.841	2.117	142.5	39.99	6713.868	0.201	-0.211	0.368	-13.43	6.296	3.021	5.703	6728.268	0.201	-0.211	0.368	-31.62	64.17	7.11	15.06
124	34.866	18	2	595r2_881-493496.xlsx	6557.498	0.091	1.079	0.223	36.45	6.54	41.89	7.813	6543.598	1.241	12.808	2.6	3.351	0.7026	45.68	12.87	6579.098	1.241	12.808	2.6	10.05	2.108	137	38.61	6714.188	0.578	2.619	0.787	-8.716	3.139	-24.3	-8.546	6728.588	0.578	2.619	0.787	2.905	2.771	8.099	7.966
125	33.525	18	2	595r2_881-497500.xlsx	6557.364	0.055	0.814	0.137	53.39	7.399	46.29	6.661	6543.063	1.102	11.797	2.408	3.307	0.6694	41.53	11.55	6578.563	1.102	11.797	2.408	9.922	2.008	124.6	34.64	6711.207	0.153	1.918	0.313	17.65	3.057	36.03	6.785	6725.606	0.153	1.918	0.313	11.68	3.07	23.85	6.113
126	32.184	18	2	595r2_881-501504.xlsx	6557.457	0.053	0.925	0.116	66.96	7.477	65.95	7.492	6542.271	0.277	2.721	0.633	6.772	1.375	19.62	4.371	6577.771	0.277	2.721	0.633	20.31	4.124	58.85	13.11	6711.375	0.102	1.229	0.267	25.32	4.584	33.13	5.866	6725.775	0.102	1.229	0.267	10.13	3.627	13.26	5.305
127	30.843	18	2	595r2_881-505508.xlsx	6557.334	0.046	0.857	0.107	82.27	8.336	75.09	7.861	6544.681	1.185	13.059	2.619	3.817	0.7813	53.06	14.41	6580.181	1.185	13.059	2.619	11.45	2.344	159.2	43.22	6711.408	0.078	1.014	0.209	20.43	4.34	22.04	4.571	6725.808	0.078	1.014	0.209	21.88	4.204	23.61	4.897
128	29.502	18	2	595r2_881-509512.xlsx	6557.32	0.036	0.963	0.092	90.8	7.503	93.05	7.829	6542.563	0.138	1.13	0.37	9.26	2.335	11.14	2.911	6578.063	0.138	1.13	0.37	27.78	7.004	33.42	8.733	6711.33	0.053	0.891	0.126	37.42	4.99	35.49	5.084	6725.729	0.053	0.891	0.126	20	4.824	18.97	4.341
129	28.161	18	2	595r2_881-513516.xlsx	6557.329	0.028	0.804	0.072	100.7	7.526	86.2	6.556	6541.871	0.243	1.806	0.548	6.192	1.588	11.9	3.196	6577.371	0.243	1.806	0.548	18.58	4.763	35.7	9.589	6711.346	0.065	1.035	0.173	26.1	4.286	28.75	5.002	6725.746	0.065	1.035	0.173	25.26	4.373	27.83	4.823
130	26.82	18	2	595r2_881-517520.xlsx	6557.392	0.027	0.994	0.061	140.1	7.462	148.2	8.068	6542.566	0.23	2.587	0.918	8.075	1.779	22.24	5.633	6578.066	0.23	2.587	0.918	24.22	5.338	66.71	16.9	6711.491	0.033	0.879	0.07	53.44	4.621	50.02	4.558	6725.891	0.033	0.879	0.07	46.27	4.663	43.31	4.284
131	25.479	18	2	595r2_881-521524.xlsx	6557.466	0.018	0.871	0.035	227.8	7.905	211.2	7.451	6542.491	0.064	1.064	0.195	18.82	2.516	21.33	2.969	6577.991	0.064	1.064	0.195	56.47	7.548	63.98	8.907	6711.477	0.032	0.727	0.071	62.56	5.993	48.42	4.62	6725.877	0.032	0.727	0.071	45.32	5.569	35.07	4.399
132	24.138	18	2	595r2_881-525528.xlsx	6557.428	0.015	0.903	0.039	186.6	7.045	179.4	6.893	6542.553	0.066	1.025	0.223	17.06	2.493	18.61	2.854	6578.053	0.066	1.025	0.223	51.18	7.48	55.83	8.561	6711.521	0.051	0.881	0.102	38.6	4.718	36.2	5.031	6725.921	0.051	0.881	0.102	29.17	5.101	27.36	4.29
133	22.797	18	2	595r2_881-529532.xlsx	6557.451	0.017	0.863	0.045	168.2	7.755	154.5	7.243	6542.646	0.069	1.086	0.242	17.47	2.626	20.2	3.186	6578.146	0.069	1.086	0.242	52.4	7.877	60.59	9.559	6711.386	0.044	0.839	0.104	44.07	5.05	39.36	4.604	6725.786	0.044	0.839	0.104	18.74	4.512	16.73	4.065
134	21.456	18	2	595r2_881-533536.xlsx	6557.526	0.018	0.83	0.037	189.3	7.302	167.3	6.545	6542.631	0.059	0.876	0.17	15.96	2.38	14.88	2.298	6578.131	0.059	0.876	0.17	47.89	7.141	44.64	6.895	6711.607	0.048	0.859	0.097	41.35	5.207	37.82	4.894	6726.007	0.048	0.859	0.097	27.65	4.993	25.29	4.57
135	20.115	18	2	595r2_881-537540.xlsx	6557.475	0.018	0.839	0.036	197.7	7.35	176.5	6.67	6542.642	0.051	0.744	0.109	19.49	2.474	15.44	2.009	6578.142	0.051	0.744	0.109	58.48	7.423	46.31	6.028	6711.518	0.036	0.84	0.082	55.13	4.957	49.27	4.464	6725.917	0.036	0.84	0.082	26.16	4.33	23.39	3.98
136	18.774	18	2	595r2_881-541544.xlsx	6557.5	0.015	0.888	0.03	246.5	7.259	233.1	6.975	6542.617	0.04	0.877	0.116	25.08	2.503	23.42	2.413	6578.117	0.04	0.877	0.116	75.23	7.508	70.26	7.238	6711.46	0.03	0.822	0.087	60.53	5.838	52.99	4.903	6725.86	0.03	0.822	0.087	44.23	5.061	38.72	4.88
137	17.433	18	2	595r2_881-545548.xlsx	6557.501	0.012	0.84	0.026	293.9	7.906	262.8	7.177	6542.649	0.035	0.769	0.101	27.75	2.799	22.72	2.364	6578.149	0.035	0.769	0.101	83.24	8.396	68.16	7.093	6711.475	0.028	0.761	0.075	75.58	6.917	61.25	5.436	6725.875	0.028	0.761	0.075	54.15	6.094	43.88	5.29
138	16.092	18	2	595r2_881-549552.xlsx	6557.401	0.01	0.767	0.022	319.4	8.284	260.9	6.913	6542.557	0.04	0.823	0.12	25.91	2.835	22.69	2.558	6578.057	0.04	0.823	0.12	77.73	8.506	68.07	7.673	6711.456	0.019	0.674	0.055	77.51	6.618	55.64	4.668	6725.855	0.019	0.674	0.055	69.4	6.342	49.82	4.639
139	14.751	18	2	595r2_881-553556.xlsx	6557.336	0.013	-0.807	0.029	304.3	9.407	-261.3	-8.205	6542.522	0.039	0.785	0.1	31.25	3.181	26.12	2.708	6578.022	0.039	0.785	0.1	93.74	9.542	78.35	8.124	6711.373	0.026	0.864	0.066	79.26	6.332	72.9	5.777	6725.772	0.026	0.864	0.066	60.11	5.865	55.28	5.668
140	13.41	18	2	595r2_881-557560.xlsx	6557.369	0.014	0.865	0.03	296.3	8.753	272.9	8.205	6542.524	0.049	0.933	0.145	25.18	2.892	25.01	2.986	6578.024	0.049	0.933	0.145	75.53	8.677	75.04	8.958	6711.428	0.033	0.962	0.087	60.51	5.422	61.97	5.537	6725.828	0.033	0.962	0.087	45.99	4.989	47.1	5.388
141	12.069	18	2	595r2_881-561564.xlsx	6557.397	0.019	0.924	0.036	258.7	8.526	254.5	8.54	6542.523	0.047	0.789	0.17	23.33	3.423	19.59	2.963	6578.023	0.047	0.789	0.17	69.98	10.27	58.76	8.889	6711.399	0.037	1.04	0.083	56.27	4.765	62.32	5.455	6725.799	0.037	1.04	0.083	45.98	4.653	50.92	5.203
142	10.728	18	2	595r2_881-565568.xlsx	6557.371	0.023	0.83	0.043	188.5	8.571	166.5	7.701	6542.5	0.086	0.947	0.22	16.53	2.823	16.66	2.955	6578	0.086	0.947	0.22	49.6	8.47	49.98	8.866	6711.432	0.04	0.875	0.091	47.11	5.174	43.88	4.765	6725.832	0.04	0.875	0.091	32.01	4.719	29.81	4.618
143	9.387	18	2	595r2_881-569572.xlsx	6557.438	0.025	0.89	0.061	133.7	7.968	126.7	7.692	6542.338	0.179	2.087	0.486	10.7	1.807	23.76	4.365	6577.838	0.179	2.087	0.486	32.09	5.421	71.27	13.1	6711.449	0.058	0.868	0.124	34.18	5.242	31.57	5.348	6725.849	0.058	0.868	0.124	26.38	5.519	24.38	4.71
144	8.046	18	2	595r2_881-573576.xlsx	6557.371	0.034	-0.781	0.076	96.88	8.611	-80.56	-7.295	6542.502	0.113	1.054	0.34	11.73	2.691	13.16	3.178	6578.002	0.113	1.054	0.34	35.18	8.074	39.48	9.533	6711.289	0.069	0.96	0.16	36.44	5.474	37.23	6.499	6725.688	0.069	0.96	0.16	20.31	5.821	20.75	5.169
145	6.705	18	2	595r2_881-577580.xlsx	6557.408	0.036	0.991	0.083	90.39	6.999	95.35	7.512	6542.548	0.128	1.243	0.518	10.25	2.662	13.56	3.713	6578.048	0.128	1.243	0.518	30.74	7.986	40.67	11.14	6711.388	0.063	1.106	0.172	37.43	4.747	44.06	5.64	6725.788	0.063	1.106	0.172	15.48	3.853	18.22	4.828
146	5.364	18	2	595r2_881-581584.xlsx	6557.448	0.06	1.076	0.139	71.32	8.268	81.69	9.621	6542.701	0.106	0.628	0.254	10.51	3.478	7.03	2.463	6578.201	0.106	0.628	0.254	31.52	10.43	21.09	7.39	6711.471	0.083	1.07	0.183	31.22	5.182	35.57	6.126	6725.871	0.083	1.07	0.183	16.61	4.828	18.92	5.517
147	4.023	18	2	595r2_881-585588.xlsx	6557.49	0.048	1.035	0.139	71.99	7.621	79.32	8.755	6545.722	1.031	13.874	2.105	4.477	0.7507	66.11	14.47	6581.222	1.031	13.874	2.105	13.43	2.252	198.3	43.4	6711.517	0.102	0.921	0.338	24.75	7.051	24.26	7.335	6725.917	0.102	0.921	0.338	16.87	6.455	16.54	6.368
148	2.682	18	2	595r2_881-589592.xlsx	6557.52	0.069	1.166	0.141	73.03	8.159	90.6	10.4	6541.672	0.559	4.468	2.18	5.323	1.567	25.32	9.602	6577.172	0.559	4.468	2.18	15.97	4.7	75.96	28.81	6711.253	0.121	1.214	0.216	30.17	5.337	38.99	7.001	6725.653	0.121	1.214	0.216	2.697	5.25	3.486	6.825
149	1.341	18	2	595r2_881-593596.xlsx	6557.534	0.062	1.124	0.138	67.14	7.066	80.3	8.62	6542.793	0.118	0.924	0.321	10.09	2.658	9.922	2.684	6578.293	0.118	0.924	0.321	30.26	7.973	29.77	8.052	6711.617	0.112	0.745	0.233	23.66	6.598	18.76	5.285	6726.017	0.112	0.745	0.233	4.823	5.679	3.824	4.698
150	0	18	2	595r2_881-597600.xlsx	6557.455	0.045	0.971	0.119	87.97	8.834	90.9	9.34	6542.287	0.288	1.89	0.872	6.273	2.157	12.62	4.56	6577.787	0.288	1.89	0.872	18.82	6.471	37.86	13.68	6711.316	0.08	1.025	0.197	32.53	5.504	35.49	5.958	6725.716	0.08	1.025	0.197	8.732	4.471	9.526	5.178
1	199.809	15	3	595r3_883-001004.xlsx	6557.699	0.14	-0.84	0.285	27.93	9.214	-24.97	-8.235	6542.75	0.184	0.903	0.436	7.412	2.988	7.123	2.941	6578.25	0.184	0.903	0.436	22.24	8.965	21.37	8.822	6713.582	0.384	1.451	0.509	-10.63	4.882	-16.42	-7.499	6727.981	0.384	1.451	0.509	4.901	4.935	7.568	7.616
2	198.468	15	3	595r3_883-005008.xlsx	6557.62	0.18	1.27	0.455	30.88	8.009	41.72	11.53	6541.783	0.674	4.782	2.966	5.144	1.557	26.19	11.86	6577.283	0.674	4.782	2.966	15.43	4.671	78.56	35.57	6712.752	0.176	0.858	0.308	2.841	5.271	2.596	4.97	6727.152	0.176	0.858	0.308	-16.55	5.973	-15.13	-5.378
3	197.127	15	3	595r3_883-009012.xlsx	6557.736	0.091	0.956	0.187	46.42	8.426	47.21	8.695	6542.093	0.301	2.056	0.694	7.034	1.948	15.39	4.49	6577.593	0.301	2.056	0.694	21.1	5.845	46.18	13.47	6714.388	0.133	0.717	0.235	-8.42	6.073	-6.427	-4.815	6728.788	0.133	0.717	0.235	17.72	6.614	13.53	4.949
4	195.786	15	3	595r3_883-013016.xlsx	6557.631	0.066	0.964	0.136	56.6	7.381	58.08	7.744	6542.44	0.604	4.287	1.901	4.515	1.247	20.6	7.414	6577.94	0.604	4.287	1.901	13.54	3.742	61.8	22.24	6711.557	0.157	1.123	0.466	17.58	5.231	21.01	8.573	6725.957	0.157	1.123	0.466	14.24	6.593	17.02	6.113
5	194.445	15	3	595r3_883-017020.xlsx	6557.751	0.048	0.996	0.118	76	8.145	80.57	8.82	6542.58	0.46	3.444	0.935	5.197	1.382	19.05	5.451	6578.08	0.46	3.444	0.935	15.59	4.147	57.16	16.35	6715.031	0.272	0.859	0.64	-2.116	11.55	-1.935	-11.5	6729.431	0.272	0.859	0.64	8.81	6.336	8.057	4.896
6	193.104	15	3	595r3_883-021024.xlsx	6557.586	0.085	1.147	0.189	55.24	7.883	67.47	9.825	6542.346	0.619	2.728	1.154	4.926	1.663	14.3	5.304	6577.846	0.619	2.728	1.154	14.78	4.99	42.91	15.91	6713.018	1.639	5.998	2.476	3.088	2.751	19.72	16.4	6727.418	1.639	5.998	2.476	3.741	2.435	23.89	18.43
7	191.763	15	3	595r3_883-025028.xlsx	6557.646	0.079	1.057	0.16	53.72	7.975	60.46	9.112	6541.94	0.41	2.5	0.81	5.863	1.703	15.6	4.864	6577.44	0.41	2.5	0.81	17.59	5.109	46.8	14.59	6711.497	0.198	1.653	0.376	16.79	3.904	29.54	7.142	6725.896	0.198	1.653	0.376	5.092	3.579	8.961	6.275
8	190.422	15	3	595r3_883-029032.xlsx	6557.661	0.076	1.033	0.189	52.47	8.163	57.72	9.204	6542.1	0.487	3.805	1.347	5.338	1.46	21.62	6.538	6577.6	0.487	3.805	1.347	16.01	4.381	64.86	19.61	6714.252	0.795	1.797	0.817	3.862	5.206	7.388	11.35	6728.652	0.795	1.797	0.817	-7.011	5.09	-13.41	-7.968
9	189.081	15	3	595r3_883-033036.xlsx	6557.695	0.042	0.853	0.122	80.4	8.967	73.03	8.468	6545.328	1.521	16.084	2.44	3.719	0.8077	63.67	16.84	6580.828	1.521	16.084	2.44	11.16	2.423	191	50.53	6707.537	0.754	3.095	1.548	5.013	4.155	16.52	12.37	6721.937	0.754	3.095	1.548	-7.679	3.745	-25.3	-13.48
10	187.74	15	3	595r3_883-037040.xlsx	6557.705	0.048	0.919	0.105	75.49	7.756	73.86	7.834	6543.961	1.543	14.348	2.381	3.23	0.7854	49.34	14.37	6579.461	1.543	14.348	2.381	9.691	2.356	148	43.12	6711.921	0.435	3.785	1.076	10.87	2.585	43.8	12.36	6726.321	0.435	3.785	1.076	4.55	2.468	18.33	9.783
11	186.399	15	3	595r3_883-041044.xlsx	6557.816	0.052	0.951	0.134	64.33	7.618	65.15	7.971	6546.484	1.565	14.914	2.539	3.233	0.7356	51.32	14.44	6581.984	1.565	14.914	2.539	9.698	2.207	154	43.31	6714.555	1.093	3.061	1.706	-3.46	2.896	-11.28	-9.292	6728.955	1.093	3.061	1.706	4.858	3.07	15.83	10.02
12	185.058	15	3	595r3_883-045048.xlsx	6557.736	0.036	-0.829	0.085	81.23	7.734	-71.69	-6.945	6542.546	0.257	2.669	0.594	7.313	1.408	20.77	4.33	6578.046	0.257	2.669	0.594	21.94	4.223	62.32	12.99	6711.831	0.005	-0.252	0	124.6	0	-33.48	-103.8	6726.231	0.005	-0.252	0	19.67	0	-5.282	-8.204
13	183.717	15	3	595r3_883-049052.xlsx	6557.682	0.043	-0.856	0.087	93.86	8.431	-85.52	-7.906	6543.945	1.209	13.408	2.66	3.928	0.8015	56.06	15.5	6579.445	1.209	13.408	2.66	11.78	2.405	168.2	46.49	6711.791	0.128	0.706	0.267	17.64	6.206	13.25	4.792	6726.191	0.128	0.706	0.267	12.64	5.824	9.49	4.324
14	182.376	15	3	595r3_883-053056.xlsx	6557.698	0.031	0.961	0.075	104.2	7.393	106.6	7.705	6542.607	0.322	1.964	0.842	7.821	2.119	16.35	4.799	6578.107	0.322	1.964	0.842	23.46	6.358	49.05	14.4	6711.807	0.07	0.59	0.131	19.8	6.184	12.42	3.575	6726.207	0.07	0.59	0.131	22.64	5.846	14.21	3.868
15	181.035	15	3	595r3_883-057060.xlsx	6558.368	0.083	2.039	0.158	124.9	9.947	271.1	22.69	6545.026	2.277	13.573	4.378	4.027	1.477	58.18	27.9	6580.526	2.277	13.573	4.378	12.08	4.432	174.5	83.71	6711.634	0.043	0.75	0.118	36.48	4.987	29.13	4.578	6726.034	0.043	0.75	0.118	23.12	5.165	18.46	3.687
16	179.694	15	3	595r3_883-061064.xlsx	6557.736	0.024	0.945	0.059	165.1	8.768	166.1	9.118	6544.815	1.272	13.619	2.381	4.073	0.8467	59.04	15.79	6580.315	1.272	13.619	2.381	12.22	2.54	177.1	47.36	6711.617	0.052	0.801	0.163	35	5.272	29.84	5.402	6726.017	0.052	0.801	0.163	24.71	5.653	21.07	4.11
17	178.353	15	3	595r3_883-065068.xlsx	6557.702	0.024	0.871	0.062	151.7	9.131	140.6	8.732	6545.419	1.171	12.924	2.617	4.235	0.8712	58.26	15.91	6580.919	1.171	12.924	2.617	12.71	2.614	174.8	47.72	6711.738	0.069	0.87	0.14	33.98	4.954	31.48	5.038	6726.138	0.069	0.87	0.14	11.44	4.818	10.6	4.067
18	177.012	15	3	595r3_883-069072.xlsx	6557.705	0.032	0.947	0.067	129.9	8.315	130.9	8.547	6543.021	0.292	3.34	1.004	8.047	1.606	28.61	6.711	6578.521	0.292	3.34	1.004	24.14	4.819	85.83	20.13	6711.688	0.101	1.089	0.23	27.34	5.009	31.69	6.018	6726.088	0.101	1.089	0.23	8.772	4.312	10.17	5.011
19	175.671	15	3	595r3_883-073076.xlsx	6557.768	0.03	0.848	0.078	124.9	9.191	112.7	8.462	6542.982	0.111	1.056	0.267	11.69	2.542	13.14	2.916	6578.482	0.111	1.056	0.267	35.06	7.625	39.42	8.748	6711.521	0.017	-0.348	0.089	34.51	10.81	-12.8	-3.04	6725.921	0.017	-0.348	0.089	53.05	21.09	-19.68	-3.913
20	174.33	15	3	595r3_883-077080.xlsx	6557.83	0.033	0.887	0.091	96.86	8.346	91.4	8.058	6542.237	0.434	3.722	1.398	5.593	1.41	22.16	6.689	6577.737	0.434	3.722	1.398	16.78	4.23	66.49	20.07	6711.813	0.07	0.792	0.167	28.09	5.269	23.67	5.002	6726.213	0.07	0.792	0.167	13.56	5.403	11.43	4.013
21	172.989	15	3	595r3_883-081084.xlsx	6557.637	0.043	-0.95	0.1	80.02	7.412	-80.88	-7.644	6542.767	0.395	3.431	0.973	5.414	1.259	19.77	5.174	6578.267	0.395	3.431	0.973	16.24	3.776	59.32	15.52	6711.605	0.112	1.065	0.209	23.4	4.791	26.53	5.717	6726.005	0.112	1.065	0.209	7.695	4.469	8.724	4.876
22	171.648	15	3	595r3_883-085088.xlsx	6557.793	0.044	0.914	0.104	83.57	8.61	81.3	8.629	6545.599	1.375	15.021	2.293	4.118	0.8392	65.84	16.55	6581.099	1.375	15.021	2.293	12.35	2.517	197.5	49.65	6711.331	0.146	1.498	0.352	20.15	4.166	32.13	6.59	6725.73	0.146	1.498	0.352	10.94	3.485	17.44	6.138
23	170.307	15	3	595r3_883-089092.xlsx	6557.768	0.067	1.104	0.158	56.97	7.192	66.96	8.65	6542.609	0.423	3.746	1.184	5.435	1.291	21.67	6.014	6578.109	0.423	3.746	1.184	16.3	3.874	65.01	18.04	6711.82	0.087	0.841	0.246	19.79	5.149	17.72	4.821	6726.22	0.087	0.841	0.246	15.23	4.916	13.64	4.382
24	168.966	15	3	595r3_883-093096.xlsx	6557.725	0.07	1.102	0.17	58.27	7.683	68.37	9.236	6542.34	0.646	3.657	1.493	3.721	1.316	14.48	5.792	6577.84	0.646	3.657	1.493	11.16	3.948	43.45	17.38	6711.542	0.098	0.482	0.282	25.72	11.52	13.21	3.932	6725.942	0.098	0.482	0.282	6.134	6.406	3.149	3.22
25	167.625	15	3	595r3_883-097100.xlsx	6557.691	0.064	-0.94	0.152	56.78	7.971	-56.81	-8.162	6542.374	0.411	4.071	1.152	5.895	1.247	25.55	6.493	6577.874	0.411	4.071	1.152	17.69	3.741	76.64	19.48	6711.659	0.115	0.749	0.225	11.91	4.506	9.499	4.203	6726.059	0.115	0.749	0.225	13.37	5.172	10.66	3.696
26	166.284	15	3	595r3_883-101104.xlsx	6557.7	0.064	0.848	0.156	48.17	7.669	43.47	7.132	6545.028	1.451	14.824	2.532	3.266	0.7324	51.54	14.15	6580.528	1.451	14.824	2.532	9.799	2.197	154.6	42.45	6711.664	0.118	0.844	0.203	20.39	4.942	18.33	4.783	6726.064	0.118	0.844	0.203	7.759	4.793	6.975	4.046
27	164.943	15	3	595r3_883-105108.xlsx	6557.66	0.099	1.169	0.241	39.8	6.904	49.55	8.955	6544.752	1.143	13.768	2.128	4.055	0.7577	59.43	14.04	6580.252	1.143	13.768	2.128	12.17	2.273	178.3	42.11	6711.562	0.121	0.51	0.331	19.79	9.194	10.74	5.072	6725.961	0.121	0.51	0.331	5.975	7.945	3.244	3.798
28	163.602	15	3	595r3_883-109112.xlsx	6557.839	0.107	1.247	0.251	37.11	6.645	49.27	9.242	6543.368	1.238	13.619	2.333	3.6	0.7753	52.2	14.23	6578.868	1.238	13.619	2.333	10.8	2.326	156.6	42.7	6710.733	1.578	5.242	3.431	3.02	1.828	16.85	13.45	6725.133	1.578	5.242	3.431	3.464	1.995	19.33	12.9
29	162.261	15	3	595r3_883-113116.xlsx	6557.916	0.076	1.046	0.195	45.84	6.809	51.05	7.915	6541.267	0.701	6.729	2.558	3.936	0.8903	28.19	9.477	6576.767	0.701	6.729	2.558	11.81	2.671	84.57	28.43	6711.243	0.81	5.656	1.314	6.536	1.838	39.35	12.07	6725.643	0.81	5.656	1.314	3.017	1.759	18.16	11.41
30	160.92	15	3	595r3_883-117120.xlsx	6557.797	0.065	1.037	0.135	59	7.224	65.15	8.251	6543.521	1.285	13.671	2.345	3.516	0.7675	51.16	14.13	6579.021	1.285	13.671	2.345	10.55	2.302	153.5	42.39	6711.933	0.203	1.425	0.409	15.51	4.051	23.53	6.853	6726.333	0.203	1.425	0.409	-4.551	3.922	-6.903	-5.45
31	159.579	15	3	595r3_883-121124.xlsx	6557.779	0.075	0.927	0.175	44.71	7.674	44.14	7.73	6542.184	0.566	3.861	1.569	4.181	1.271	17.18	6.108	6577.684	0.566	3.861	1.569	12.54	3.812	51.55	18.32	6711.588	0.691	2.844	1.133	6.781	2.686	20.53	8.67	6725.988	0.691	2.844	1.133	1.376	2.297	4.167	7.311
32	158.238	15	3	595r3_883-125128.xlsx	6557.768	0.078	-0.761	0.167	41.89	8.526	-33.94	-7.108	6545.449	2.039	14.873	3.063	2.452	0.7734	38.82	14.47	6580.949	2.039	14.873	3.063	7.356	2.32	116.5	43.42	6711.944	1.307	5.828	1.381	4.563	2.059	28.31	13.78	6726.344	1.307	5.828	1.381	3.794	2.112	23.54	13.56
33	156.897	15	3	595r3_883-129132.xlsx	6557.826	0.072	0.96	0.152	51.71	7.307	52.85	7.713	6545.054	1.396	15.219	2.197	3.505	0.7526	56.78	14.46	6580.554	1.396	15.219	2.197	10.51	2.258	170.3	43.38	6710.764	0.402	2.577	0.921	9.567	2.803	26.24	8.153	6725.164	0.402	2.577	0.921	-0.108	0.3075	-0.2962	-0.8553
34	155.556	15	3	595r3_883-133136.xlsx	6557.599	0.082	1	0.188	46.62	7.709	49.63	8.401	6542.41	0.377	2.835	1.356	5.438	1.68	16.41	5.941	6577.91	0.377	2.835	1.356	16.31	5.041	49.23	17.82	6711.976	0.137	0.934	0.281	19.77	4.937	19.65	4.95	6726.375	0.137	0.934	0.281	4.903	4.225	4.873	4.337
35	154.215	15	3	595r3_883-137140.xlsx	6557.657	0.054	-0.74	0.133	55.32	8.607	-43.55	-6.909	6542.357	0.804	6.612	3.489	4.065	1.094	28.61	12.02	6577.857	0.804	6.612	3.489	12.19	3.282	85.82	36.06	6711.95	0.706	2.776	1.287	3.34	2.937	9.868	8.075	6726.35	0.706	2.776	1.287	5.872	2.921	17.35	9.541
36	152.874	15	3	595r3_883-141144.xlsx	6557.73	0.093	1.142	0.183	44.97	7.021	54.66	8.697	6542.654	0.418	2.771	1.179	4.865	1.543	14.35	5.199	6578.154	0.418	2.771	1.179	14.59	4.63	43.04	15.6	6716.994	0.602	5.314	1.013	-9.49	2.107	-53.68	-13.19	6731.394	0.602	5.314	1.013	-2.545	1.847	-14.4	-10.63
37	151.533	15	3	595r3_883-145148.xlsx	6557.793	0.082	1.229	0.188	52.76	7.365	69.01	9.862	6542.523	0.461	2.409	0.883	4.644	1.637	11.91	4.458	6578.023	0.461	2.409	0.883	13.93	4.912	35.73	13.37	6712.145	0.64	5.345	1.518	4.283	2.174	24.37	11.15	6726.545	0.64	5.345	1.518	8.097	2.034	46.07	15.39
38	150.192	15	3	595r3_883-149152.xlsx	6557.885	0.04	0.948	0.081	107.1	7.834	108.1	8.068	6542.64	0.387	3.357	1.057	5.568	1.377	19.9	5.468	6578.14	0.387	3.357	1.057	16.7	4.131	59.69	16.41	6711.838	0.06	0.667	0.15	25.66	5.742	18.23	4.048	6726.238	0.06	0.667	0.15	22.03	5.542	15.65	3.926
