Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
11	186.399	22	1	595r1_878-041044.xlsx	6557.679	0.043	-0.845	0.093	85.07	8.06	-76.56	-7.483	6544.506	1.314	13.96	2.666	3.496	0.7504	51.95	14.63	6580.006	1.314	13.96	2.666	10.49	2.251	155.8	43.89	6703.998	0.13	0.545	0.41	15.75	10.64	9.142	3.752	6718.397	0.13	0.545	0.41	-5.787	5.636	-3.36	-4.256
12	185.058	22	1	595r1_878-045048.xlsx	6557.646	0.041	0.965	0.113	86.79	8.354	89.2	8.913	6544.635	0.939	12.767	2.436	5.185	0.8226	70.46	16.52	6580.135	0.939	12.767	2.436	15.55	2.468	211.4	49.55	6711.801	0.113	0.744	0.236	24.04	6.2	19.03	4.904	6726.201	0.113	0.744	0.236	2.483	4.333	1.965	3.478
13	183.717	22	1	595r1_878-049052.xlsx	6557.709	0.033	-0.752	0.078	102.3	9.547	-81.9	-7.775	6542.702	0.348	2.808	0.982	6.401	1.673	19.13	5.616	6578.202	0.348	2.808	0.982	19.2	5.018	57.39	16.85	6711.706	0.067	0.736	0.158	27.08	5.247	21.21	4.402	6726.105	0.067	0.736	0.158	17.74	5.033	13.89	3.84
14	182.376	22	1	595r1_878-053056.xlsx	6557.723	0.032	-0.784	0.089	107.2	9.501	-89.48	-8.111	6542.818	0.099	0.765	0.293	12.31	3.299	10.03	2.79	6578.318	0.099	0.765	0.293	36.92	9.896	30.08	8.371	6711.349	0.161	1.014	0.327	3.693	4.248	3.986	4.359	6725.749	0.161	1.014	0.327	14.09	4.419	15.21	5.009
15	181.035	22	1	595r1_878-057060.xlsx	6557.741	0.04	1.012	0.091	94.54	7.932	101.8	8.841	6543.554	1.096	12.131	2.997	4.149	0.8597	53.58	16.29	6579.054	1.096	12.131	2.997	12.45	2.579	160.7	48.87	6708.705	0.429	1.62	0.685	4.79	3.537	8.26	5.828	6723.104	0.429	1.62	0.685	5.809	3.434	10.02	6.563
16	179.694	22	1	595r1_878-061064.xlsx	6557.72	0.059	1.008	0.121	70.99	7.517	76.17	8.215	6542.38	0.302	2.588	0.73	6.495	1.523	17.89	4.531	6577.88	0.302	2.588	0.73	19.48	4.569	53.67	13.59	6708.516	0.422	1.048	0.804	7.054	4.313	7.866	7.983	6722.916	0.422	1.048	0.804	6.536	6.782	7.288	4.86
17	178.353	22	1	595r1_878-065068.xlsx	6557.715	0.054	0.904	0.122	69.15	8.053	66.56	7.899	6542.857	0.396	3.601	0.9	5.7	1.259	21.85	5.402	6578.357	0.396	3.601	0.9	17.1	3.776	65.55	16.21	6712.479	0.641	3.628	1.321	-2.174	2.158	-8.393	-8.716	6726.878	0.641	3.628	1.321	7.005	2.362	27.05	9.039
18	177.012	22	1	595r1_878-069072.xlsx	6557.762	0.114	1.13	0.221	34.45	6.816	41.44	8.354	6543.034	0.358	2.783	0.868	5.545	1.445	16.42	4.76	6578.534	0.358	2.783	0.868	16.64	4.335	49.27	14.28	6711.57	0.129	0.802	0.258	18.27	5.572	15.6	4.771	6725.97	0.129	0.802	0.258	0.927	0	0.7913	0.2738
19	175.671	22	1	595r1_878-073076.xlsx	6562.242	0.161	3.759	0.42	-32.12	2.92	-128.5	-12.73	6541.493	0.452	1.136	1.191	3.862	2.405	4.671	3.028	6576.993	0.452	1.136	1.191	11.59	7.214	14.01	9.085	6708.877	0.189	0.979	0.361	12.15	4.585	12.67	4.779	6723.277	0.189	0.979	0.361	2.788	3.919	2.907	4.276
20	174.33	22	1	595r1_878-077080.xlsx	6557.733	0.109	0.889	0.184	31.89	7.048	30.18	6.742	6541.799	0.424	2.794	0.94	4.506	1.331	13.4	4.337	6577.299	0.424	2.794	0.94	13.52	3.994	40.2	13.01	6711.047	0.448	1.807	0.571	7.219	3.254	13.89	6.13	6725.447	0.448	1.807	0.571	-1.288	2.049	-2.477	-4.162
21	172.989	22	1	595r1_878-081084.xlsx	6557.565	0.068	-0.283	0.331	72.03	194.7	-21.68	-33.53	6541.07	0.114	0.673	0.314	8.25	3.026	5.911	2.156	6576.57	0.114	0.673	0.314	24.75	9.078	17.73	6.469	6709.761	0.247	1.318	0.38	-6.921	3.653	-9.708	-5.509	6724.161	0.247	1.318	0.38	-11.08	4.069	-15.55	-5.523
22	171.648	22	1	595r1_878-085088.xlsx	6557.726	0.13	0.881	0.334	25.24	8.152	23.68	7.855	6543.955	1.49	13.817	2.798	3.195	0.7648	46.99	14.5	6579.455	1.49	13.817	2.798	9.585	2.294	141	43.5	6709.701	0.889	5.128	1.979	4.57	1.841	24.95	11.1	6724.101	0.889	5.128	1.979	-0.9732	0	-5.312	0
23	170.307	22	1	595r1_878-089092.xlsx	6557.325	0.138	0.949	0.292	26.49	7.61	26.78	7.832	6542.146	0.906	5.343	3.193	3.274	1.189	18.62	9.055	6577.646	0.906	5.343	3.193	9.822	3.567	55.87	27.17	6710.664	0.466	2.04	0.635	4.005	2.663	8.699	6.386	6725.064	0.466	2.04	0.635	5.702	2.96	12.38	6.141
